[(12.9764, 77.52618299999995)],[ChIJg5dm6s89rjsRDuSbu2uqB18]
[(12.9730482, 77.60707249999996)],[ChIJs3ZYD34WrjsRFlabhengM7M]
[(12.974533, 77.57746700000007)],[ChIJk0YCsA8WrjsR6oKq-hIv4mo]
[(12.9688322, 77.5363625)],[ChIJU7gFYd49rjsRBeWPSwefkqU]
[(12.95678, 77.53972929999998)],[ChIJAQAA8Aw-rjsRX5YcnCSZlv4]
[(12.9825239, 77.60755749999998)],[ChIJ2YTOeWIWrjsRrauuFpXbUjo]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRxvEvLcCHwHw]
[(12.9786256, 77.57719739999993)],[ChIJi3w_xBEWrjsR4CROcwb-cKM]
[(12.955358, 77.55732899999998)],[ChIJbVzleR8-rjsRLMezA6cJb2w]
[(12.9696131, 77.61049409999998)],[ChIJexUkW4AWrjsR1jawOW2s4Rs]
[(12.979321, 77.609643)],[ChIJP3dsdogWrjsRnST7HSntH7o]
[(12.9669477, 77.5735886)],[ChIJaUiaCAgWrjsRWgxJQS8GJEY]
[(12.968267, 77.57213300000001)],[ChIJ35N8yAcWrjsRPESTT-STqfA]
[(12.9757453, 77.57745599999998)],[ChIJqQ-sQw4WrjsRAhCrXyNtVxg]
[(12.975383, 77.5749313)],[ChIJsffKog8WrjsRT6l4iAjQpPU]
[(12.9644356, 77.58077500000002)],[ChIJrUHRvOEVrjsRtx1QOx2uHHI]
[(12.963617, 77.53469999999993)],[ChIJlZur8nU-rjsRQPEMHTE4MMc]
[(12.977167, 77.57606699999997)],[ChIJEcmY0w8WrjsRrXDLrDnSAtM]
[(12.982207, 77.53238399999998)],[ChIJxR-AucY9rjsRKG6L6l-Wj4A]
[(12.982117, 77.60828300000003)],[ChIJ-WkF04kWrjsRAfIEWwQIvH0]
[(12.9713801, 77.6067147)],[ChIJ4YjyOX4WrjsRB1E0fBjlulM]
[(12.966984, 77.53053899999998)],[ChIJH1g6ANk9rjsRGlyL4P79dqY]
[(12.982867, 77.60853299999997)],[ChIJJbopxYkWrjsREJ1iEpGcKP4]
[(12.974565, 77.57266099999993)],[ChIJrxdOnQUWrjsRaH9ENuuVtXc]
[(12.96855, 77.57261700000004)],[ChIJVVVVlQcWrjsRGDwzIwCQ2IE]
[(12.9755288, 77.57532519999995)],[ChIJHVE6uw8WrjsRNNtjWAiiRdI]
[(12.97645, 77.52435000000003)],[ChIJhSDkNc49rjsRwueKVZWw2KM]
[(12.981867, 77.60764999999992)],[ChIJg9xngGIWrjsRGw4nEd_z0dA]
[(12.956733, 77.54639999999995)],[ChIJId159A4-rjsRxSfCG8F2hG0]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsR0gA1EK9WNeA]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRv-PKY45cx4Q]
