[(12.9886487, 77.50718200000006)],[ChIJy4zcbEY8rjsRE1nbvEJ_QzM]
[(12.9119707, 77.54479019999997)],[ChIJ35rSMsk_rjsRqu1SmLh4Nnw]
[(12.9117169, 77.54685029999996)],[ChIJXUzG5M4_rjsRXCleQ0EHR8M]
[(13.0216022, 77.5929198)],[ChIJF5pA8LAXrjsR9dgGtmLGO1s]
[(12.8875642, 77.54411099999993)],[ChIJwXY-2-0_rjsRpPEWpYSxECA]
[(12.9488596, 77.58936360000007)],[ChIJLw10QcEVrjsR9utKRmmlASs]
[(13.0190402, 77.6845078)],[ChIJ4WPk6PwQrjsRGutVS4WsKM4]
[(13.029525, 77.71571199999994)],[ChIJ1wR_WE8QrjsRQuLRMkSZQ9w]
[(12.937836, 77.62691310000002)],[ChIJ0UUCp0MUrjsRzNnQaaLCj4w]
[(12.9532297, 77.70010649999995)],[ChIJSRTxzzQSrjsRbNUmeKJ_GTg]
[(12.9678937, 77.65250609999998)],[ChIJdTKuaAAUrjsRwqxLawjXFt4]
[(12.9559686, 77.70900219999999)],[ChIJNQJrzDASrjsRhKe2bz_jza4]
[(12.9112084, 77.54517680000004)],[ChIJkxDmKc8_rjsR1KGQplwhb0E]
[(13.0535629, 77.60007329999996)],[ChIJy-LgkoYXrjsRzY0yY0g5tiE]
[(13.0589004, 77.98725519999994)],[ChIJESQKmzzjrTsRB4Qyh21nuyc]
[(13.0272274, 77.62739060000001)],[ChIJMdXfDhcXrjsRmHGFBrARs8M]
[(13.0433019, 77.60937220000005)],[ChIJhW8ER3YXrjsR6G_ENwq3h2w]
[(12.9203598, 77.58054909999998)],[ChIJBzDK7HUVrjsRz2FX-60iT3Y]
[(12.9768018, 77.68235749999997)],[ChIJ01Zbu2YRrjsRPl5E6UKwZl4]
[(12.8977938, 77.5845104)],[ChIJY_r1C0AVrjsRn0qVLfZ1kGM]
[(12.8418862, 77.6556587)],[ChIJ01lqRoJsrjsRcEoVCMT9sK4]
[(12.9789221, 77.71172030000002)],[ChIJy0lbTo8RrjsRWESnaHaVq8w]
[(12.8399389, 77.67700309999998)],[ChIJtcNatvRsrjsREDh707pZYDw]
[(12.9202302, 77.5830459)],[ChIJwY57bHUVrjsR0SkIPLUuk0M]
[(13.0598455, 77.59303739999996)],[ChIJq3fMBScYrjsRTByh212sm_w]
[(12.9092932, 77.58800329999997)],[ChIJUZtdYRIVrjsRARsNmq4Ud4c]
[(12.97691, 77.74411299999997)],[ChIJvSlKzSMarjsRIQhBJDIRMCU]
[(12.861866, 77.59008399999993)],[ChIJw-TdhMZqrjsRO3Wu8lzeQf0]
[(12.9756569, 77.74952529999996)],[ChIJv9dcugAOrjsRjNticGE9Flc]
[(13.0337587, 77.55029869999998)],[ChIJJz2SskI9rjsRu45E21LNI28]
[(12.968872, 77.64430500000003)],[ChIJUQAAkAIUrjsRorwM0vf-47Q]
[(12.986644, 77.75461700000005)],[ChIJ49NIzhoOrjsRb85O2X1CPl8]
[(13.034244, 77.56048299999998)],[ChIJ3ySHwl89rjsRx1XzfJ89T2o]
[(12.979693, 77.51339089999999)],[ChIJWZWFeTM8rjsRL8Zw01_Fz8s]
[(12.9619244, 77.70961639999996)],[ChIJ_XxY3S8SrjsRVYMtWNe0Gxc]
[(12.9978343, 77.7606753)],[ChIJ06J_IBYOrjsR45aNYto52RM]
[(12.974929, 77.65459680000004)],[ChIJO4s1u1QRrjsR95-84-JtuhI]
[(12.9705015, 77.6506594)],[ChIJNdbjYqoWrjsR9MH0nMXirMo]
[(12.836647, 77.66445599999997)],[ChIJvTfr3IdsrjsRAVaugPtKPrQ]
[(12.9089513, 77.56119460000002)],[ChIJ1UZSHNg_rjsRwgLndc9fPGs]
[(13.0309832, 77.59013770000001)],[ChIJ59TDm74XrjsR-_ca-aylJY4]
[(12.8840945, 77.5669795)],[ChIJq72yJ1cVrjsR3MwYQgwwSBQ]
[(12.9283727, 77.60241510000003)],[ChIJzddvD6wVrjsRsd-D99pnquQ]
[(12.9129334, 77.61360530000002)],[ChIJKS6vYfsUrjsRykBXdFI7gZs]
[(12.8929421, 77.61389469999995)],[ChIJhXAr3NsUrjsRKu2VENJ7yic]
[(12.9162566, 77.64806420000002)],[ChIJa9Kaf4MUrjsRh3Z2IhgmFGU]
[(13.01071, 77.64649810000003)],[ChIJrdljldYWrjsRf4CVHYo5m_Q]
[(12.9392678, 77.61978180000006)],[ChIJIUDm80UUrjsRi7RJJcUJ-Cg]
[(12.8773564, 77.59452579999993)],[ChIJe97EyTIVrjsRjawAqXb63cc]
[(12.841064, 77.6519793)],[ChIJ7bHTw31rrjsRgWgsYn4eSvA]
[(13.0141791, 77.6995091)],[ChIJcYxAeKoRrjsReCPo5-bw-fA]
[(13.0225659, 77.60283720000007)],[ChIJY7G1x6gXrjsRjwgd7Zj9T5o]
[(12.9147448, 77.6090398)],[ChIJ29iDmf0UrjsR2DiRhnFCSsw]
[(12.917936, 77.55782219999992)],[ChIJh0Ww8tQ_rjsRL2dRCZNrPNY]
[(13.0336901, 77.6741247)],[ChIJ_6xPhMEQrjsRrvO_kOab4-o]
[(13.0118879, 77.65907089999996)],[ChIJCwzy2CsRrjsReirptoBIGk8]
[(12.9656112, 77.6370564)],[ChIJ5c1vJRwUrjsRyAIw-QOPDis]
[(12.9191166, 77.61002450000001)],[ChIJOxmsWv4UrjsRuN56mJRsvCc]
[(12.9219914, 77.61043940000002)],[ChIJj6jbnP8UrjsRRD_Xi5mMNrc]
[(12.933821, 77.58719459999998)],[ChIJ4ym2PL0VrjsRKzpDmQbYGWk]
[(12.9116061, 77.56382259999998)],[ChIJFQPgDn0VrjsRclTkGTd9J1o]
[(12.9190755, 77.58522470000003)],[ChIJux6W0QoVrjsRyce6AgEMkds]
[(13.0163029, 77.64063629999998)],[ChIJnyukwCcXrjsRYFCGu48llw4]
[(12.8423212, 77.6179429)],[ChIJMW55awVrrjsRf8BI2jp3LXg]
[(12.9395828, 77.54734299999996)],[ChIJPWGsVDw-rjsRJpNADldeE7Q]
[(13.0008397, 77.6623227)],[ChIJv6HZ4jARrjsR6nJodhf-Aio]
[(12.9247542, 77.5821803)],[ChIJlTxEA58VrjsRHDFrNxSkLIc]
[(13.040989, 77.55822519999992)],[ChIJv4o7EFk9rjsRVeF7_1-v_3Y]
[(12.9592236, 77.66426690000003)],[ChIJAW8aCPATrjsRCtUSWO4P2bM]
[(12.8719752, 77.64520879999998)],[ChIJ1WSrC1FrrjsRnVmhXc7-9NE]
[(12.9523252, 77.62421259999996)],[ChIJTdnK-jsUrjsR-sHSXOYcGDE]
[(12.9927135, 77.55001719999996)],[ChIJRcgmBZI9rjsRTIdsHPhJcEg]
[(12.8980828, 77.53946050000002)],[ChIJzcR9C8A_rjsRjGPBmrrjZJg]
[(13.0194639, 77.5962376)],[ChIJ34g04LEXrjsRD5uM5JWYRRE]
[(13.0061, 77.58408299999996)],[ChIJY51mCDYWrjsR9jUulpJbFB8]
[(12.9921461, 77.57188250000002)],[ChIJK09rGCMWrjsRTbexJVkHV9Q]
[(13.012816, 77.64898500000004)],[ChIJn-PJyNUWrjsR57F1TNbg8Rw]
[(12.932205, 77.54899999999998)],[ChIJP5SQlTo-rjsRzM2vDd3Id0Q]
[(13.0065755, 77.68278090000001)],[ChIJA8wUGRoRrjsRrh3f3scq6fI]
[(12.8838606, 77.56480770000007)],[ChIJq6qqqlcVrjsRhtoLvrTbkHw]
[(12.9304149, 77.62925680000001)],[ChIJX6gB6l0UrjsRu2O10fToU2Q]
[(12.9131572, 77.6194888)],[ChIJIYUOC_AUrjsRLT_lHINNiko]
[(12.9350373, 77.61808109999993)],[ChIJzZjx5k8UrjsRKdGMTA5dbqU]
[(12.8856305, 77.57606799999996)],[ChIJE-Dqo08VrjsRS01lZR936oA]
[(12.9557213, 77.61514450000004)],[ChIJ7dwPwTEUrjsR0y7IZ5na2lw]
[(12.9614743, 77.50720860000001)],[ChIJvfDp9II-rjsRq8VbcKUGcwQ]
[(12.9862944, 77.55721760000006)],[ChIJcRawlvQ9rjsRx2FvsN5ZUrY]
[(12.996491, 77.58231460000002)],[ChIJXaNI4TgWrjsREhP-cmE0wKk]
