[(12.9553151, 77.54483960000005)],[ChIJ_e5jeg4-rjsRk6YboZz5A-0]
[(12.965967, 77.58645000000001)],[ChIJG5D70nwVrjsRhp3rIOuCWk4]
[(12.9674251, 77.54231770000001)],[ChIJP9JkB-E9rjsRk_lfv5exFko]
[(12.9576581, 77.51879629999996)],[ChIJTd0n1X0-rjsR00SVBOtIeT0]
[(12.9738187, 77.57860010000002)],[ChIJwcNDnA4WrjsRbEG4_kfkVf8]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRAvzVDoB8s9w]
[(12.9599294, 77.56197529999997)],[ChIJ-R1VVf8VrjsR7A6Ulv57zAI]
[(12.9670356, 77.54330440000001)],[ChIJV0l-ouE9rjsRKhdJuast3_A]
[(12.9735967, 77.60140239999998)],[ChIJ2z8SQU8WrjsRGr66f0jvzhY]
[(12.9655609, 77.60112950000007)],[ChIJ67PkdioUrjsR6CAaI5JhfrA]
[(12.968702, 77.57901420000007)],[ChIJu2sDwwsWrjsR_WxH1CXYpeM]
[(12.9757876, 77.60729309999999)],[ChIJT1ZVogwWrjsRuvlp7Twf6Nk]
[(12.96531, 77.58482400000003)],[ChIJAWKyCuAVrjsRTO4m_m0rQlw]
[(12.979683, 77.60621700000002)],[ChIJqzJmyGIWrjsR62BcmGvFDR8]
[(12.965233, 77.59921699999995)],[ChIJtZtoeNYVrjsRuHy11Hm7EPk]
[(12.9563146, 77.58616269999993)],[ChIJCX2wR90VrjsRrDe2rtAIZZY]
[(12.9733623, 77.57987739999999)],[ChIJwX2w9A4WrjsRTcoIlksAYew]
[(12.9579614, 77.53421900000001)],[ChIJ67bb8XM-rjsR7cL6sCTyGOo]
[(12.9797321, 77.60548859999994)],[ChIJRSJpD1sUrjsRFZI_yE5W_bk]
[(12.9735741, 77.60701790000007)],[ChIJ7Y5UPHcWrjsRgOg19s1EEUQ]
[(12.9577809, 77.58221549999996)],[ChIJEUVwrOcVrjsROEAEAWitxBg]
[(12.9618087, 77.5941967)],[ChIJL7QAhtkVrjsRUS43wf3yr0Q]
[(12.9747421, 77.53095209999992)],[ChIJVVVVVdk9rjsRVa90jU83QqA]
[(12.9542699, 77.57555400000001)],[ChIJVVVVhe8VrjsRYQZ0GJD58sA]
[(12.9532376, 77.57750450000003)],[ChIJ536eFu8VrjsRMxfNerW1XDM]
[(12.9642661, 77.59691090000001)],[ChIJPYV3gtcVrjsROrHCzHDwh_o]
[(12.9747251, 77.53745909999998)],[ChIJ9Y_FON09rjsRskN4FG3HmMI]
[(12.9728322, 77.58217909999996)],[ChIJe9hIhgwWrjsR6ogheL1j7zs]
[(12.9656, 77.60273299999994)],[ChIJ3RnQ2tUVrjsRTsVxtjaBB9k]
[(12.9600277, 77.59381340000004)],[ChIJd1i4GtsVrjsRb8eWQv_4d2Q]
[(12.9693459, 77.57943999999998)],[ChIJo9lF1QsWrjsRR_DOMqUzGqk]
[(12.9749569, 77.60395790000007)],[ChIJJ9FHRHwWrjsRMTN7glRaL7g]
[(12.9578256, 77.59271979999994)],[ChIJCblfeNkVrjsRJLPi1gU34uU]
[(12.9547671, 77.58544419999998)],[ChIJ--Wty90VrjsR8PH7nf3hBTw]
[(12.9653181, 77.5848135)],[ChIJc_CyCuAVrjsRYB_pDCZaYFo]
[(12.9679886, 77.58789920000004)],[ChIJY-f2nnUWrjsRZF0xpDVegRs]
[(12.971599, 77.594563)],[ChIJE8R9PncWrjsRSzGsTLDwEuM]
[(12.9721192, 77.58749739999996)],[ChIJ9dpTfWMWrjsRdBEbim0hIZs]
[(12.9726199, 77.60703799999999)],[ChIJ7Y5UPHcWrjsRJiOXabxm8yI]
[(12.973046, 77.58231999999998)],[ChIJu-C3iAwWrjsR1m_yKJs2HWc]
[(12.981117, 77.60591699999998)],[ChIJny0Y7mIWrjsR2dDXT6S_VKE]
[(12.9767409, 77.5781455)],[ChIJz4nFWjcSrjsRasJanYtXuq4]
[(12.976667, 77.575783)],[ChIJx2rwzg8WrjsR1LFo3voWx-o]
[(12.959367, 77.59346699999992)],[ChIJVaKqUtoVrjsRI_hrpYHkA5w]
[(12.967209, 77.60634600000003)],[ChIJO8WAZ9UVrjsRfOb9izG-MOg]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRZZrIncSIun0]
[(12.9740394, 77.57897330000003)],[ChIJDzGIawgWrjsR78DcCjcDAV4]
[(12.959, 77.52459999999996)],[ChIJwbXHd3k-rjsRM1lF9nhqzys]
[(12.96095, 77.5276)],[ChIJT_gyfnc-rjsRKKEDhvn3o7o]
[(12.956344, 77.58314300000006)],[ChIJg_JKwucVrjsRH7nxPbELFUM]
[(12.9577735, 77.59270909999998)],[ChIJYZRlENsVrjsR4CjGVPn1NUs]
[(12.9801469, 77.55502009999998)],[ChIJ1SPqPPE9rjsROYKkf1g4Ht8]
[(12.9580525, 77.52682460000005)],[ChIJUVLTe3c-rjsRU_OljblVpN4]
[(12.9595271, 77.5829172)],[ChIJj0g6FucVrjsRI9AonYQhqJw]
[(12.9802204, 77.60452510000005)],[ChIJ9dpTfWMWrjsRbI9FSR8yD0s]
[(12.9590026, 77.58290260000001)],[ChIJFUG6EecVrjsRFUXxdE1B5gM]
[(12.965367, 77.60133300000007)],[ChIJh_XYbtYVrjsRj75465xkGgw]
[(12.9598931, 77.58760299999994)],[ChIJiZ_tyt0VrjsRKYqKM0TMLqo]
[(12.9619936, 77.59373589999996)],[ChIJY-f2nnUWrjsR1qPYSdm2GzI]
[(12.9728752, 77.5295956)],[ChIJrwo28do9rjsRmax8V91Ff1Q]
[(12.9793299, 77.6064523)],[ChIJH84jymIWrjsRZV9ulPefpEc]
[(12.9685896, 77.53624709999997)],[ChIJnxh1YN49rjsRg2ELPPxcY7A]
[(12.9685485, 77.53711150000004)],[ChIJFVnuQt49rjsRAD3261vZM8U]
[(12.9553353, 77.52819569999997)],[ChIJXepqfXA-rjsRcfTac7GjJow]
[(12.9571443, 77.56414970000003)],[ChIJbQ2RV_gVrjsR3tl7dJOdPcU]
