[(12.961469, 77.584292)],[ChIJ4WrMseAVrjsRhYqIf4jDNBo]
[(12.9714806, 77.60700729999996)],[ChIJ9wB3_n0WrjsRYdiJ9VgGJa8]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRMZcDrHzVI7U]
[(12.975227, 77.60506800000007)],[ChIJPYNMtH0WrjsRkiCS6BuPtNc]
[(12.965875, 77.58467199999996)],[ChIJn-Us4t8VrjsRjZupuljiSaQ]
[(12.956006, 77.58411699999999)],[ChIJxRh9JcMVrjsRirnO0fxg-tc]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRlr_W9h_QTtc]
[(12.969617, 77.58164999999997)],[ChIJAXSIqwsWrjsRVKWgSlqzmZk]
[(12.9616429, 77.57767899999999)],[ChIJoYYuk-MVrjsR_Dh0rCRMuGI]
[(12.9596027, 77.58713549999993)],[ChIJaaWjpN0VrjsRTrTCHZ_us2M]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRU6nY71Jzwqc]
[(12.9750503, 77.60468000000003)],[ChIJlVo5T3wWrjsRKaLsCaGv6WM]
[(12.955705, 77.58819799999992)],[ChIJYcwT09wVrjsRbnG5ARwGkvY]
[(12.968613, 77.57728299999997)],[ChIJAQAAwAsWrjsRelw0mUjDOUE]
[(12.95615, 77.585917)],[ChIJaaWjpN0VrjsRKuwkqwlrTGM]
[(12.9578533, 77.56210039999996)],[ChIJE8R9PncWrjsRZ45OMD0rMHo]
[(12.972036, 77.59432700000002)],[ChIJVVVVhVkYrjsRwFRfY95PcsE]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsR-GAWP4NVbqA]
[(12.9555, 77.58351700000003)],[ChIJ5zOJcOgVrjsRPMZ1XQwXglA]
[(12.968702, 77.57901420000007)],[ChIJT3GxjgkWrjsRmY0vUMaSjqo]
[(12.9578267, 77.58208560000003)],[ChIJ6RhCq-cVrjsRPoA7uJpKKko]
[(12.966806, 77.577045)],[ChIJ2Tds2gkWrjsRbhG0GUd6QVE]
[(12.9614954, 77.58405449999998)],[ChIJ4WrMseAVrjsRdOb7oJP0gKs]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRS467fbw7A7M]
[(12.982967, 77.609283)],[ChIJl3CRuIkWrjsRAt845pPoCwE]
[(12.9626067, 77.57268840000006)],[ChIJVVVVxfwVrjsRYE2pnZPe5VA]
[(12.9583681, 77.58596990000001)],[ChIJaaWjpN0VrjsRPGSSLn74Mu0]
[(12.9636444, 77.57057459999999)],[ChIJhaMJcf0VrjsRdMuYCWdJ47o]
[(12.971599, 77.594563)],[ChIJM295FT0WrjsRPOPVVkAvn7Y]
[(12.9512169, 77.59531730000003)],[ChIJxRh9JcMVrjsRsHC5T8yXxVk]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRVpten-8gZ9s]
[(12.9556929, 77.59080620000009)],[ChIJ165SqsQVrjsR_f-qbaVq4CM]
[(12.955706, 77.58822499999997)],[ChIJ334a09wVrjsRRv5q066-1jU]
[(12.965733, 77.57932900000003)],[ChIJbcV-9-EVrjsRV_0_DuJ0iIc]
[(12.966862, 77.581186)],[ChIJcaI3dwoWrjsRFfpm6J1QvVk]
[(12.9583959, 77.58593969999993)],[ChIJ_Yvfnd0VrjsRlfmyz0tZJXI]
[(12.9582918, 77.58638470000005)],[ChIJ92WiCt0VrjsREfltmPanU_M]
[(12.9583668, 77.58562589999997)],[ChIJQXFInd0VrjsRXPfsiuINIXw]
[(12.967862, 77.58101799999997)],[ChIJw_u_aQoWrjsRN_b8yzn1QKQ]
[(12.9511364, 77.59268180000004)],[ChIJPZITOsQVrjsRtfUA_2T5fTw]
[(12.9607635, 77.58202670000003)],[ChIJv1qHKucVrjsRQvX-41p01xU]
[(12.9592487, 77.59069520000003)],[ChIJPft0iNsVrjsRMvRTzEXzCL0]
[(12.962554, 77.56260709999992)],[ChIJq0Dkef8VrjsRUPN2RxWqXgU]
[(12.9601524, 77.58900410000001)],[ChIJV-xjPtwVrjsRZPGSETWiuRc]
[(12.9816135, 77.52595919999999)],[ChIJsXDJx8g9rjsRLPFH1Ftbcag]
[(12.9602629, 77.58229899999992)],[ChIJ25amKOcVrjsRxO4-pQnL-10]
[(12.95743, 77.55239699999993)],[ChIJcWowuwU-rjsR9u2yt34TLRI]
[(12.958567, 77.51914899999997)],[ChIJ8QMuhn4-rjsR7-3sWOyApx4]
[(12.95846, 77.53930700000001)],[ChIJkbRbqgw-rjsRsusHyfOEgLc]
[(12.9590608, 77.57651740000006)],[ChIJDf_zXuQVrjsROOuDLZIlmxE]
[(12.959105, 77.59200799999996)],[ChIJq9q5mNsVrjsROulhqiQD7To]
[(12.957582, 77.58807569999999)],[ChIJzcdj49wVrjsRfufZi-J8Shg]
[(12.9656938, 77.59195079999995)],[ChIJR4jyv9gVrjsRD-M5SgOdjYQ]
[(12.9504003, 77.59656270000005)],[ChIJQ-nEVM8VrjsRBePQSGlD37o]
[(12.9514509, 77.56398390000004)],[ChIJl2UEuX8WrjsRheCrv5NjI68]
[(12.9574297, 77.59116059999997)],[ChIJ1xBkZtsVrjsRpt9Te1Zu6rE]
[(12.994159, 77.66382299999998)],[ChIJgzjN6zcRrjsRDOZ3uQXAsQQ]
[(12.942117, 77.57536099999993)],[ChIJJ_DPwo0VrjsRDH-o6SKVtUE]
[(12.93414, 77.58427200000006)],[ChIJAQAAAKQVrjsRCCIN57pPvNQ]
[(12.9671016, 77.63905)],[ChIJSTkowgIUrjsRa0JCA5QW57o]
[(12.937163, 77.61742000000004)],[ChIJ3yG2wl0UrjsRTQ2EvewpjYQ]
[(12.962124, 77.61469290000002)],[ChIJqcmbti4UrjsRecjWYhnEle0]
[(12.942278, 77.57299620000003)],[ChIJRyxWbpgVrjsRjEhwMmemM94]
[(12.944735, 77.55971599999998)],[ChIJ____Pxs-rjsREf6URloKZ4I]
[(12.968053, 77.63836409999999)],[ChIJV42u2I8WrjsRFcFb8iy_HeY]
[(12.934306, 77.62215400000002)],[ChIJ0ezQrUcUrjsRvNiZGJoA2BI]
[(12.978346, 77.6407868)],[ChIJ_1TzPqEWrjsRSaZSM2F9tfE]
[(12.9750644, 77.6354781)],[ChIJJZTsQKEWrjsRo6Y7a_mBV8M]
[(12.9855104, 77.52001399999995)],[ChIJj8v4cco9rjsRXQueGsup9Y0]
