[(12.8687145, 77.57932310000001)],[ChIJb-iCy7ZqrjsRZDs6-o9h_Qg]
[(12.8688714, 77.58192259999998)],[ChIJxzTq9bZqrjsRFtQ8JMcIY7A]1
[(12.871928, 77.58248200000003)],[ChIJ9_jGybVqrjsRRzhNAJNfCLs]
[(12.8743479, 77.59262669999998)],[ChIJmbdYDc1qrjsRHnaqAeZoI9s]
[(12.875088, 77.543814)],[ChIJLc7X8fU_rjsRg9eAgRtdLFg]
[(12.8756098, 77.59542699999997)],[ChIJUZ5VQs1qrjsRyPc-bf2aTtM]
[(12.8771067, 77.56918610000002)],[ChIJSUo-FVMVrjsRU7x1x73CvA0]
[(12.8771067, 77.56918610000002)],[ChIJSUo-FVMVrjsRU7x1x73CvA0]8
[(12.8780143, 77.60232759999997)],[ChIJtdOXWSsVrjsRJSV7rsPSANs]
[(12.8780221, 77.51303250000001)],[ChIJ5QmU1n4_rjsRjs2s05LvApw]
[(12.8792506, 77.54487240000003)],[ChIJT7RQG_Q_rjsRoL3CYvPkSpY]
[(12.879458, 77.76009299999998)],[ChIJybwOgLFyrjsR0oXREOKeBsE]
[(12.8794595, 77.54406970000002)],[ChIJ4Z1XA_Q_rjsRXekJaVBN7o0]
[(12.8796626, 77.59420390000002)],[ChIJ-aRJCjIVrjsRdGscxVoTRnY]
[(12.8800133, 77.58023170000001)],[ChIJR_kBlEsVrjsR2a4LmZe5rzQ]
[(12.88042, 77.58939699999996)],[ChIJc_BkaTQVrjsRdcgqP7dNNmQ]
[(12.8811727, 77.44431910000003)],[ChIJrUVbmJc4rjsRmp-jI7W3Etw]
[(12.8818593, 77.44406400000003)],[ChIJn7lVQHUVrjsRuH0gEMiNCrE]
[(12.8825127, 77.62554290000003)],[ChIJmberv8sUrjsRtOv_LZr2Guc]
[(12.883268, 77.54609900000003)],[ChIJKSOBvfE_rjsRLH7OnnkQnRA]
[(12.8844318, 77.61710599999992)],[ChIJb8R2mtEUrjsRT2CDDoWAMKY]
[(12.885462, 77.58446219999996)],[ChIJTVFFL0gVrjsR_lW1ypUv2RM]
[(12.887175, 77.45085500000005)],[ChIJoyhM1b04rjsRhIjaHw-2LsI]
[(12.8874204, 77.64134079999997)],[ChIJl7y107EUrjsRG5HnWLrMHiA]
[(12.8876335, 77.69704660000002)],[ChIJb3qFhikTrjsRPRMXVOD9VDM]
[(12.888253, 77.55080499999997)],[ChIJwTyI3Ow-rjsRWpJ1rCLgRB0]
[(12.8886519, 77.59186509999995)],[ChIJKXV4EjoVrjsRQyElVvHzrJA]
[(12.8904972, 77.59740250000004)],[ChIJybLaGCUVrjsR_GChAQko15A]
[(12.8904972, 77.59740250000004)],[ChIJybLaGCUVrjsR_GChAQko15A]0
[(12.8908635, 77.60057890000007)],[ChIJ8wgItiUVrjsRsSdF1QsQ1pY]
[(12.8912119, 77.46556369999996)],[ChIJ1fH26bU4rjsRNe8QTSGol6k]
[(12.8914653, 77.86880840000003)],[ChIJgxga5jILrjsRnrmMZFBK6mY]
[(12.891559, 77.56537679999997)],[ChIJrVpzJVkVrjsRFgMfCdP6ICw]
[(12.8925973, 77.82262620000006)],[ChIJoxeDLbIMrjsRit6VRVpkjw4]
[(12.8935046, 77.5581631)],[ChIJx5UhE-E_rjsRCIiwv4nXWwc]
[(12.8935998, 77.60440110000002)],[ChIJk6pR0CYVrjsRK12ut_8jhK4]
[(12.8941948, 77.65284240000005)],[ChIJPzGQcKcUrjsR2aWknY3Nf1c]
[(12.8945439, 77.55533200000002)],[ChIJUW252eY_rjsRQ_Cxvt_LCmU]
[(12.894655, 77.67515300000002)],[ChIJ8T-al0cTrjsRNcZN56OrnbY]
[(12.8947282, 77.67515300000002)],[ChIJBUMunUcTrjsR3q1nApWbtdY]
[(12.894798, 77.60269540000002)],[ChIJQzWg5CQVrjsRO3mQeMrbRU8]
[(12.8953505, 77.58757889999993)],[ChIJ83apHT8VrjsReTYxYqyoabc]
[(12.89651, 77.46166019999998)],[ChIJeza4Yg8-rjsRbz4rGXqTWuk]
[(12.8980646, 77.58504560000006)],[ChIJq6qq9z8VrjsReUeoUqX8GoQ]
[(12.8983601, 77.61794650000002)],[ChIJdT5smO4UrjsRFU14CKS6xo8]
[(12.8988331, 77.62553750000006)],[ChIJJ1yZj8EUrjsRkvcmYIY_vBY]
[(12.898918, 77.62554690000002)],[ChIJ6-6Pj8EUrjsRhPmt6EauvhA]
[(12.8990553, 77.58691099999999)],[ChIJl8WeYhUVrjsRCF3T0JjwHRM]
[(12.899059, 77.71416299999999)],[ChIJ8x-vcMQSrjsRkM2GrmP51M8]
[(12.8993403, 77.49615849999998)],[ChIJ_QxzMxQ_rjsRwJ4iOTrh-Z0]
[(12.899366, 77.71308799999997)],[ChIJNbMd4ZISrjsRwH1xmgsZHxs]
[(12.899983, 77.62772500000005)],[ChIJIxyCA3IVrjsRItvygXh2Kno]
[(12.9000776, 77.62768600000004)],[ChIJ936RzMEUrjsRYWN-28sz21g]
[(12.9011621, 77.63074840000002)],[ChIJZRZuMPEUrjsRy9HOHcd1azM]
[(12.9015007, 77.63126569999997)],[ChIJU-PyWZUUrjsRly-XcQJ5s6w]
[(12.9020907, 77.57726179999997)],[ChIJXQwfDmkVrjsRq7G56Me7Qqg]
[(12.9021902, 77.51858199999992)],[ChIJw_k6JKc_rjsRw9E4mmbWvgk]
[(12.902572, 77.61966600000005)],[ChIJt-zbcOgUrjsR-qUO0qYFhdc]
[(12.902969, 77.59798)],[ChIJLegPtxkVrjsRhZ2LSb19nok]
[(12.9029901, 77.60242219999998)],[ChIJV7FX0R4VrjsRup-EacXlpB4]
[(12.9030999, 77.58528290000004)],[ChIJQdrsyRQVrjsROiSVczo2mbU]
