[(12.9613052, 77.56299709999996)],[ChIJw5Xlaf8VrjsR9YpK_JhGaOM]
[(12.962289, 77.60296900000003)],[ChIJ03IrCdQVrjsRu9tcldLYS4E]
[(12.9626957, 77.60129499999994)],[ChIJv2PFutYVrjsR7AxU3GVpS8Y]
[(12.972818, 77.56989799999997)],[ChIJ5UJ-NwQWrjsRQWvc-BOiW54]
[(12.9806867, 77.53616490000002)],[ChIJOXq10sM9rjsRLgJ4bmTUhMQ]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRnDpDCgqzxUA]
[(12.9757035, 77.55756429999997)],[ChIJOQft6fk9rjsRsPdB5gLzr0Y]
[(12.9590534, 77.52485750000005)],[ChIJG92tnXk-rjsRlA5uz_HF_hU]
[(12.9753407, 77.56129729999998)],[ChIJ2zJ4RUo8rjsR2XB5POeeVfw]
[(12.9560084, 77.53683890000002)],[ChIJvY3PAnM-rjsRXhNOPqGwqCY]
[(12.9596418, 77.58447279999996)],[ChIJ5dZXZ-cVrjsRQSlLcH-0GzI]
[(12.959927, 77.53532399999995)],[ChIJWz3WpXQ-rjsRFyvZ01DS0DU]
[(12.9657484, 77.53980990000002)],[ChIJV8hnEuA9rjsR6WO2MzhUUzw]
[(12.9698858, 77.53327960000001)],[ChIJVVVVVdk9rjsR5Q5OGd2-S0M]
[(12.9563455, 77.58596969999996)],[ChIJ8758Rt0VrjsRCiAP30prWb8]
[(12.9823584, 77.53867149999996)],[ChIJl5SG48E9rjsRl7PBFM0PvJc]
[(12.9604464, 77.54230410000002)],[ChIJeXMOogs-rjsRShm78Us7tpo]
[(12.955211, 77.57412999999997)],[ChIJYd3iWeUVrjsR5_4Fqs3ASJ0]
[(12.9735515, 77.54845219999993)],[ChIJZTISHeU9rjsRKfz6LY5-O7c]
[(12.957418, 77.59764789999997)],[ChIJpyo3FdAVrjsRL_uwBFMBJm4]
[(12.9511978, 77.56969389999995)],[ChIJ892aGvEVrjsR3fpQ_SbbuGw]
[(12.9578372, 77.5703403)],[ChIJwwfMq_sVrjsRg_fsuVBNN54]
[(12.9720467, 77.59389349999992)],[ChIJhUnsJXcWrjsR5PRDiQIg-Ro]
[(12.9601244, 77.52997849999997)],[ChIJ-3pBGXc-rjsRqfS5oRcIjfA]
[(12.9573916, 77.52441820000001)],[ChIJxWyTzXs-rjsRU-6_kyi-YWs]
[(12.965655, 77.541248)],[ChIJe-l8MOA9rjsRhOsHLqEEZ1I]
[(12.9712678, 77.54024930000003)],[ChIJV2jURuc9rjsRV-rmIaDAksU]
[(12.966629, 77.52410399999997)],[ChIJY7R5-NY9rjsRUOhDJ1fXoyU]
[(12.9653085, 77.53975979999996)],[ChIJ_____9g9rjsR0eWCDzotrHw]
[(12.9570785, 77.5608982)],[ChIJWV38iQI-rjsRNeSQiHoAsZA]
[(12.959195, 77.52736200000004)],[ChIJQyCr43k-rjsRkuGXD1Mns8M]
[(12.9806472, 77.56019820000006)],[ChIJ82GIKfI9rjsRet7KjDWfe8o]
[(12.9780808, 77.54175399999997)],[ChIJA8OWV-g9rjsRVdgY0mxyeiE]
[(12.9617123, 77.5950153)],[ChIJmwszHtoVrjsRX9ajnLt50FE]
[(12.9810751, 77.56783789999997)],[ChIJHWcQihsWrjsRL9WK3w8sTe8]
[(12.9694035, 77.60171820000005)],[ChIJ7W8hzHgWrjsRWdPsMLFS3qQ]
[(12.9550979, 77.5288117)],[ChIJoeHT8tM9rjsRhND-RB3xDRE]
[(12.9718722, 77.58232709999993)],[ChIJrXRReQsWrjsRWdBG8WGqnSQ]
[(12.9700195, 77.54183220000004)],[ChIJj7f21eA9rjsR9M9oawusuKc]
[(12.968554, 77.58522300000004)],[ChIJP6_iM3UWrjsRH89EMw6i4hM]
[(12.955456, 77.5305922)],[ChIJVVVVqnE-rjsRw8ojHkDXzyQ]
[(12.952142, 77.5673157)],[ChIJU8VSKfcVrjsRhr2r1oCH6DQ]
[(12.9728576, 77.54073410000001)],[ChIJ8cXIC-c9rjsRSrxIrONdDFU]
[(12.9576807, 77.56338060000007)],[ChIJQ6Uu8_gVrjsRpLoRZoVK-II]
[(12.9808855, 77.55757530000005)],[ChIJMeITwPY9rjsRVrf_nhSAb2Q]
[(12.9662944, 77.53905780000002)],[ChIJ64IIduA9rjsRP7ZO5tJ_-3A]
[(12.9789554, 77.57483760000002)],[ChIJAQAA8A8XrjsRq68xNU-ZX6E]
[(12.970142, 77.53644329999997)],[ChIJx7jD1d09rjsRl6wj6vhhEHA]
[(12.9747468, 77.52061649999996)],[ChIJ6w5xNOQ9rjsRDqWEtIjUEN0]
[(12.971599, 77.594563)],[ChIJ_8N9PncWrjsRppu1kR--8iM]
[(12.9742259, 77.56022439999992)],[ChIJRezcXvg9rjsRL5dtCgWiWK8]
[(12.950248, 77.5751626)],[ChIJBwAAQO8VrjsRiJIoX-5Twks]
[(12.950253, 77.59420899999998)],[ChIJaaxPPuc9rjsRWIxssXWLnjE]
[(12.9587122, 77.59345410000003)],[ChIJ_____9oVrjsRl4o1FdrqCuQ]
[(12.958365, 77.56339600000001)],[ChIJj2v9PfkVrjsRp4lYyyZgAYA]
[(12.9514382, 77.61037669999996)],[ChIJI2ZLeTMUrjsRYobhH_AZZak]
[(12.9721968, 77.60059580000006)],[ChIJK0baaXkWrjsRwYRNwl9iEHQ]
[(12.9578803, 77.56449610000004)],[ChIJ7YyX_PgVrjsRdoSh_lgAWYk]
[(12.9750802, 77.58251259999997)],[ChIJLTqH_QwWrjsRJ3p0HFUb_Q4]
[(12.9509653, 77.59390459999997)],[ChIJWcAXzsUVrjsRBnG8O8JllEk]
[(12.979288, 77.57615899999996)],[ChIJ21hrSxAWrjsRrWomzWTcvv8]
[(12.9774643, 77.53660079999997)],[ChIJOXIg5MI9rjsRb2mBVWb62LY]
[(12.968228, 77.57248200000004)],[ChIJIb2GxQcWrjsRFWiQKRWT2b0]
[(12.958886, 77.59729049999999)],[ChIJD6HcidAVrjsREmSMT-BWeWc]
[(12.9642723, 77.54050080000002)],[ChIJF5xPnwo-rjsRBmPqcaYglNY]
[(12.9704281, 77.57128179999995)],[ChIJnyZxaAYWrjsR9F_0yXuJb5g]
[(12.9550168, 77.5322731)],[ChIJMSkKmnE-rjsRVViC_Nqfr2Y]
[(12.9655772, 77.53089599999998)],[ChIJt3gw89g9rjsRo1b_iYgjS28]
[(12.9756145, 77.59346210000001)],[ChIJVVVVVXAWrjsR6VVQB9AaUG0]
[(12.9601972, 77.55852030000005)],[ChIJo-x5ewE-rjsRwktvr_ZMdU8]
[(12.9737607, 77.5367827)],[ChIJ_____9g9rjsR2EqX89KfYE0]
[(12.9648663, 77.59590309999999)],[ChIJ-bW4LtgVrjsRdEYZHGGxacE]
[(12.958748, 77.59273400000006)],[ChIJpQHZp9sVrjsRHEJr7ta1DgQ]
[(12.952859, 77.53111200000001)],[ChIJ50b513E-rjsRvD86p-FNIQE]
[(12.9809362, 77.54784229999996)],[ChIJy5W5Y-49rjsRujnz6unlE7k]
[(12.9673435, 77.5358089)],[ChIJTZ9-_t49rjsRlDmzoCyKVqk]
[(12.959189, 77.52233890000002)],[ChIJ-R8hSXk-rjsRfDcc-5eq-UE]
[(12.9752022, 77.53292080000006)],[ChIJrQw0Gec9rjsRuzKI4Sckbd0]
[(12.9598617, 77.52300739999998)],[ChIJHRMnPHk-rjsR-S0q-3JAB7w]
[(12.980537, 77.55297070000006)],[ChIJZShvo_E9rjsRiiZNlGIQr1Q]
[(12.974152, 77.61077499999999)],[ChIJ_9Sy14YWrjsRUCHEmSTA8kA]
[(12.9646059, 77.53989460000003)],[ChIJaQ13HeA9rjsR5B9jCbeNAEI]
[(12.9695551, 77.53624969999998)],[ChIJ-Ve8fd49rjsRGR0suWc4rIw]
[(12.9713847, 77.53563959999997)],[ChIJ-ecuNtw9rjsRXBcATSWTEVs]
[(12.9613574, 77.54980380000006)],[ChIJqfKOmgg-rjsRFBWyQUd-0oo]
[(12.9581018, 77.56926840000006)],[ChIJIW2ht_sVrjsR9A9X7WnxBok]
[(12.9684151, 77.59981879999998)],[ChIJYQyAjngWrjsRQAubjQNlddM]
[(12.973593, 77.57379600000002)],[ChIJrx2pZg8WrjsRbwrFfuJE67w]
[(12.9715177, 77.59444469999994)],[ChIJE8R9PncWrjsRzQcoLE9kYZE]
[(12.9930596, 77.58824219999997)],[ChIJZ5Ok4EAWrjsR4xVsIgN818A]
[(12.9490812, 77.62092410000002)],[ChIJgwbBtzkUrjsRUgILl8pxu-4]
[(12.9695643, 77.64679460000002)],[ChIJ42WJDAIUrjsRzvgoxNFhiWY]
[(12.9841062, 77.54962410000007)],[ChIJq6qqWvE9rjsRLg8NK8lRVc8]
[(12.9407336, 77.62085439999998)],[ChIJJ7jAc0YUrjsRvQuaf7GlZdM]
[(12.9937197, 77.61053479999998)],[ChIJvaCtq_UWrjsR7AuruHMqUZo]
[(12.936313, 77.58148499999993)],[ChIJb9hI8ZYVrjsRxurdL4-m5vQ]
[(12.9490069, 77.57282579999992)],[ChIJ457mAvIVrjsRFrffWxE6BSU]
[(12.9989662, 77.56848009999999)],[ChIJ7YKa7yUWrjsRnbfXnslXOGg]
[(12.9927605, 77.6104259)],[ChIJ____T_QWrjsRh0RLlDCNGx0]
[(12.9759304, 77.482483)],[ChIJu0hWuBE8rjsRTBywZaB2oEc]
[(12.9878911, 77.58080489999998)],[ChIJVxWSlRUWrjsRTFt4G0iTBds]
[(12.9916389, 77.60726039999997)],[ChIJ8V9Ti18WrjsRheAylS4264A]
