[(12.927345, 77.67086599999993)],[ChIJZWnpdZ4TrjsR0dC0VfuGZTc]
[(12.9156664, 77.65158059999999)],[ChIJk3Re8IIUrjsRoujXIf13lLY]
[(12.9402761, 77.6198048)],[ChIJzzBY_UUUrjsRjo_IeYpqDbQ]
[(12.986367, 77.68874600000004)],[ChIJB8vMz3ERrjsR-fCs-X-YA3E]
[(12.914767, 77.60619399999996)],[ChIJeX7TQgIVrjsRXQVL3KDq_EI]
[(12.9446066, 77.567677)],[ChIJJxEFUe09rjsRBLS2zZNv3ts]
[(12.9267023, 77.55062339999995)],[ChIJX39bHi4-rjsRqOZKMS97MKA]
[(12.973692, 77.64407600000004)],[ChIJ1bnCwqgWrjsRkTDCFuHYMys]
[(12.977639, 77.64228000000003)],[ChIJVVVV0ZA9rjsRUKOKzD3g1sY]
[(12.934424, 77.61353699999995)],[ChIJRamcAE4UrjsR0ThXkkT6k00]
[(12.9222406, 77.58941779999998)],[ChIJSfCko6AVrjsRrzIHlX_ayY8]
[(12.936983, 77.61988300000007)],[ChIJJ6D1eUUUrjsRrrHOFhrbmk4]
[(13.008237, 77.57126500000004)],[ChIJIWQopi0WrjsRjOe64czV7WY]
[(12.988417, 77.59367500000008)],[ChIJT7hSNGgWrjsR7wClZQiOGC4]
[(12.9600963, 77.64856020000002)],[ChIJv0UTcgYUrjsREsygFyiPBdM]
[(12.9309754, 77.5812436)],[ChIJQ5e2TZgVrjsR65yA_vOPnBM]
[(12.9265259, 77.5645644)],[ChIJccrRK4cVrjsRUcm8i3B5SXg]
[(13.008168, 77.56476299999997)],[ChIJwT5uli4WrjsR85khpMje0JE]
[(13.008918, 77.58088900000007)],[ChIJ27_j9TQWrjsRZrvkJcN-Pv0]
[(12.913726, 77.60706700000003)],[ChIJuUEGiQIVrjsRrJyf84Z2vyE]
[(12.9969292, 77.69681719999994)],[ChIJYaCCAgsRrjsR3sFjc0pz3Tw]
[(12.9371539, 77.58388279999997)],[ChIJU2xmFpYVrjsRan1DfKB5NqY]
[(12.9063262, 77.58621100000005)],[ChIJgafXe3IVrjsRknIqymoh1Wk]
[(12.963816, 77.64020900000003)],[ChIJBU-fnRwUrjsRpLXLQIWSRec]
[(12.9951687, 77.55203289999997)],[ChIJ_____4w9rjsRRhiE9U4IBHk]
[(12.969969, 77.66721299999995)],[ChIJn6qqmuITrjsRAEzH0uYnYQ4]
[(12.9790093, 77.75171260000002)],[ChIJO1mQtwYOrjsRP1tlYuP5Agk]
[(12.907667, 77.64895000000001)],[ChIJLWT-HZwUrjsRj_YPlblqrTE]
[(13.010894, 77.55482299999994)],[ChIJURXApng9rjsR4rBKKiwlxJQ]
[(12.909568, 77.64469299999996)],[ChIJt24HUpoUrjsRIF81x6XWnzI]
[(12.9174413, 77.65205470000001)],[ChIJbz__Q4IUrjsRr2a5EmzqU8k]
[(12.936265, 77.51822419999996)],[ChIJWZy2O18-rjsRb0THm9RCJtE]
[(12.9250279, 77.55094370000006)],[ChIJbXs5-i0-rjsR8BU_f_OSKxE]
[(12.9169306, 77.67129060000002)],[ChIJ00JILHITrjsRRR4Ba-3OiKw]
[(12.936798, 77.58003099999996)],[ChIJ5X-Cx5YVrjsRwrzfH06nkwA]
[(12.926116, 77.67568600000004)],[ChIJSy6m4Z8TrjsRLnlmknG1zLk]
[(12.970173, 77.63935600000002)],[ChIJEUrGz6kWrjsRDK-d0hNuV-I]
[(12.9945557, 77.59096449999993)],[ChIJ____P0IWrjsRth1W86borlk]
[(12.971197, 77.64970900000003)],[ChIJdVbwaaoWrjsRSFfbt-w2ICY]
[(12.936364, 77.62714699999992)],[ChIJtWv5ilEUrjsRDqFkAD5C2ys]
[(12.909829, 77.61425600000007)],[ChIJQfulkOQUrjsRgnkc6e4L7EU]
[(12.93174, 77.5732663)],[ChIJl2-EU4UVrjsRhBlMWLMhHho]
[(12.96133, 77.71675900000002)],[ChIJ42g_VCMSrjsRM5tgyYqsg1s]
[(13.0094869, 77.5430963)],[ChIJ2ael7HU9rjsRgZ_PhXqpiUQ]
[(12.924254, 77.67369299999996)],[ChIJG9fazXYTrjsRvqFh6v9nsTQ]
[(12.9360638, 77.51767589999997)],[ChIJAfEFOV8-rjsREcWnMpriC0E]
[(13.0029387, 77.59630179999999)],[ChIJxVBF308WrjsRmSV-YXHPyOM]
[(12.987371, 77.73247700000002)],[ChIJ9zZZmO8RrjsRIVOt-TuWj20]
[(12.925019, 77.55102999999997)],[ChIJITv--i0-rjsRiE_aaBCNKjA]
[(12.985483, 77.53726699999993)],[ChIJ86uaQcA9rjsRhEwv5eeyeos]
[(12.9851614, 77.67178549999994)],[ChIJMW7NnUMRrjsRkNP4gQsCuBg]
[(13.0046681, 77.61689449999994)],[ChIJryJj_PoWrjsReVumEo5xNuU]
[(12.9797844, 77.7282083)],[ChIJEV0cAPQRrjsR4R45gSsVcC4]
[(12.9351491, 77.62247439999999)],[ChIJu7HwFkUUrjsRf39GpysZ5M4]
[(12.9869113, 77.7363646)],[ChIJLfCM4OQRrjsRJpSG3pRQObQ]
[(13.002519, 77.63455499999998)],[ChIJORkiMcMWrjsRsu2Ul-PBDHA]
[(12.93023, 77.58341999999993)],[ChIJg1ccXpgVrjsRBOpjYUN_qwM]
[(12.984967, 77.59685400000001)],[ChIJk-AqG2YWrjsRvoR_lAADjJY]
[(12.9332058, 77.63303510000003)],[ChIJxy1FsGcUrjsRsKsWvMwfqzc]
[(12.994644, 77.57136070000001)],[ChIJP65XmyQWrjsRiY74sVUSddY]
