[(12.9750202, 77.5541829)],[ChIJ21n8Qvo9rjsR0N266gO6xfs]
[(12.966305, 77.58096499999999)],[ChIJJ2zlfOIVrjsRL2wJeuLtYT0]
[(12.9549283, 77.5659177)],[ChIJr4Zw3PkVrjsR7Hq8CW4O2Fk]
[(12.973033, 77.55023299999993)],[ChIJhymx0-Q9rjsRp9uIxlMBuCA]
[(12.9689059, 77.52457579999998)],[ChIJHX9c1tY9rjsR07fRYca9_fM]
[(12.962883, 77.57640900000001)],[ChIJZSNdqOMVrjsRTN3IXltwgAg]
[(12.9661816, 77.5235361)],[ChIJCSoXXNY9rjsRATY8BUoHtZg]
[(12.95875, 77.55926699999998)],[ChIJh1R8NAI-rjsR1Y2p6glPSEc]
[(12.972417, 77.58108300000004)],[ChIJo6fkdgwWrjsRJV4_Nv2I6jo]
[(12.9745982, 77.60150580000004)],[ChIJO-UQI3kWrjsRt_RR8iVrzC4]
[(12.968033, 77.57691699999998)],[ChIJVVVVuQkWrjsRqf5eiYGe9RY]
[(12.970367, 77.58006699999999)],[ChIJKa15xAsWrjsRc4rTZGVW6xI]
[(12.9677455, 77.52388300000007)],[ChIJLYZJ79Y9rjsRPdmseMXYugY]
[(12.9664639, 77.57780049999997)],[ChIJcVdih-IVrjsR-U1a3Ks268s]
[(12.9687042, 77.57916339999997)],[ChIJu2sDwwsWrjsR9q_Z6hIh-SM]
[(12.97345, 77.57526699999994)],[ChIJm8RoFg8WrjsR5If_2OyVDg0]
[(12.975564, 77.57842800000003)],[ChIJN_2seg4WrjsRva6ja8fM6xA]
[(12.976283, 77.52845000000002)],[ChIJz01gRMU9rjsRyqmUbkLbnEk]
[(12.961004, 77.58729399999993)],[ChIJ9UJPFwsWrjsRnowr0JtPhrI]
[(12.970937, 77.57284789999994)],[ChIJtQT8GgYWrjsRkuePzKpoN5w]
[(12.9660641, 77.57780439999999)],[ChIJu2sDwwsWrjsRVEJ_p3nlEko]
[(12.970767, 77.58053300000006)],[ChIJB_uo6gsWrjsRpLM1ksG8LxU]
[(12.971767, 77.58063300000003)],[ChIJ_WW7jAsWrjsRROTh8fhGJzw]
[(12.968396, 77.57947300000001)],[ChIJu2sDwwsWrjsRtDoN3gfU3dw]
[(12.970767, 77.58053300000006)],[ChIJB_uo6gsWrjsRXwwUh7TW_Xg]
[(12.966524, 77.57775700000002)],[ChIJYQRl4AkWrjsR-BzV0GRrMQ4]
[(12.9720202, 77.59562600000004)],[ChIJ68HfWHcWrjsRZUsfLPWFtkc]
[(12.970204, 77.58710300000007)],[ChIJjSLe-nQWrjsR9435fzIAv5g]
[(12.971533, 77.58063300000003)],[ChIJZa9GjQsWrjsRfPrYItKFU7g]
[(12.970733, 77.580783)],[ChIJaQcvvgsWrjsRwyTu77OG7sU]
