[(12.9726115, 77.64863660000003)],[ChIJ84tlM6oWrjsRApxj5eYn784]
[(12.9856676, 77.64410380000004)],[ChIJnQQMLbcWrjsR-pQX4eCLhd8]
[(12.9576323, 77.50286759999995)],[ChIJAQAAQJw-rjsRr3nOmhy51hQ]
[(13.002567, 77.63440000000003)],[ChIJ204vH-gWrjsRDgjG3DuBmw0]
[(13.0023651, 77.61079210000003)],[ChIJIaXjtfAWrjsRw59cDSmsmic]
[(13.0080044, 77.62210299999992)],[ChIJeTYOgOQWrjsRXmKknIqSVQA]
[(13.003034, 77.63554699999997)],[ChIJvSFTs9wWrjsRayk7ZyjRo98]
[(12.9424134, 77.58558879999998)],[ChIJGwf8GL4VrjsR5aUELy5dDpw]
[(13.0002586, 77.5691038)],[ChIJ3f5XRC8WrjsR3zdES63OXso]
[(13.021837, 77.64708599999994)],[ChIJqbUhvS4XrjsRmaIjTYfePP8]
[(12.9680589, 77.70144589999995)],[ChIJE8R9PncWrjsRmNBISQ5fzUs]
[(13.0029426, 77.63474819999999)],[ChIJJ8LqNMMWrjsR317DC94qRCQ]
[(12.9148994, 77.61266139999998)],[ChIJmVrjZPwUrjsRhaPm0L7J0JM]
[(12.9205003, 77.57353910000006)],[ChIJ1Zyr_3cVrjsR9p3SuWwymHs]
[(12.9270086, 77.587986)],[ChIJ2ZsGfKEVrjsRgO2Jf1jA-mg]
[(12.9899395, 77.59446839999998)],[ChIJaWT212kWrjsR085-8ih2x0c]
[(12.9258403, 77.5937017)],[ChIJAQAAAKQVrjsRzfnNgSaFUGE]
[(12.939856, 77.62563699999998)],[ChIJRzAp5UMUrjsRuC5m8aoOixI]
[(12.9118513, 77.58916440000007)],[ChIJ2R2hOXcVrjsRAuLxhNjZWI4]
