[(12.988589, 77.60258799999997)],[ChIJkWwAyWAWrjsRvcCEBQMwDtk]
[(12.949735, 77.60530100000005)],[ChIJ8SFSccsVrjsRhMDq4UINejQ]
[(12.990927, 77.53688299999999)],[ChIJsz71sew9rjsR9r9gFPdS1LU]
[(12.929312, 77.55865900000003)],[ChIJ-Y0w-ig-rjsRQ78c3RjFDgA]
[(13.006817, 77.53866500000004)],[ChIJtx2n1KE9rjsRC796VY1VZQQ]
[(12.988369, 77.60283299999992)],[ChIJve7uxWAWrjsRQrzdCW9rUoA]
[(13.0322825, 77.60416959999998)],[ChIJoy9SD6EXrjsRxbsSJxebVf4]
[(12.9407893, 77.53561509999997)],[ChIJ00bgzkE-rjsRf7tVcJku_UY]
[(12.9915783, 77.7303379)],[ChIJu7zwJOkRrjsRCLqMKZ8DRnQ]
[(13.035659, 77.55396569999994)],[ChIJy0q9rV09rjsRXLkyfPjkFgE]
[(12.943024, 77.61782300000004)],[ChIJYVR4YEgUrjsRCblW8xLRl7o]
[(13.0010662, 77.67733629999998)],[ChIJz_DoPBYRrjsR2rjNgGOyllQ]
[(13.0336218, 77.52853970000001)],[ChIJwbrnOz09rjsR1rf-e0QQ38g]
[(12.9846567, 77.52756909999994)],[ChIJX6CE2Mc9rjsR7LVO4xordC4]
[(12.9458155, 77.5934244)],[ChIJm8x6dccVrjsR57U2VSaO1f4]
[(13.092767, 77.5838)],[ChIJwUXC5WMYrjsRFPN61JRzP34]
[(13.0929284, 77.58385150000004)],[ChIJg9-kkWcYrjsR_xHI6lrmvLo]
[(13.0841392, 77.55194840000001)],[ChIJa7vlIZoirjsRNuH5Wf_Pgn4]
[(13.059789, 77.59333700000002)],[ChIJ0WS4BycYrjsRivqsMQ4Yoyc]
[(13.0854193, 77.56082919999994)],[ChIJD-ry650irjsRvOcCdftWTfg]
[(13.098176, 77.59621300000003)],[ChIJVZj24lkYrjsRndG3vQdO9Fg]
[(13.1070687, 77.66649480000001)],[ChIJ3X0ASM0brjsRAcgVh03yrj4]
[(13.0456216, 77.6265621)],[ChIJnfix52gXrjsR-LHAfk2QlFg]
[(13.0512979, 77.59591790000002)],[ChIJS9wPWo8XrjsReK3U7RsDJ18]
[(13.088004, 77.582)],[ChIJd-N3AGkYrjsRjKcnLV-yVzQ]
[(13.0535214, 77.51458019999995)],[ChIJKdeQNdU8rjsRIaWZfEweO5Y]
[(13.0556301, 77.64733479999995)],[ChIJ6ch5o1YXrjsRs5-TwGy4q9g]
[(13.0525462, 77.60208829999999)],[ChIJZy7RVIEXrjsRx54HSGDlcW4]
[(13.068175, 77.60534899999993)],[ChIJ-y5scy0YrjsRkpfhsmNFVqY]
