[(12.95581, 77.72222499999998)],[ChIJd5i9Aj4SrjsRrvLksqpoyFk]
[(12.9357878, 77.51772089999997)],[ChIJd5YDN18-rjsR8eypz7vg0pI]
[(12.9905011, 77.59064650000005)],[ChIJjSCdHUIWrjsRk-smgttATGM]
[(12.9883651, 77.5481916)],[ChIJcXvy2pI9rjsR_epiGUhMkKU]
[(13.009623, 77.65653900000007)],[ChIJWwnEfywRrjsRvOo_JcBpVMY]
[(12.9605106, 77.50714210000001)],[ChIJAX9T-YI-rjsRbeqMxLwIiqs]
[(12.987425, 77.67062899999996)],[ChIJ78MrB0QRrjsRhOkVEhy2wAg]
[(12.923327, 77.57514709999998)],[ChIJtySbGZ0VrjsRbehI3pBXDnI]
[(13.005718, 77.58155299999999)],[ChIJtUnUhTYWrjsRjOPOhRVXWpY]
[(12.971508, 77.64492670000004)],[ChIJYeDnTKgWrjsRg-MeSrMUgB8]
[(13.0090998, 77.57821260000003)],[ChIJ8aHQdjMWrjsRfuPnsemQ118]
[(12.9984181, 77.59872759999996)],[ChIJATZsAlsWrjsRGeDdsPpfjSE]
[(12.9522728, 77.71729449999998)],[ChIJzUimMD8SrjsRJ9pZaQQdK-8]
[(12.991028, 77.57466840000006)],[ChIJHcQMGD0WrjsRVdgESlIy3Kw]
[(12.9899443, 77.54566829999999)],[ChIJGcPQdpM9rjsRI9jLpe23DJs]
[(13.025276, 77.63062969999999)],[ChIJBedhABgXrjsRv9dJ3prv7Gg]
[(12.929885, 77.633017)],[ChIJSyZjLmcUrjsR29UpPgBczi4]
[(13.0060578, 77.56399959999999)],[ChIJH4XAOioWrjsRINR_kGnVv0s]
[(13.0246782, 77.58877689999997)],[ChIJ_6Mpx7kXrjsRJ84oq78uT5M]
[(13.028003, 77.57143199999996)],[ChIJ58mTYtsXrjsRCsmI6NWVn48]
[(12.9077432, 77.64897470000005)],[ChIJncF0HpwUrjsRVcOmZW6NnaU]
[(12.9420653, 77.58492609999996)],[ChIJWxwR2L8VrjsRacJc4yf4Svo]
[(12.9872955, 77.54785140000001)],[ChIJlWi5K-09rjsREMG_VpHuSaM]
[(12.9195822, 77.5776816)],[ChIJ-6znBsPgsTsRbLI8YEDw-Zc]
[(12.9327529, 77.56890670000007)],[ChIJu3vUXI8VrjsRMrBufVom7LI]
[(12.9200164, 77.54237139999998)],[ChIJl8kz1zQ-rjsR8q2d1Pml2A0]
[(12.9549204, 77.69172070000002)],[ChIJm7cpzc4TrjsRyqNtMx5NsyQ]
[(12.9822706, 77.63866080000003)],[ChIJmcjAGbsWrjsRv6Np1BjzXAQ]
[(12.9363803, 77.56834200000003)],[ChIJE_eRt44VrjsRu57eA-9r1q0]
[(13.0279661, 77.54091560000006)],[ChIJUZ5cbGs9rjsR9ZmEoXps98Q]
[(12.937539, 77.57398899999998)],[ChIJw3xBApIVrjsR6o_k6pGx4EI]
[(12.9600708, 77.64875610000001)],[ChIJKw4HbQYUrjsRVmBpAIRF0rA]
[(12.946563, 77.60268999999994)],[ChIJFf4KI8oVrjsR7VWDK7Uoi3w]
[(12.9408184, 77.58389250000005)],[ChIJaxaem5UVrjsRszqE_NL_87g]
[(12.9459923, 77.6024198)],[ChIJ7ev5G8oVrjsRah3E95Qogv0]
[(12.958898, 77.64708700000006)],[ChIJXegN8QUUrjsReASKXFxGhJQ]
[(12.934646, 77.5817869)],[ChIJS2qkXlUUrjsRSZdFhvfSuUc]
[(12.9447804, 77.54287320000003)],[ChIJaw5zsxU-rjsRhIUXJExzBM4]
[(12.9317664, 77.63228260000005)],[ChIJuXf8DGcUrjsRKXhrbbQjkLc]
[(12.9322458, 77.54073679999999)],[ChIJw1fDQDg-rjsRsXT501AS26k]
[(12.978347, 77.67535599999997)],[ChIJfQPnu1ARrjsR8mWvuHoA8L8]
[(12.9768605, 77.67560500000002)],[ChIJo-NZ4l0RrjsRNFiPR6086Dw]
[(12.969155, 77.649093)],[ChIJwx8W5gEUrjsRHk4eU5HYwXk]
