[(12.97284, 77.629863)],[ChIJFYLDaJ8WrjsRZam1ehl0l-8]
[(12.9884164, 77.54506149999997)],[ChIJ5bdaWZM9rjsRt5q8IF_KEXk]
[(12.9433139, 77.59468070000003)],[ChIJDYZaargVrjsRCZfzE6EcCBs]
[(12.99423, 77.49505299999998)],[ChIJ9dc77kI8rjsRKJAGwbkQino]
[(12.9431152, 77.61263940000003)],[ChIJARGmMUoUrjsRYY_DKOwhacc]
[(12.9441537, 77.60940430000005)],[ChIJ891GlEoUrjsR841IHPSrN6g]
[(12.974633, 77.62681299999997)],[ChIJl_ORM5kWrjsRNYmgVymTRdI]
[(12.967621, 77.64795800000002)],[ChIJLdbAhwEUrjsRHoldFxdFHVs]
[(12.9920195, 77.56114769999999)],[ChIJ1V8Sboo9rjsR3309zs7evVM]
[(12.9427192, 77.5972332)],[ChIJlVf2kLcVrjsRJXzxKh6FPB0]
[(12.9915713, 77.49453040000003)],[ChIJFcwiFkI8rjsRSXqx2q_kfyE]
[(12.99637, 77.48594300000002)],[ChIJ498pjWU8rjsRDHeQxtukfC0]
[(12.974927, 77.62109099999998)],[ChIJ_wk5b5sWrjsRGXT4GoGGhlo]
[(12.985123, 77.51249499999994)],[ChIJVVVVhTU8rjsRX3P63JXo4fs]
[(12.9919784, 77.48590000000002)],[ChIJIe7z6W48rjsRBXFO0aBmRlk]
[(12.9645803, 77.65730819999999)],[ChIJSyMxzf4TrjsR5GmCG8dmK-Y]
[(12.9839958, 77.52668199999994)],[ChIJVYxwY8g9rjsR6WhiuX4IUj4]
[(12.9590383, 77.50041439999995)],[ChIJax7BR5w-rjsRC10G4eukvnM]
[(12.942547, 77.56257800000003)],[ChIJtXs2rooVrjsR4Fj22bvz4Ds]
[(12.941998, 77.60065199999997)],[ChIJ5WqxirYVrjsRflXmVBAcSLY]
[(12.984333, 77.55426699999998)],[ChIJTZjTpPM9rjsRy1IrX0gQwiE]
[(12.959498, 77.65549609999994)],[ChIJcxnKJPgTrjsRLlCT3AATxXc]
[(12.99007, 77.60349799999995)],[ChIJw9GAn2AWrjsRP0FSYrjWeKs]
[(12.984185, 77.60361699999999)],[ChIJ38ja3WMWrjsRkUBKItSaugk]
[(12.994976, 77.49533199999996)],[ChIJ6-433UI8rjsRzT3h1ItbhdQ]
[(12.9958134, 77.53150060000007)],[ChIJgwTZDbs9rjsR_zmhT1cWAUI]
[(13.001131, 77.522785)],[ChIJz7Ejjq49rjsRCSwbb1UcwxM]
[(12.969247, 77.6547749)],[ChIJfZ_C6P8TrjsRjSg1WVWKJ-4]
[(12.9844451, 77.60201759999995)],[ChIJEzgOAGQWrjsRXCUejKMftx0]
[(12.952997, 77.61900100000003)],[ChIJjecdnzAUrjsR9CEM-JYwjzs]
[(13.001698, 77.57952999999998)],[ChIJcy6NSTcWrjsRxx_UEIjdyfU]
[(12.937532, 77.56128999999999)],[ChIJ7y-crSA-rjsR2BRkV3023uc]
[(12.9457013, 77.54430780000007)],[ChIJMy9cLxQ-rjsRKBK3WYvQevE]
[(12.9416719, 77.59945519999997)],[ChIJ0beY_rYVrjsRvBDYHr6pLPE]
[(12.977793, 77.51735299999996)],[ChIJc7dW3sw9rjsRTAwglMVgAzY]
[(12.987727, 77.60349199999996)],[ChIJBeap4GAWrjsRwgpX_0BHf5U]
[(12.943804, 77.59409699999992)],[ChIJGxBHZbgVrjsRogqAbJoDPM4]
[(12.9436593, 77.61681020000003)],[ChIJr3099kgUrjsREAe3mQPTF2k]
[(12.972885, 77.635808)],[ChIJa0H1MKEWrjsR6AFRXy2X51I]
[(12.935492, 77.61570000000006)],[ChIJ21hFy789rjsRRzbf_bGwwo0]
[(13.0096434, 77.57117990000006)],[ChIJ8YajGC0WrjsR8ZfC43uicTc]
[(12.9233902, 77.56480770000007)],[ChIJE8R9PncWrjsR3CyPQUyZEVQ]
[(12.9129997, 77.56388449999997)],[ChIJmbW2u30VrjsR4lobrjxIoUU]
[(13.0102261, 77.58321610000007)],[ChIJ6U1vFDUWrjsRWm8Ke6PWcSA]
[(12.9112592, 77.53589499999998)],[ChIJ-eij-bY_rjsRD-K9TwZwXBs]
[(13.009765, 77.525396)],[ChIJvaqqmgc9rjsRDprBNXB6dDM]
[(13.0188674, 77.5202064)],[ChIJHeuqPwM9rjsRc401RdevY2Y]
[(13.024648, 77.59030400000006)],[ChIJc2cT9LkXrjsRonNkt8TnGtw]
[(12.9302498, 77.58410809999998)],[ChIJV6VIY5gVrjsRLDxi8-o09M0]
[(12.9341789, 77.56289590000006)],[ChIJuY9uMYgVrjsRKza-Wr2Lt7E]
[(13.00937, 77.61514999999997)],[ChIJ5YIEQfwWrjsR5wb0c5DVWPE]
[(13.0179727, 77.65253770000004)],[ChIJT94a2CoXrjsRKPeB871D5mg]
[(12.974261, 77.67852900000003)],[ChIJjcO_8GARrjsRA8wPSd9fSng]
[(13.0307084, 77.55353689999993)],[ChIJ57M9AWc9rjsRjsQk2rBQL5c]
[(12.993833, 77.67328299999997)],[ChIJGaUhfD8RrjsRLQvRg0bHiA4]
[(13.004867, 77.70413299999996)],[ChIJUci9bKYRrjsRy-aIDNMslZM]
[(13.014967, 77.63203299999998)],[ChIJVVVVFSEXrjsRFA_By5bCMfQ]
[(13.00905, 77.695017)],[ChIJiddoiwYRrjsRSQF3tXErPKY]
[(13.011667, 77.67803300000003)],[ChIJd2mLOB8RrjsRApYsdsjsdf0]
[(13.012983, 77.63461899999993)],[ChIJK6KmbN8WrjsR05WRTY_LSOQ]
[(12.918717, 77.58366699999999)],[ChIJyTGSIHUVrjsRvIkOh_Etgo0]
[(13.035383, 77.554167)],[ChIJ-6G2sV09rjsRecBA8qHoVbk]
[(12.92952, 77.58191)],[ChIJk_4TQ5gVrjsReNPaDLlW7d0]
[(13.023564, 77.59281299999998)],[ChIJX9TZnLAXrjsR7R3xMgruSNg]
[(13.007417, 77.62183300000004)],[ChIJ-04WhuQWrjsR2_0xGdKgAWM]
[(12.972633, 77.67848300000003)],[ChIJO5N_R2ARrjsR8mUbx6oz9Bs]
[(13.025757, 77.63713000000007)],[ChIJVVVVFSEXrjsRANKoPypoMeI]
[(13.024433, 77.59603300000003)],[ChIJjYjurboXrjsR3EXp9XzsXUY]
[(12.930103, 77.56368429999998)],[ChIJb9j4u4cVrjsR6Z7CCh9hsEY]
[(12.9205658, 77.64891139999997)],[ChIJ8eknOYEUrjsRhmuZ0yOlOZ0]
[(12.9353644, 77.57389190000004)],[ChIJhxi605EVrjsRlXFN1uxok90]
[(13.018833, 77.636167)],[ChIJNWu1SyEXrjsRbdQv1YiVyoU]
[(13.024233, 77.596767)],[ChIJizxHUaUXrjsRbzsIk7TAah8]
[(13.034983, 77.60103300000003)],[ChIJiT9NCaIXrjsRpbwZ1Y7tTNM]
[(13.037712, 77.56520999999998)],[ChIJMbrqDOEXrjsRERkg8swmtAg]
[(12.935342, 77.62236069999994)],[ChIJL2fe2UQUrjsRZj2--XvI2bs]
[(12.919242, 77.64899400000002)],[ChIJecBAXIEUrjsReSOfZe_bTcc]
[(13.0348156, 77.60594859999992)],[ChIJe1BFO6AXrjsRrkVFHBi6X4A]
[(12.93007, 77.53926999999999)],[ChIJb1Xy_Dc-rjsR6tLmhRuyAOw]
[(13.0305076, 77.55962350000004)],[ChIJvx7VUmA9rjsRYIV4ZMVMSTU]
[(12.9098281, 77.55841280000004)],[ChIJrzAycNc_rjsRSotoJ3EL8Pw]
[(12.9236485, 77.6099441)],[ChIJ1a3XcVUUrjsRPOxKFzAS9do]
[(12.917933, 77.55195000000003)],[ChIJLxM37dI_rjsRF_RvQoNFdKw]
[(13.009883, 77.61580000000004)],[ChIJmy6DWvwWrjsRZSkw30eNe9o]
[(13.0225014, 77.55913269999996)],[ChIJM3Qx1mI9rjsRb0LPrSvCh6Q]
[(12.9261216, 77.54828180000004)],[ChIJxVtNhTE-rjsRpyfHukQ1Zn0]
[(12.9147076, 77.55902809999998)],[ChIJn_e5KtQ_rjsRfJ6T3M15l7s]
[(13.008817, 77.594333)],[ChIJ1anQuk0WrjsRsFcwpZEnuoQ]
[(13.014593, 77.65698900000007)],[ChIJ-anmZCoRrjsRKD3pydpdGzk]
[(12.930953, 77.5671112)],[ChIJW117DoYVrjsRgVpMO58kuLg]
[(13.0353615, 77.56852049999998)],[ChIJBX-sOecXrjsRsQ--cInNyRE]
[(12.9248376, 77.60887830000001)],[ChIJ161eI1UUrjsRoQA5HKw3Adc]
[(13.026767, 77.578933)],[ChIJSyncJsQXrjsRBYk9P0DDX5E]
[(13.025533, 77.61343299999999)],[ChIJWT8iswgXrjsR294XYihYKUM]
[(13.004617, 77.56031699999994)],[ChIJ73P3Noc9rjsRVTsWYp4zAMA]
[(13.0037582, 77.56918350000001)],[ChIJk2jq6S4WrjsRC_TcSkuSXyY]
[(13.024142, 77.59675800000002)],[ChIJC-q2VqUXrjsRF_rZ8lKlDmY]
[(12.919666, 77.61350240000002)],[ChIJ91pM0_4UrjsRuSUXmUcD7SE]
[(12.9790176, 77.67938400000003)],[ChIJAZux4mYRrjsRTthE0ZmdS60]
[(12.9300433, 77.5391975)],[ChIJ8V3i_Dc-rjsRhfuGgXzy0AU]
[(13.020368, 77.59982300000001)],[ChIJnVwT8K4XrjsRdPoUhXldGFw]
[(13.01913, 77.62887799999999)],[ChIJqbLPMB8XrjsRRPkCwh77ZmU]
[(13.0063309, 77.52724460000002)],[ChIJX6gdfqg9rjsR_PbCjMRzbWQ]
[(13.02747, 77.76059499999997)],[ChIJda9X684PrjsRhfY26SwXuoA]
[(13.010123, 77.53292999999996)],[ChIJv7D_-Qk9rjsRpPR_paYnZAg]
[(13.018011, 77.65231700000004)],[ChIJtfuH3yoXrjsRsvHqGYv7gHo]
[(12.922297, 77.61045200000001)],[ChIJpRm0g_8UrjsREvHH3vtlFWU]
[(12.920081, 77.610859)],[ChIJ5dyxAf8UrjsRIe_YF2kMow4]
[(13.008781, 77.52772400000003)],[ChIJp87S_ac9rjsR9-2VNeWiA5U]
[(12.924189, 77.54929800000002)],[ChIJ23XyFDI-rjsRx-c1YdNmgtk]
[(12.910961, 77.60742800000003)],[ChIJYVVVUR0VrjsRd-dHL4vKZMk]
[(12.9164635, 77.60287149999999)],[ChIJX0hq4wMVrjsR7uIRxl8o1mY]
[(13.032099, 77.59905700000002)],[ChIJ_wDQAKMXrjsRteA-CS57kds]
[(12.910018, 77.48139600000002)],[ChIJj-afWS8_rjsRfuA1tLXehHQ]
[(13.014382, 77.65796899999998)],[ChIJ7-mmFCoRrjsRZeAHbpYLLtI]
[(13.006549, 77.61858699999993)],[ChIJQfAQSPsWrjsRFuDg2BpcDsE]
[(13.010246, 77.50066600000002)],[ChIJ1aMKXPY8rjsRit0OvF5i_Mk]
[(13.0073766, 77.62164869999992)],[ChIJXQCij-QWrjsRYtaFhP_XzlU]
[(13.018692, 77.61861999999996)],[ChIJ7071UAMXrjsRsNQOqIxGxtI]
[(12.915371, 77.60540600000002)],[ChIJ-XMpSAIVrjsRVdGeFgKjGTk]
[(12.957144, 77.74106400000005)],[ChIJyWei3wsSrjsRcs7A432Zl74]
[(13.0392689, 77.54994239999996)],[ChIJ0TbNsUQ9rjsRTMxktJLcMQg]
[(12.925389, 77.61533099999997)],[ChIJS43zW1YUrjsRJMl3WzHQ5uI]
[(13.0340647, 77.5645283)],[ChIJxwJnfOAXrjsREcktP8qOPwA]
[(12.927922, 77.55154399999992)],[ChIJ7fEyMS4-rjsR2MVyeXVXyAw]
[(13.028419, 77.63517200000001)],[ChIJiYqKijwXrjsRQ7Z5wQIfaas]
[(13.003241, 77.62148300000001)],[ChIJlx9IcOUWrjsRy7VP3FcNXoI]
[(12.917653, 77.56451500000003)],[ChIJ3S68VH4VrjsRp7O6t_M07sw]
[(13.00541, 77.53757900000005)],[ChIJFVVVlaE9rjsRXbLh2cu_g-k]
[(13.0288263, 77.55893820000006)],[ChIJWW6wdWE9rjsRta0y8wKo9A4]
[(13.024249, 77.59628399999997)],[ChIJa4TIrLoXrjsRe6sdhS9vTAs]
[(12.964336, 77.40294199999994)],[ChIJga4hPSI6rjsRX6vXfELAK3o]
[(12.922314, 77.60355099999992)],[ChIJJV6RnwAVrjsRoKSE3SRV9mo]
[(13.01932, 77.60787600000003)],[ChIJTavqVwcXrjsRQqIJsSK2cA0]
[(13.02255, 77.55921599999999)],[ChIJCcKt12I9rjsRpqHjBqyORNo]
[(13.039345, 77.579162)],[ChIJIY5k_esXrjsRmpo38CMtW8A]
[(13.018422, 77.59882000000005)],[ChIJ9WXUeK4XrjsRG5XxTVHwwBA]
[(13.026215, 77.61998399999993)],[ChIJy-OFFxAXrjsRfZOl7hNvS-g]
[(13.02988, 77.60875099999998)],[ChIJJzdf9gkXrjsRUZN-A7eUc28]
[(12.986987, 77.67663199999993)],[ChIJF3GO4WkRrjsRK4AVIRxmBuY]
[(12.9309488, 77.60862850000001)],[ChIJM7EoJlMUrjsRKnAevwzbp2c]
[(12.9330953, 77.55734970000003)],[ChIJ0wy-ayY-rjsRdE6qYxLjMsA]
[(12.933762, 77.56822299999999)],[ChIJlQgpN48VrjsRyycGqynY2CQ]
[(12.934527, 77.54352199999994)],[ChIJwzmsbTk-rjsRciZ1Mv5HoQA]
[(12.9058409, 77.60601139999994)],[ChIJhXzv2x0VrjsR6jxyezATrs0]
[(12.9057092, 77.64458660000003)],[ChIJSVVVVZAUrjsRpw24e9eyCwI]
[(12.8603813, 77.58985849999999)],[ChIJk57PS81qrjsRndpBE7NRBPU]
[(13.1219383, 77.62551689999998)],[ChIJL48nBRQZrjsRBROd5n5d5z0]
[(13.065067, 77.57113300000003)],[ChIJ5SCTAgUYrjsRItFdFhJ4Pj4]
[(13.069733, 77.56878299999994)],[ChIJV4miPA8YrjsRdkSJmVjq35M]
[(13.069017, 77.55719999999997)],[ChIJ0RTCbqYirjsRCttby-LWEJo]
[(13.079667, 77.55918299999996)],[ChIJiQpsnp8irjsR1fRST-nWQOg]
[(12.89318, 77.58646799999997)],[ChIJRf5UyjgVrjsR-McxEUFWixM]
[(12.8496853, 77.65516439999999)],[ChIJTYzYvZ1srjsRcxF6h81MeRk]
[(13.1376034, 77.60324689999993)],[ChIJ2emdXtcYrjsR4sscSFR8lsk]
[(13.045567, 77.54750000000001)],[ChIJueLrCk89rjsRu5UwoeHl7ww]
[(12.892453, 77.60673999999995)],[ChIJw9cSW98UrjsR49WwOFnCuRY]
[(13.1096914, 77.60692829999994)],[ChIJYW4D5f0YrjsRUoGOLk_40gY]
