[(13.035167, 77.59641699999997)],[ChIJ4cxsAJgXrjsRpWQW7KNmcFg]
[(13.0315, 77.55978299999992)],[ChIJFXpLW2A9rjsRVmBv1Jd7Rrg]
[(13.037333, 77.60008300000004)],[ChIJmz6e75gXrjsRadQeH3pA1Lg]
[(13.0220393, 77.5935561)],[ChIJe3C3hLoXrjsRcEq02mHIThc]
[(13.072717, 77.56700000000001)],[ChIJM7F8UAkYrjsRjMye0PBLM-I]
[(13.0482582, 77.57461109999997)],[ChIJa6p2ivAXrjsRWXOkD5LWz00]
[(13.038113, 77.60470439999995)],[ChIJD8kaAZ8XrjsRC4QW8Z83DxY]
[(13.0454759, 77.55171139999993)],[ChIJu57VEFA9rjsRcab0JIQDDtI]
[(13.0264999, 77.56022370000005)],[ChIJ71_cPmI9rjsRpvdwi9bbENA]
[(13.043281, 77.57038399999999)],[ChIJL1FJ4uQXrjsRvuu2-RCt4XQ]
[(13.0452769, 77.54826969999999)],[ChIJ2XzPmU89rjsRUNwNf0QV5Zw]
[(13.021807, 77.59585500000003)],[ChIJ-VaxJbAXrjsRT9box-sfmWU]
[(13.063484, 77.58441300000004)],[ChIJdzVnrxgYrjsRn8gOJ_Bsk9E]
[(13.106465, 77.60694899999999)],[ChIJuSPxMv4YrjsRmcf-j4B8oKQ]
[(13.0350936, 77.56871350000006)],[ChIJNypIR-cXrjsRnbxdaYj5B4A]
[(13.022345, 77.55565899999999)],[ChIJdU9UrmQ9rjsRhqylK3M52Vk]
[(13.0271902, 77.55874070000004)],[ChIJe1Xn02M9rjsRvqo8OabMuy4]
[(13.048971, 77.57602700000007)],[ChIJbWUz4_AXrjsRXZ8r_vGdFR8]
[(13.0311383, 77.56024079999997)],[ChIJcYDqSGA9rjsRUZY96QbZdm8]
[(13.0377061, 77.56551539999998)],[ChIJM6NjDeEXrjsRfohLAo21pnw]
[(13.0500822, 77.51534900000001)],[ChIJYS8rkNU8rjsRp35wyTXMFHw]
[(13.0517923, 77.51418690000003)],[ChIJg4gKEdU8rjsR7GuDxt9m6CY]
[(13.0341917, 77.55888520000008)],[ChIJncqrM149rjsR72IjInjEvOU]
[(13.0439388, 77.57101220000004)],[ChIJrWJMIuUXrjsRfVBnLRfHm7s]
