[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRfPbde4_yKNQ]
[(12.9779165, 77.57396500000004)],[ChIJE8R9PncWrjsRQHHlwSHFiME]
[(12.967478, 77.59993099999997)],[ChIJezZqpYAWrjsR-5G9yitXdxw]
[(12.958683, 77.53551700000003)],[ChIJH9f0h3M-rjsR1vTxTxUwiZE]
[(12.9761822, 77.52609189999998)],[ChIJHVQJws89rjsR_VWu-XPOND4]
[(12.98167, 77.60430580000002)],[ChIJi6r1mGMWrjsRQodUJ3mbg40]
[(12.9715384, 77.60670099999993)],[ChIJ9wB3_n0WrjsROxfzH5gepKg]
[(12.9783826, 77.54264749999993)],[ChIJt9Pw0Og9rjsRUQz_z5SICu8]
[(12.961179, 77.59833400000002)],[ChIJ-aStz9AVrjsRw2r8ToawtBY]
[(12.9824757, 77.60444860000007)],[ChIJCyHsUmIWrjsRSRBTzDsQxq0]
[(12.966626, 77.59429580000005)],[ChIJd-BbcNgVrjsRFS-QvJ_Fpvc]
[(12.9720408, 77.57678080000005)],[ChIJo4MV0g4WrjsRgHkFV1vjZ7c]
[(12.9681917, 77.56897959999992)],[ChIJXTrvIgcWrjsRWNwN11Gm1TU]
[(12.975369, 77.57624399999997)],[ChIJOS0vKRAWrjsR-230TgexBn4]
[(12.972167, 77.60114999999996)],[ChIJkalRtX4WrjsRSGEmO98kp8g]
[(12.964712, 77.57370330000003)],[ChIJ1YoEEwgWrjsR-w_W1BbnF2w]
[(12.973414, 77.53750500000001)],[ChIJ1wK8Hd09rjsRZvjC_1C5xbA]
[(12.961006, 77.57484999999997)],[ChIJ5SFZZ-MVrjsRi-tmF1T3PYg]
[(12.9720044, 77.6126127)],[ChIJN4bFaIEWrjsR_qAcsr4WOhs]
[(12.9797994, 77.53828810000005)],[ChIJE8R9PncWrjsRf9c7OIQ0Zw8]
[(12.9698964, 77.53263379999999)],[ChIJQwWC8-A9rjsRo714esmqkvk]
[(12.9557134, 77.5673329)],[ChIJDSEj9PkVrjsRjekzPT3JX2o]
[(12.9758676, 77.56055500000002)],[ChIJAbRtfcE9rjsRq5J0knI0kVQ]
[(12.9604498, 77.59810519999996)],[ChIJ99mGwdAVrjsRYcNWcCkIO8I]
[(12.9525299, 77.56981359999997)],[ChIJiQ5N5fAVrjsRwjgjkekxNQc]
[(12.9715354, 77.57649760000004)],[ChIJo4MV0g4WrjsR3uYJACzqDIk]
[(12.9715987, 77.59456269999998)],[ChIJ_____4w9rjsRLgw8YmrlX84]
[(12.9653697, 77.52332890000002)],[ChIJxZPJQdY9rjsRDCTciDQh4Gc]
[(12.958965, 77.58978400000001)],[ChIJ00PoZNwVrjsREbK62XsrI7k]
[(12.96781, 77.57069200000001)],[ChIJfRzgoAcWrjsRYCuQ075R9o8]
[(12.9767296, 77.57987520000006)],[ChIJ_VhT7w0WrjsRP8EJuf7dV2M]
[(12.964712, 77.57370330000003)],[ChIJ1YoEEwgWrjsRhbJ3O13nVDo]
[(12.9604506, 77.60143459999995)],[ChIJ5bB67NIVrjsR0KhmclZdJMA]
[(12.980168, 77.55387399999995)],[ChIJPeVlpfM9rjsRUKCimLDWds8]
[(12.962614, 77.57624299999998)],[ChIJJ2csCOMVrjsRERYYpDkdtkc]
[(12.967183, 77.57823299999995)],[ChIJu2sDwwsWrjsRBzOSraSIwTA]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsR2icxyO1ZuJk]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRoWdADqtSs1s]
[(12.967733, 77.574883)],[ChIJAQAAwAsWrjsRZoNnnRRComk]
[(12.96025, 77.53076699999997)],[ChIJD0b_43Y-rjsRcT4fUh-zAno]
[(12.96545, 77.61033299999997)],[ChIJ5-xcJisUrjsRxaDy8w2iK7o]
[(12.981297, 77.61070500000005)],[ChIJWY7C94gWrjsRIQyNe-Q9tCo]
[(12.973474, 77.57955900000002)],[ChIJn4-7GAwWrjsRIwqNevJaUvk]
[(12.966543, 77.58147120000001)],[ChIJYw281-EVrjsRBwqoUcJBv9Q]
[(12.965833, 77.59038299999997)],[ChIJYfmiS98VrjsRv_sKfMj4xxc]
[(12.9679472, 77.60030389999997)],[ChIJezZqpYAWrjsRXiKdhadncM0]
[(12.968933, 77.57404999999994)],[ChIJAQAAwAsWrjsRrDouzeiLfLw]
[(12.9660041, 77.57361530000003)],[ChIJmUv9quIVrjsRNDbojFiWm3Y]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRqQyi2b_Q2bg]
[(12.971599, 77.594563)],[ChIJ_8N9PncWrjsRY6Hi59y4ks4]
[(12.9600649, 77.53105499999992)],[ChIJydoS6HY-rjsRUfea0n_jz28]
[(12.969149, 77.521119)],[ChIJCzXRB9Q9rjsRpxVpxFDh458]
[(12.973817, 77.55016699999999)],[ChIJx1rvK-U9rjsRULU2fq7cGu0]
[(12.976029, 77.53250200000002)],[ChIJdURzh9s9rjsR4ozyrX6xD48]
[(12.9823629, 77.60251640000001)],[ChIJWX6ShWMWrjsRCxN5Js6xIag]
[(12.972588, 77.53596800000003)],[ChIJP4H1VNw9rjsRMxXEf9YZWAA]
[(12.961069, 77.57514800000001)],[ChIJkdwPHO4VrjsRgl28UAiEswU]
[(12.967269, 77.54478530000006)],[ChIJZVZDh-E9rjsRvOfJDyGczpI]
