[(13.015813, 77.64296420000005)],[ChIJIw4cEygXrjsRWPqPPaR4aaA]
[(12.9890979, 77.5068923)],[ChIJVVVVVUY8rjsRx4UOvmKBQLU]
[(12.9167637, 77.59013470000002)],[ChIJzadd8AsVrjsR1bvThPJLMLQ]
[(12.952915, 77.64031899999998)],[ChIJ21X9LxAUrjsR9QN1TlXlgjY]
[(12.8695746, 77.6515756)],[ChIJE8R9PncWrjsRMuYrRg8mhKU]
[(12.8903414, 77.63967460000003)],[ChIJ4xfDg7oUrjsR57dKVgtGPNQ]
[(12.992942, 77.59602700000005)],[ChIJ317rK0MWrjsRiloCKW5ZUa0]
[(13.003111, 77.583661)],[ChIJEXLGyzcWrjsR_sS4t_fFf4c]
[(12.9017464, 77.60173550000002)],[ChIJy8wZ0BgVrjsRwfce8OYI-mQ]
[(12.865566, 77.65729199999998)],[ChIJ0Xno96ZsrjsR9ULaIe7qhJw]
[(12.986388, 77.61577899999997)],[ChIJD3AJN4wWrjsRhY8fB6PaXbw]
[(12.930077, 77.683942)],[ChIJJXNq6aYTrjsRRgr6swQlw6A]
[(12.978594, 77.70985999999994)],[ChIJ6YS344URrjsRa7MBv1dZ1AI]
[(12.907561, 77.599965)],[ChIJ30G4zQQVrjsRXtPtk6DpGiU]
[(13.008525, 77.62322300000005)],[ChIJd1X8i-MWrjsRqIhhHdOozSw]
[(12.8924344, 77.56716649999998)],[ChIJM7J6G1wVrjsRhAb3KLbG-IA]
[(12.9668743, 77.71679999999992)],[ChIJDQo4uv4NrjsRe8ZbCoPCEbQ]
[(12.966547, 77.50533999999993)],[ChIJz3CBmig8rjsR9tcLSTzIz50]
[(12.9389754, 77.61815619999993)],[ChIJX_9Zo8IVrjsRzjmqLYziKzs]
[(12.944668, 77.52880989999994)],[ChIJ9fybSWk-rjsRcvP2azcObjo]
[(12.9280248, 77.54668059999995)],[ChIJaz644yo-rjsR-fktbMrDDKQ]
[(13.052554, 77.50807600000007)],[ChIJ6TOr1CwjrjsRbzk6VBP-y6o]
[(12.988702, 77.68860459999996)],[ChIJa2R7Mm0RrjsRn2oNFuUkn6c]
[(13.0689962, 77.78052630000002)],[ChIJW7gXJH0FrjsRgvOVpOmleSg]
[(12.952848, 77.69964600000003)],[ChIJKXuQ0zQSrjsR5ZBSra_8aDA]
[(13.0110634, 77.64935300000002)],[ChIJNw-7XugWrjsRDYbDcpsliX0]
[(12.9884952, 77.59935380000002)],[ChIJh5fjCmcWrjsRx9C2qGqzdCU]
[(12.939169, 77.61798499999998)],[ChIJRYsIsMIVrjsRYcQSUE7s2-I]
[(13.0294462, 77.53605659999994)],[ChIJC6AxJBU9rjsROjFAXkD72gE]
[(12.93862, 77.63096199999995)],[ChIJd_DC2WkUrjsRsSjZoeEE9e4]
[(13.0132602, 77.58357139999998)],[ChIJU0yclcoXrjsRUi3RbfcuUZ0]
[(12.9478885, 77.6994158)],[ChIJEwRDSDUSrjsRgIEpjfge8ts]
[(12.959493, 77.65672500000005)],[ChIJFfVNERkUrjsRmxzX-Xzq4vI]
[(12.999508, 77.68214799999998)],[ChIJubxdABQRrjsRu7CeTDkg86A]
[(13.0123948, 77.55161520000001)],[ChIJbbA6uO89rjsRBQzZg9eOohI]
[(12.996161, 77.61791210000001)],[ChIJfT_rr_MWrjsR9mtJECyrwNA]
[(13.014681, 77.65758900000003)],[ChIJqWzlbSoRrjsRlBqaaEPoZRY]
[(13.011182, 77.62783769999999)],[ChIJ_____-AWrjsR-5oGaW-bByo]
[(12.997444, 77.58566900000005)],[ChIJwSxMpkEWrjsRkNKsOLq8XaE]
[(12.996905, 77.58740799999998)],[ChIJKQYFHEcWrjsRr46KBoWaNoY]
[(13.0068959, 77.55451990000006)],[ChIJE8R9PncWrjsRu9rHCGpRqJA]
[(12.8972213, 77.63540799999998)],[ChIJi6Rtlr4UrjsRCl8P10N89Ps]
[(13.038879, 77.55661299999997)],[ChIJf2pXU1k9rjsR4r_L0jmi6Hk]
[(12.8856048, 77.6425729)],[ChIJbTUBG64UrjsRulMunuDEBW0]
[(12.817351, 77.68094599999995)],[ChIJZRZuMPEUrjsR_7ZXCTH_ZnE]
[(13.031772, 77.73118699999998)],[ChIJhxa-9DoQrjsReOwL8CjoTmY]
[(13.0347827, 77.58902469999998)],[ChIJw2POHoEUrjsRnKKS7wECCw4]
[(12.927983, 77.562275)],[ChIJg_G_ADo-rjsRG7eYHTJK8h0]
[(13.0279154, 77.6321438)],[ChIJOSKCpzwXrjsRilG7M4v7UUE]
[(12.9177456, 77.6237883)],[ChIJq6qqau4UrjsRJ7kdzwL6EV0]
[(12.9838, 77.61424999999997)],[ChIJeUg6pY4WrjsRvjN8LU8f5xs]
[(12.9862649, 77.56026270000007)],[ChIJwTO-E_U9rjsR5FdX4cZhEJ8]
[(13.0180814, 77.59211979999998)],[ChIJ2eHuHbEXrjsRPjrATFO-7XQ]
[(13.0133317, 77.58364069999993)],[ChIJE8R9PncWrjsR2GckMfgifp0]
[(12.9240257, 77.64013580000005)],[ChIJvWjyKIgUrjsR7KO2v98f244]
[(12.935267, 77.54736700000001)],[ChIJzSVinzs-rjsRFe79mURXmW4]
[(12.8697128, 77.59270100000003)],[ChIJlTjrks5qrjsR9rARBPhsSnU]
[(12.9298179, 77.60084499999994)],[ChIJVYJUbrEVrjsR08w8sGCeCJY]
[(12.990319, 77.593345)],[ChIJsZcRfUIWrjsRzHDGs-bCnjE]
[(12.9566874, 77.73650010000006)],[ChIJHxiT1A0SrjsRBN5-zyOVOcU]
[(12.9513528, 77.70209439999996)],[ChIJi3eZGTMSrjsRG-9uB8T-j6c]
