[(12.978694, 77.52937500000007)],[ChIJqxF9pMU9rjsRp6cNTaneBdc]
[(12.9765857, 77.52632360000007)],[ChIJi44u6889rjsRKqeQKiGNKYM]
[(12.960643, 77.52924400000006)],[ChIJ6fW3DXc-rjsR5KYXhgkgRL0]
[(12.960321, 77.56651699999998)],[ChIJ_5qStP4VrjsRfqarBUFywwQ]
[(12.96707, 77.52516689999993)],[ChIJs7g6BNc9rjsRM6Y-qcDFSng]
[(12.977509, 77.53347600000006)],[ChIJuV8BY8M9rjsRJKbYal_F_ys]
[(12.9570814, 77.52743940000005)],[ChIJ2d1eCno-rjsRVKVSW_UAVio]
[(12.9827069, 77.55429430000004)],[ChIJ-c2l2_M9rjsRs6EYUdSY_ro]
[(12.9529207, 77.5625513)],[ChIJKRhk3fcVrjsRq6FyR38046Y]
[(12.9757, 77.53532610000002)],[ChIJcdLGMsM9rjsRuaAXqyuwJ_s]
[(12.9652429, 77.59378279999999)],[ChIJ31t6WdgVrjsRmKDNZzqd2o0]
[(12.9672637, 77.59272229999999)],[ChIJhZ6TJXYWrjsRn5_cfAWyPK0]
[(12.9698825, 77.53252870000006)],[ChIJyf3pV9k9rjsR-J0hwEL-0cM]
[(12.978763, 77.56099399999994)],[ChIJWxxFxPc9rjsRKJx6rVxhRy8]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsR5ZvwB4lOnI0]
[(12.968533, 77.52541700000006)],[ChIJGwRKO9c9rjsROZveUj6hwlE]
[(12.968032, 77.53047300000003)],[ChIJxZAQCtk9rjsR45hCcPq_K8s]
[(12.964628, 77.53208629999995)],[ChIJiei4o9g9rjsRX5gYK6z_bwg]
[(12.9691528, 77.58400740000002)],[ChIJM9Es2goWrjsRQZT8Ms9qLE4]
[(12.965283, 77.53781700000002)],[ChIJN6277d89rjsRM5Qc_8RDbdE]
[(12.9518918, 77.54706740000006)],[ChIJV6EntxE-rjsRh5NuT3gQMw4]
[(12.977029, 77.57730500000002)],[ChIJUzyjJA4WrjsRIZPTPIZ01cc]
[(12.9619825, 77.5180325)],[ChIJA2uhvX8-rjsReJBUe9ifDdg]
[(12.951911, 77.60553600000003)],[ChIJT4nAjcwVrjsRf47kVGMncjc]
[(12.9716213, 77.5707453)],[ChIJ65ZzfwYWrjsRqY0TvcKjGyk]
[(12.959352, 77.52491699999996)],[ChIJOSjsnnk-rjsR14oTF2K5A5I]
[(12.9515209, 77.5657473)],[ChIJcfxN4vYVrjsRy4dKIgyjCnc]
[(12.9505814, 77.55077970000002)],[ChIJ-U1OeRo-rjsRoofcGMUXccc]
[(12.975133, 77.55213300000003)],[ChIJpdPnlPo9rjsRSoeOjHJmZ4Y]
[(12.9738978, 77.52713119999999)],[ChIJNV68DNA9rjsRv4Ysl3ku634]
[(12.973331, 77.574881)],[ChIJ1ahQFQ8WrjsRYIZ_86pz4a0]
[(12.9611663, 77.5473293)],[ChIJ1ZRlHAk-rjsRgoPgYbf58-E]
[(12.969589, 77.53726600000005)],[ChIJBeLPc949rjsR2oD7iXDhZfo]
[(12.9697825, 77.52182379999999)],[ChIJTVMgVtE9rjsRp3-SsKj5Fnw]
[(12.9743376, 77.53481160000001)],[ChIJwwRdwNw9rjsReH66viCcdDw]
[(12.967279, 77.53933700000005)],[ChIJa60NfuA9rjsRen05sV9lWn8]
[(12.9669918, 77.5805699)],[ChIJI-O1DAoWrjsRSXw4qqZbJwk]
[(12.960837, 77.52123299999994)],[ChIJI3AoKH8-rjsR-3r6C6DWCR8]
[(12.971228, 77.54058599999996)],[ChIJ_ZXcOOc9rjsRT3k9vXnIVYo]
[(12.961829, 77.52088600000002)],[ChIJCdrRO38-rjsRuXhh5EzfTgg]
[(12.96786, 77.52190900000005)],[ChIJoWiTn9Y9rjsRrnTOGtp9A8A]
[(12.9754494, 77.52653510000005)],[ChIJ1w_E4889rjsR23DOwcj08HU]
[(12.95271, 77.56334249999998)],[ChIJ0X6iwPcVrjsRY29XvFM0_OE]
[(12.9637745, 77.61179600000003)],[ChIJD6IWvisUrjsRzGzKwmiwUmk]
[(12.978773, 77.53821700000003)],[ChIJH53fYsI9rjsRTWuuDdaEvOc]
[(12.9591442, 77.5457222)],[ChIJ09E7sw4-rjsRhWo1Z8Z8eSw]
[(12.958193, 77.52532640000004)],[ChIJUXseKHo-rjsRu2neKhd-KvU]
[(12.963426, 77.5285169)],[ChIJA7m55Xc-rjsRSmjgNzjl108]
[(12.9801351, 77.53174969999998)],[ChIJAULAPcQ9rjsRO2Sh7Se3xcg]
[(12.9806703, 77.55786809999995)],[ChIJD4Dz2Io9rjsR82LphyBkBRA]
[(12.953774, 77.55052999999998)],[ChIJtztNVQU-rjsRtGEr8LhB7hA]
[(12.9586554, 77.54428000000007)],[ChIJAV9BBAw-rjsRRGH0mSt2IHc]
[(12.971491, 77.537191)],[ChIJrcWpuN09rjsRdWAoS7uBqho]
[(12.978123, 77.53801599999997)],[ChIJZ-3xlcI9rjsRPl9GUOE1OFM]
[(12.9691425, 77.5837636)],[ChIJzVpS2QoWrjsRT115IhlMDMU]
[(12.958763, 77.52350799999999)],[ChIJ2RXHZnk-rjsRcFgNTViOtc8]
[(12.9572941, 77.53121490000001)],[ChIJTUUaPXE-rjsR6FZLENx81eQ]
[(12.9652508, 77.53192230000002)],[ChIJbYYLvtg9rjsRC1XDsSjVhJk]
[(12.9638429, 77.52012669999999)],[ChIJLTW5i9U9rjsR3FRDNo_RUYc]
[(12.9540006, 77.56459599999994)],[ChIJsSXKg_cVrjsRk1OAnXd_CTE]
[(12.9537892, 77.54854130000001)],[ChIJFZ7x2A8-rjsR1U-fRrQH4w0]
[(12.9794049, 77.52533990000006)],[ChIJdfWmIs89rjsRvE8Nfciee28]
[(12.9786538, 77.53646129999993)],[ChIJ7yPQVcI9rjsRk0-F0Ag0kCk]
[(12.9595774, 77.59679359999996)],[ChIJW0o3m9AVrjsRJk_v1S15xFE]
[(12.9691509, 77.52376670000001)],[ChIJDco1zNY9rjsR7E1JLYVijFo]
[(12.960991, 77.52981399999999)],[ChIJg7VDBnc-rjsRq03Lgd9agCA]
[(12.969589, 77.53726600000005)],[ChIJBeLPc949rjsRy0q_ynIhmp4]
[(12.972645, 77.57379900000001)],[ChIJmfoiWg8WrjsR5kn17j8V9PU]
[(12.9828471, 77.56633710000006)],[ChIJ-ZlsoB4WrjsRqEk3XwNNIEY]
[(12.9717102, 77.57940489999999)],[ChIJu-EX_AsWrjsRe0i-jPeiVcg]
[(12.956225, 77.53162799999996)],[ChIJd6KtDXE-rjsRN0al1GfKzVc]
[(12.9649451, 77.55380860000002)],[ChIJ2UNrfAc-rjsROUGRj7WTCAk]
[(12.9814423, 77.54130809999992)],[ChIJJ4Clh-k9rjsRlkCPWXw5vuE]
[(12.9740286, 77.55979930000001)],[ChIJM-wCWPg9rjsR_D2uT1HTlYo]
[(12.975636, 77.55622900000003)],[ChIJHZcc9vk9rjsRWTzbTczGnsA]
[(12.969088, 77.58362199999999)],[ChIJs40y3AoWrjsR7DcdWJVOBXU]
[(12.96951, 77.52468399999998)],[ChIJ9etX1dA9rjsRMTca7mRoMCg]
[(12.9578167, 77.54142890000003)],[ChIJZ8tpjAw-rjsRCzQ-3esJGRI]
[(12.968032, 77.53047300000003)],[ChIJxZAQCtk9rjsRljMAhV-k60E]
[(12.9687209, 77.53045780000002)],[ChIJY30Pdtk9rjsRvTFiZobu_HE]
[(12.9547672, 77.55026129999999)],[ChIJPZaP9g8-rjsRSTGVaoA6yRo]
[(12.9711408, 77.57362620000004)],[ChIJB7qLqAgWrjsRsC4frDayRCE]
[(12.9542392, 77.55797800000005)],[ChIJs1WZNAM-rjsRTitsLde0hZw]
[(12.971559, 77.60618499999998)],[ChIJqf4gR34WrjsR3SovoMQxhxk]
[(12.971062, 77.52668270000004)],[ChIJAcrJl9A9rjsR4ih--vIr4Tw]
[(12.9524878, 77.58161629999995)],[ChIJfbTk_egVrjsRuyhocp0UilY]
[(12.968122, 77.52913850000004)],[ChIJAxusv9k9rjsRBShyYOX4LbI]
[(12.9800362, 77.57677230000002)],[ChIJa_PcrhEWrjsRwSdmN_rhHFc]
[(12.9565878, 77.54021379999995)],[ChIJwcJa3Aw-rjsRriZgsQB9nNc]
[(12.95812, 77.54630799999995)],[ChIJHcfPwA4-rjsRNCZlPfBrtxE]
[(12.9637857, 77.59309380000002)],[ChIJOSwqBNkVrjsR3CMYmMgrfKI]
[(12.964694, 77.53282719999993)],[ChIJPz_trtg9rjsR5CGhb-6n04s]
[(12.9776854, 77.53893399999993)],[ChIJ7X-WncI9rjsRpCGeWE_tdwE]
[(12.9594807, 77.59572400000002)],[ChIJyQh2cNoVrjsROyE5gmGjLms]
[(12.9597607, 77.59807999999998)],[ChIJWenS7dAVrjsRnCD9UIaZw8E]
[(12.9561898, 77.51840800000002)],[ChIJuwAgt30-rjsROSBa9fAJPZk]
[(12.981517, 77.61029699999995)],[ChIJocYsV4gWrjsRWBpLiZsHyNQ]
[(12.9731059, 77.55518589999997)],[ChIJG8paz_s9rjsRYxn4cWgI_3I]
[(12.966717, 77.54134999999997)],[ChIJWe0sTuA9rjsRXRhtXgDQzjw]
[(12.9683687, 77.53330840000001)],[ChIJ1z7Jyt49rjsRORhl_PUBgs4]
[(12.9744167, 77.53084880000006)],[ChIJJ6YTJNs9rjsRphctB64ImrE]
[(12.9699472, 77.54445699999997)],[ChIJG2bDVuE9rjsRZRfiBCNK5qI]
[(12.9623863, 77.59312699999998)],[ChIJfX7RdtkVrjsRUheh4N39Rfw]
[(12.980161, 77.53684299999998)],[ChIJpaJ8N8I9rjsRRRTTg6GQkEM]
[(12.969557, 77.53102650000005)],[ChIJ8yjmfNk9rjsRKBB19u1MSRA]
[(12.9684854, 77.52534990000004)],[ChIJN1GlJNc9rjsR8A5uF1fVEnU]
[(12.9666536, 77.58084380000003)],[ChIJK8zHdQoWrjsRgQ4cPL3TY7s]
[(12.9651704, 77.59360979999997)],[ChIJrwdRWNgVrjsRVQ6jHGgK7Ms]
[(12.934812, 77.62315030000002)],[ChIJh18JZwQVrjsRdFgOfiDPI_U]
[(12.9690467, 77.62639059999992)],[ChIJRTZcPZ4WrjsRd8MSy94zjoE]
[(12.975016, 77.63568699999996)],[ChIJO6a946MWrjsR2OqH-yuVF6E]
[(12.968338, 77.63618599999995)],[ChIJJ8X-CR4UrjsRBA02is_Nxw4]
[(12.992342, 77.58944450000001)],[ChIJ6-omIEMWrjsRo7huQr4J5qw]
[(12.9351095, 77.612796)],[ChIJ0Wxi700UrjsRqDDVKydP64s]
[(12.9786518, 77.64396669999996)],[ChIJIfeMpK8WrjsRNmVSWCWbDrA]
[(12.9892406, 77.59914409999999)],[ChIJcSTXcXoWrjsR6KxdkXp03YI]
[(12.961635, 77.64275099999998)],[ChIJiQD90AQUrjsR8o58TTz9Ors]
[(12.990683, 77.58761700000002)],[ChIJEX5NY_4NrjsRb34NL0tisYc]
[(12.9364088, 77.61988470000006)],[ChIJS8iZZUUUrjsRKmJCzxq9R-c]
[(12.942866, 77.60257200000001)],[ChIJoyx_2rUVrjsRUL2Wqggy0Ho]
[(12.934767, 77.58671700000002)],[ChIJCXFCEb0VrjsRa4hI1gxwtbQ]
[(12.9532472, 77.65290010000001)],[ChIJNczX-QkUrjsR-XYSU6zdpfM]
[(12.9390986, 77.49529099999995)],[ChIJ____w9Y_rjsR3pOGF2l5o-4]
[(12.9407064, 77.62321199999997)],[ChIJb4K2nkYUrjsRCkQd1xmOu1E]
[(12.992603, 77.62354099999993)],[ChIJy0AdA_EWrjsRgJRQtCgbWJw]
[(12.9812459, 77.63714589999995)],[ChIJAQAAULsWrjsRl-KL2lhp7mA]
[(12.9368394, 77.6125452)],[ChIJsUTyzE0UrjsR9v671gXvOL8]
[(12.9995088, 77.60024850000002)],[ChIJ59AXRFoWrjsRtCREEjk_710]
[(12.9927593, 77.66150700000003)],[ChIJJVHI10kRrjsR4Ock3lGXz7g]
[(12.935571, 77.614327)],[ChIJ32nAEk4UrjsRq7uLwMVzAGU]
[(12.9352674, 77.62271850000002)],[ChIJPzhq0EQUrjsRXJTCnIhHbTs]
[(12.9859822, 77.48713550000002)],[ChIJpWHnoWw8rjsRIZJl1u3n0hU]
[(12.93924, 77.62590699999998)],[ChIJ84oKlEMUrjsRPFl0nc7g2kw]
[(12.9354667, 77.6225028)],[ChIJgcoh2kQUrjsRkVcORcR4SEM]
[(12.9736666, 77.64229999999998)],[ChIJ5_ean6gWrjsRTkA_8y9g6LQ]
[(12.959938, 77.64614200000005)],[ChIJg3J0vgUUrjsRRCqsmdjIZOQ]
[(12.9603802, 77.63650869999992)],[ChIJ5cofKhoUrjsRahbhX_dDnlo]
[(12.9814722, 77.61921389999998)],[ChIJV42u2I8WrjsR5sY39-81BZc]
[(12.9699119, 77.62632610000003)],[ChIJV42u2I8WrjsR-MhWEi_nhws]
[(12.934488, 77.61337200000003)],[ChIJa7Fl_k0UrjsRzC7ZEfwJVyo]
[(12.9350823, 77.62278179999998)],[ChIJO2DZ0UQUrjsR1IN637Hd2T0]
[(12.946717, 77.570017)],[ChIJ6zvjrvMVrjsRn0tSloVzsfU]
[(12.9429133, 77.56425279999996)],[ChIJUwpS0ooVrjsRepS7EJ3Xbes]
[(12.9962836, 77.61787260000006)],[ChIJ9YlDH_IWrjsRefKP3KpATp4]
[(12.9456858, 77.57096690000003)],[ChIJsQds-_IVrjsR-48fIgC2Cc4]
[(12.9943757, 77.61034010000003)],[ChIJ0XfXyvUWrjsRBOYXiD1ZhSM]
[(12.9771396, 77.63880689999996)],[ChIJO5HZUaQWrjsRQkqDj_7NH8Q]
[(12.974102, 77.62779699999999)],[ChIJEXqI1p4WrjsRax5TqhaYfnI]
[(12.9814722, 77.61921389999998)],[ChIJV42u2I8WrjsRlneA_4Hhip4]
[(12.939819, 77.58343390000005)],[ChIJq6qq6pUVrjsRgHZpro9jwMA]
[(12.9382073, 77.56675419999999)],[ChIJp96j5YsVrjsRvV8jx2ut0zs]
[(12.9943471, 77.58054809999999)],[ChIJ9R4JGDkWrjsRVKpeMsRaQd4]
[(12.943387, 77.61873800000001)],[ChIJDY-je0gUrjsRezUIRR-ulYg]
[(12.9350941, 77.63313599999992)],[ChIJQzmfeGgUrjsRrtVVDgOZ1Bg]
[(12.954856, 77.62204500000007)],[ChIJuzqR_ToUrjsRRT_0n43QvCs]
[(12.9353549, 77.6316392)],[ChIJaTYeCWgUrjsRSgjY58cz6cQ]
[(12.945811, 77.53903600000001)],[ChIJPXlWyxQ-rjsRkcpd7sB2LF8]
[(12.9743944, 77.63897759999998)],[ChIJZWV7hqYWrjsR0kyVWzTs4cc]
[(12.9890691, 77.55445259999999)],[ChIJ_____4w9rjsR2FiTzyt6rWU]
[(12.944588, 77.5572962)],[ChIJyVERPB8-rjsRhRhkMncVT7Y]
[(12.9954498, 77.56436259999998)],[ChIJL1C9GCcWrjsR1X8VlJEibbY]
[(12.9957687, 77.57705390000001)],[ChIJTSNqlzsWrjsRP0oWjeb8zIY]
[(12.996333, 77.62733300000002)],[ChIJcePW0esWrjsR0Rmescjyc94]
[(12.9467495, 77.56907520000004)],[ChIJ6aCYovMVrjsRuzGjdT3rUw8]
[(12.985717, 77.60625000000005)],[ChIJ1ZJok2EWrjsRl1o1fw7RAcg]
[(12.9373606, 77.55646019999995)],[ChIJuSRBVCE-rjsRNqn-_ozJOIM]
[(12.983963, 77.529359)],[ChIJ9YN8s8c9rjsR2MuguXlGW_g]
[(12.9412456, 77.53972929999998)],[ChIJ____7z8-rjsRbz8wR8bTQVc]
[(12.992433, 77.592533)],[ChIJU53nTEIWrjsRbgRLyIjQ7D0]
[(12.9419629, 77.55262289999996)],[ChIJV_TpmiI-rjsRp2RyIwzKSMU]
[(12.9977861, 77.5594585)],[ChIJT6QoXIg9rjsRKucZ0lNrpB4]
[(12.9358372, 77.55698559999996)],[ChIJE8Y7vSY-rjsRQCryJcUhMdQ]
[(12.95758, 77.61481200000003)],[ChIJN9OHFy4UrjsRVsjsPmu4HaQ]
[(12.992343, 77.576006)],[ChIJL_K_-TwWrjsRcWQ3kBcVR78]
[(12.9561003, 77.65962030000003)],[ChIJT58VKvETrjsR8hK31iC8aDI]
[(12.936945, 77.56232899999998)],[ChIJe-qM-4kVrjsRX_PIQoRdsYE]
[(12.9405849, 77.5704323)],[ChIJV0phVYwVrjsRin3CwAYPt0A]
[(12.9419121, 77.55357930000002)],[ChIJ7XssfSI-rjsRbc83E0PiyHA]
[(12.9830608, 77.53269079999995)],[ChIJkcAPz8Y9rjsR6GBSpkXoKag]
[(12.9926263, 77.58038999999997)],[ChIJUVh_jT4WrjsRl4LK7GTJh48]
[(12.9361696, 77.56827629999998)],[ChIJ6zFHyI4VrjsR7XV5Aosf2us]
[(12.9589364, 77.61533439999994)],[ChIJoZSjRC4UrjsRYOWIWoEZMzM]
[(12.9919127, 77.52833439999995)],[ChIJM-lL97k9rjsRcrSy8AA50BA]
[(12.939746, 77.55501849999996)],[ChIJn20RyyM-rjsRJN0Dwum25vc]
[(12.9886819, 77.52705779999997)],[ChIJAQAAwLc9rjsRiJ-csjb0Q50]
[(12.949758, 77.57670209999992)],[ChIJAVB6j-4VrjsRv4YkF6c6sHo]
[(12.9934429, 77.57408629999998)],[ChIJy7Al7CQWrjsRPHAqxciu4P8]
[(12.941282, 77.57110899999998)],[ChIJc2MkBY0VrjsRnp_Ju8b6pbw]
[(12.996874, 77.568219)],[ChIJRzsdLSQWrjsRzbIEELMCE7g]
[(12.9425048, 77.6088863)],[ChIJteUz30oUrjsRz3g1q1pVwMQ]
