[(12.9884452, 77.57459570000003)],[ChIJ-yG15hcWrjsRcvdINbmmzoE]
[(12.908817, 77.54904999999997)],[ChIJc8Cy9M8_rjsR_ZuumMQBpSs]
[(12.9554468, 77.61571789999994)],[ChIJL4XvtzEUrjsRLkd8nxWqcJQ]
[(13.001938, 77.57907190000003)],[ChIJQTsfyzAWrjsRJar417AJhAA]
[(12.9547149, 77.62081680000006)],[ChIJZT9R9DoUrjsRjiZzKNSgImA]
[(12.9554703, 77.61571589999994)],[ChIJp57ktzEUrjsRYq2GyLfWJfo]
[(13.0232108, 77.54905009999993)],[ChIJKaEEvm89rjsR8qhyXXz3m_0]
[(12.99684, 77.57439)],[ChIJGwhqJDsWrjsRXEGGomgevgs]
[(12.937317, 77.570333)],[ChIJ97zmho4VrjsRiRulOGbE32Y]
[(13.0200587, 77.55635529999995)],[ChIJKSUdYns9rjsR-OJJSSeleo8]
[(12.9321322, 77.54190100000005)],[ChIJCUHLvy8-rjsRZd5n2V0eV0s]
[(12.9446382, 77.55573400000003)],[ChIJcT_xzhg-rjsRgq4Avy1P7Rs]
[(12.994034, 77.57180900000003)],[ChIJGwr_gC8WrjsRLzEtHPNyA0Y]
[(12.9410181, 77.55771749999997)],[ChIJc1vmvSE-rjsRHjK8Agjvnx8]
[(12.9138544, 77.64207599999997)],[ChIJqTE19o8UrjsR32aQTJBsDUg]
[(12.9103713, 77.60984159999998)],[ChIJyeOfxOIUrjsRD_weO4h_-3s]
[(13.0182366, 77.50676249999992)],[ChIJL7bU3Po8rjsRd-3sMqNdtkc]
[(12.9841055, 77.58025040000007)],[ChIJtRXuDRQWrjsRXts4NW7zI2M]
[(12.934971, 77.56847110000001)],[ChIJ_2ajXO0VrjsRIc8ZDKlbA-s]
[(12.9236987, 77.58609389999992)],[ChIJJ6FjN6AVrjsR6bttw2iX9k0]
[(12.9956905, 77.67223139999999)],[ChIJJ3YIGD8RrjsRN7bTv-2YQCY]
[(13.0106348, 77.54649610000001)],[ChIJ5Rt6I3Y9rjsRdZ4P-TQffbk]
[(12.98452, 77.52812900000004)],[ChIJvyeQ2sc9rjsRk4u-7JdVHKw]
[(12.9122504, 77.59997870000007)],[ChIJ75rDwgQVrjsRcUN9Qv-j7a4]
[(13.0106537, 77.52328290000003)],[ChIJvSXyFQc9rjsRKj7KM0h3xi0]
[(12.9937124, 77.53914420000001)],[ChIJjeXK9709rjsRHhhBb7914mk]
[(13.0167869, 77.48212910000007)],[ChIJh4iyjI88rjsRfBUcTKCrqlc]
[(13.0000064, 77.57065920000002)],[ChIJnxMsgyUWrjsR5gOL14m34eE]
[(12.9719715, 77.69518240000002)],[ChIJM9-kitUTrjsRzwGLHq-D8Bk]
[(12.9256253, 77.62101259999997)],[ChIJ-ac2SVgUrjsRqFqmvuQ7q1Q]
[(12.9719577, 77.69546790000004)],[ChIJa2yqIH4RrjsRyAvCoi18cl4]
[(12.954569, 77.73882900000001)],[ChIJM2PHfAwSrjsRGAAzqZNaoZM]
[(13.0008841, 77.55816979999997)],[ChIJu7UER4Y9rjsRKZVmDphNR-o]
[(12.9214634, 77.63157780000006)],[ChIJe8VV2ooUrjsRjx8iR7hfl04]
[(12.9693502, 77.65379959999996)],[ChIJ0e_5-_8TrjsRmfGPmtXOw20]
[(12.9894012, 77.50151310000001)],[ChIJD4zs9EY8rjsR7vs2z6vYyqE]
[(12.9187647, 77.5575632)],[ChIJQXqt6tQ_rjsRraMEjIFQBMM]
[(12.939867, 77.55761699999994)],[ChIJZ5wxdSE-rjsRlmf5z06uBek]
[(13.0083681, 77.55853860000002)],[ChIJ69PGr4E9rjsR1XgudFb73Xw]
[(12.9487883, 77.5974688)],[ChIJD6g0lMgVrjsRZhEcGx_usmg]
[(12.9373032, 77.59956790000001)],[ChIJ8f0rHLEVrjsR_pPRuZOYx3U]
[(12.9874689, 77.60492180000006)],[ChIJq6qqqmEWrjsRq-Es6QDwH9E]
[(12.9991244, 77.58205620000001)],[ChIJC9laNTgWrjsRuyBRoqoVfMc]
[(12.9493617, 77.53622210000003)],[ChIJAf3N92w-rjsRW378SbHZjZE]
[(12.9501091, 77.50175890000003)],[ChIJKzghYJA-rjsRBCPUFLQR_x0]
[(12.9982018, 77.45806570000002)],[ChIJcwiJMJs7rjsR1kJi5Idw-n4]
[(13.0304175, 77.55917180000006)],[ChIJHT_HqmE9rjsR-PoiY2i354k]
[(12.9143181, 77.52098869999998)],[ChIJfTfqkqs_rjsRLPEeDvKm_zs]
[(12.9978591, 77.76006099999995)],[ChIJR_-ohz0OrjsRzeZSnaZjJyc]
[(12.9582656, 77.47569320000002)],[ChIJC5Od1qs-rjsRHeLboOwmCQM]
[(12.995068, 77.6988341)],[ChIJz8j4rQoRrjsRo-BfS0luqc8]
[(13.023849, 77.58744879999995)],[ChIJeVD3K7gXrjsRgtn4e4GbSF0]
[(13.0058383, 77.62305509999999)],[ChIJ0xgdT-QWrjsRYNm0Jn8ok_s]
[(12.9996553, 77.4510166)],[ChIJOawCM5k7rjsRTdavKMpX75g]
[(13.0070417, 77.5928563)],[ChIJeVowL0wWrjsRILCW1iGM25g]
[(12.9074638, 77.695472)],[ChIJ83ki5B4TrjsRFa0Oq12eHt4]
