[(12.989083, 77.66388299999994)],[ChIJufpLlEgRrjsROMAU6pjUA2w]
[(12.938567, 77.55346699999996)],[ChIJE8R9PncWrjsRhDNJpDSaDqU]
[(12.9696194, 77.63591429999997)],[ChIJQfepXxsUrjsRXX1FuXAifxI]
[(12.9935158, 77.592041)],[ChIJP-yAy0MWrjsRqnmWsYByBFE]
[(12.9368, 77.57876699999997)],[ChIJ--L4SZEVrjsRjgfEBl-IQ88]
[(12.9455888, 77.57125559999997)],[ChIJE8R9PncWrjsRoimRBDKnoTE]
[(12.9394051, 77.54472409999994)],[ChIJeUmLfz4-rjsRbwG1n0lVnoc]
[(12.9718915, 77.64115449999997)],[ChIJVVVV0ZA9rjsR_MC6i6tfarg]
[(12.990048, 77.67037900000003)],[ChIJJwCb0UYRrjsReIe68-Olxp4]
[(12.944167, 77.55406700000003)],[ChIJxyNi7Rg-rjsRrgEAn33tKNk]
[(12.9590269, 77.66290230000004)],[ChIJLXD3dvATrjsRr2xxhmQiclw]
[(12.97135, 77.50741700000003)],[ChIJ6XM8AC88rjsR8EQLO62or58]
[(12.9629148, 77.64422869999999)],[ChIJ2aPtkQQUrjsRmQT2an8TvVM]
[(12.992683, 77.59191699999997)],[ChIJDytZykMWrjsRHQpEkX6UGCc]
[(12.92935, 77.592717)],[ChIJ0bn7RaQVrjsRfaHriY-Qvh8]
[(12.972599, 77.64876000000004)],[ChIJe_s-V1YRrjsRORD4KR_eTgc]
[(12.992517, 77.59213299999999)],[ChIJ____P0IWrjsRkgtR14Cu2to]
[(12.972623, 77.64485960000002)],[ChIJ7WlU_qgWrjsRfHR7QcC1ci0]
[(12.9747, 77.67090000000007)],[ChIJdZSZzF4RrjsR3Cl8jmx5oX8]
[(12.9875366, 77.55418789999999)],[ChIJQUvCMfM9rjsRRdfz8yIsklU]
[(12.9724227, 77.64872430000003)],[ChIJkSn4MqoWrjsRL3yXNr2Ovxg]
[(12.947309, 77.54832820000001)],[ChIJE8R9PncWrjsRT4Uqzu2oNdQ]
[(12.9926743, 77.59167809999997)],[ChIJu0IeT_4TrjsRe-OQBwa6lGs]
[(12.9911182, 77.54964530000007)],[ChIJBYH5OHY9rjsRzDXpu5QGJBk]
[(12.9762665, 77.65268839999999)],[ChIJAQAAwB0XrjsRBvIzkUj_BP8]
[(12.930133, 77.55266699999993)],[ChIJGfPnmS8-rjsReFUqOGK8W8k]
[(12.9833031, 77.60967930000004)],[ChIJSym0vYkWrjsRJwnR0ocoAQY]
[(12.9393915, 77.57817509999995)],[ChIJWb-37pMVrjsRy_OLAs0she8]
[(12.9736355, 77.63286019999998)],[ChIJm4KgmqEWrjsRisEOxeLwZvg]
[(12.9536468, 77.62139300000001)],[ChIJE8R9PncWrjsRxcq6yFqIK5Q]
[(12.9686, 77.67016699999999)],[ChIJW4a_L-ITrjsRl62pyhevm2I]
[(12.9903648, 77.53852140000004)],[ChIJoWTtLr49rjsRGZ-OA5zr8oI]
[(12.9916716, 77.55957760000001)],[ChIJzwUvToo9rjsR3pLwEpBCWsk]
[(12.9865548, 77.60018179999997)],[ChIJlwd_7mMWrjsR4G18SVhmdaM]
[(12.9783505, 77.63532710000004)],[ChIJV42u2I8WrjsRrsXdqCGcWA0]
[(12.92975, 77.53880000000004)],[ChIJVdX7HEg-rjsRukzjeYdgNeM]
[(12.930244, 77.56050900000002)],[ChIJS1VVFSg-rjsREg0sj7FQ_vk]
[(12.929083, 77.50906699999996)],[ChIJ517zCvo-rjsRVQ0xkw_Jkr4]
[(12.9847916, 77.60934929999996)],[ChIJ4W2SiokWrjsRpgX3cs9El3k]
[(12.989917, 77.66404999999997)],[ChIJv_OwjkgRrjsRXm9wD9lDTl4]
[(12.9729033, 77.62665859999993)],[ChIJV42u2I8WrjsRYIvwfRRWfUk]
[(12.928186, 77.60935700000005)],[ChIJy2Oon1QUrjsRu-7z8ujudIg]
[(12.9372506, 77.58352070000001)],[ChIJ2dHBFJYVrjsRku23YBsyrEI]
[(12.9923732, 77.55688950000001)],[ChIJVXCG8os9rjsRFt7GDpvY_-M]
[(12.944562, 77.52530000000002)],[ChIJyTy4UWY-rjsRUtd1KWYRWKA]
[(12.931813, 77.56738900000005)],[ChIJzTyeAYYVrjsRBtaALuw1aak]
[(12.930767, 77.57116700000006)],[ChIJbX-1coUVrjsR3NDEepmsKLw]
[(12.987263, 77.52824799999996)],[ChIJQfPRjbc9rjsRecX2Zhgzqzw]
[(12.986338, 77.53488300000004)],[ChIJAXtNmMA9rjsR-b2V327EKl8]
[(12.986641, 77.49042899999995)],[ChIJd55O4mo8rjsRKLGGlX-TDV0]
[(12.9335538, 77.55815600000005)],[ChIJqbHmRCY-rjsR0LD7Y5O36EU]
[(12.98819, 77.54928999999993)],[ChIJwbUQt5I9rjsRNqqJvnmdE7Y]
[(12.9936758, 77.57725540000001)],[ChIJoz-TbjwWrjsR85pgrwxlPRE]
[(12.9857933, 77.52625599999999)],[ChIJYTAoGMg9rjsRsJl4LN7E_5Y]
[(12.9422043, 77.54830059999995)],[ChIJ4WopfT0-rjsRn5g-CMTWytw]
[(12.9449863, 77.5710186)],[ChIJGwGq0fIVrjsRRJS2Z9-fffg]
[(12.992188, 77.52601600000003)],[ChIJk6THyrA9rjsR9I5977raMdY]
[(12.989694, 77.52720799999997)],[ChIJuxmsfrc9rjsRa46zsTSXHqs]
[(12.9863648, 77.58200119999992)],[ChIJq6qqqhUWrjsRHIov-E0Lp1E]
[(12.928349, 77.549578)],[ChIJNwkoMzA-rjsRHngiLzK7WRA]
[(12.9863648, 77.58200119999992)],[ChIJq6qqqhUWrjsR2Hd_1juKHCo]
[(12.934169, 77.56758500000001)],[ChIJI3-90ogVrjsR5XMqCw640oY]
[(12.9312171, 77.6080763)],[ChIJl3zB1VIUrjsR4nNITWMvZlM]
[(12.935307, 77.55853100000002)],[ChIJS2yt5SY-rjsRkHEGLITGbgw]
[(12.951468, 77.49214499999994)],[ChIJXVEgsaI-rjsR-WrNJw_jvbQ]
[(12.9884614, 77.60845139999992)],[ChIJ-U2JmooWrjsRf2evLVPQHUE]
[(12.986692, 77.63537399999996)],[ChIJ82GcpL4WrjsRbGHZybdYpIY]
[(12.9401, 77.58191699999998)],[ChIJIwugTJQVrjsRi0-vas9tfNw]
[(12.9921646, 77.5332588)],[ChIJAyysVLk9rjsReU5U1ZTIVjE]
[(12.938566, 77.55649799999992)],[ChIJDU6jYCE-rjsRBUFmGs5__jE]
[(12.990326, 77.55846350000002)],[ChIJ9XAMBYs9rjsR7ThDrVe3E5w]
[(12.984414, 77.56248549999998)],[ChIJ_UCIJB4WrjsR_zd_C3pXogQ]
[(12.949783, 77.52684999999997)],[ChIJBfurgmU-rjsRBTCHrblirbw]
[(12.988567, 77.61303299999997)],[ChIJHSzNZIsWrjsRHyyUwZNC1Gs]
[(12.929483, 77.536833)],[ChIJyZb7ZUg-rjsRfCvvFQzWyDk]
[(12.9900293, 77.57451679999997)],[ChIJq6qqqhUWrjsRySR2RpRIRZ4]
[(12.9566035, 77.6552269)],[ChIJb5x1t_cTrjsRlx53KC7PewI]
[(12.989617, 77.56383299999993)],[ChIJpSvqOCAWrjsR_BccfuKna7Y]
[(12.947392, 77.594876)],[ChIJmThXtccVrjsR_BaQ-pJJUC0]
[(12.9803123, 77.51159899999993)],[ChIJn7ig8qEirjsRehNmc-9DYjw]
[(12.98785, 77.56368299999997)],[ChIJ____j7IirjsR2Q7U_ym9g7w]
[(12.9755011, 77.63158429999999)],[ChIJVddUEKIWrjsR0g684kPAUkY]
[(12.935216, 77.61996099999999)],[ChIJN1VVRUUUrjsRZgT2pHLzejQ]
[(12.910491, 77.5857168)],[ChIJVVVVVQwVrjsRNgaaSyVmlbk]
[(12.938886, 77.69127900000001)],[ChIJfVWVzrETrjsRr5QIvXJ6gDQ]
[(12.994888, 77.61198200000001)],[ChIJyZEey_YWrjsR83vOADQKtiU]
[(13.013971, 77.49543799999992)],[ChIJH1yWfNYVrjsRI3-ek-k7dHc]
[(12.992073, 77.71756200000004)],[ChIJ8WV2OpQRrjsRpd2X9Y3jXO8]
[(12.95592, 77.71389939999995)],[ChIJRxN41TsSrjsRnoIH-Wz6acc]
[(12.887239, 77.592852)],[ChIJZ7-VjzAVrjsRu6mZaMq6jSc]
[(12.9274529, 77.590597)],[ChIJAQAAAKQVrjsRGZUseVN56-g]
[(12.980233, 77.67971699999998)],[ChIJm_XZU2YRrjsRbGWcFrvFdiU]
[(13.0018858, 77.56643600000007)],[ChIJF2t00isWrjsR9euXTAgUvJI]
[(13.001042, 77.612436)],[ChIJ_ZeHQ_cWrjsR4saGQM4bwBI]
[(12.9956589, 77.55668119999996)],[ChIJly3HMYk9rjsRDy_HoaJdxt4]
[(12.9977079, 77.65420500000005)],[ChIJbVW4rzQRrjsRoJP6zxUZWZY]
[(13.007809, 77.497612)],[ChIJFVcK9fU8rjsR6CP_SYvBYE4]
[(12.904956, 77.58577100000002)],[ChIJedt4WRMVrjsRTIslDpeMLNw]
[(13.00465, 77.56020000000001)],[ChIJFfTHNoc9rjsRSPYrl4Z6KVw]
[(13.0168137, 77.59173220000002)],[ChIJCWnv67MXrjsRyfFgnUu1y6Y]
[(13.0003413, 77.55338080000001)],[ChIJibzopdxvBRERKtmTZpYvgtA]
[(12.9196341, 77.55538690000003)],[ChIJ8c4wTtM_rjsRhtjfASNDjOc]
[(12.924579, 77.61771899999997)],[ChIJn4sKx1cUrjsRlmsdCEoUIGo]
[(13.008792, 77.65679399999999)],[ChIJOcqYRywRrjsRp1rXp7jiUSU]
[(12.891997, 77.64645300000007)],[ChIJ3___v6UUrjsR1jhCiD37w5c]
[(13.000129, 77.54490399999997)],[ChIJgdsrIJo9rjsReBp9KbwmK2s]
