[(12.9656443, 77.59831810000003)],[ChIJY6ZvudcVrjsRg7K8LCEkIK4]
[(12.9672143, 77.59942509999996)],[ChIJ73LZzYYWrjsRFAUV5gyesho]
[(12.9608611, 77.52797510000005)],[ChIJ_4gJfnc-rjsRrKsKMkd0SG0]
[(12.9812763, 77.60404229999995)],[ChIJi6r1mGMWrjsRUncwIMX7_So]
[(12.974041, 77.57113500000003)],[ChIJUywgqAUWrjsR6d3CPfljWrM]
[(12.982396, 77.57440569999994)],[ChIJLbkZuhAWrjsRaZ0zpNA-2TE]
[(12.9655338, 77.59494689999997)],[ChIJATX1hdcVrjsRD0t_7hmvFiM]
[(12.9579108, 77.59768699999995)],[ChIJ15SDStEVrjsRMe4ZrC3Xpmc]
[(12.9816905, 77.6098902)],[ChIJw_q19ogWrjsRwBCvei87ziY]
[(12.98233, 77.60818799999993)],[ChIJ1Xe1NIgWrjsRNe-WSh1rEZc]
[(12.9728748, 77.60857269999997)],[ChIJZ8N9PncWrjsR3PB7yU4wirg]
[(12.972885, 77.60716969999999)],[ChIJT6qQEH4WrjsRZUq5cvIfBF4]
[(12.9716008, 77.59454870000002)],[ChIJ4V2HnWsWrjsRzSgiR6GDlOg]
[(12.9723897, 77.60870399999999)],[ChIJEW4RnXgWrjsRDA-fc1Qf9Kk]
[(12.9652528, 77.59767)],[ChIJj-_yl9cVrjsR1THu7a63X8w]
[(12.9829092, 77.54866270000002)],[ChIJYTZqxO09rjsRNghCRQUplz4]
[(12.9820866, 77.60316519999992)],[ChIJ0Q1kkWMWrjsRguQE0mODx_Q]
[(12.977365, 77.57549859999995)],[ChIJCaeUxAsWrjsR-sV8ScpH4JU]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsR_fGsa7xzWBI]
[(12.9613281, 77.61343)],[ChIJZTkTHiwUrjsRncZl_VKzWFg]
[(12.9743335, 77.60767379999993)],[ChIJKf6z930WrjsRAXhHoZqB9tM]
[(12.973665, 77.60759299999995)],[ChIJXXoWjNEQrjsRa4NvnnS_I2A]
[(12.9758131, 77.59945270000003)],[ChIJrZpXvnkWrjsRKxbOoQBXT1I]
[(12.9697541, 77.57588020000003)],[ChIJj-jzQXwWrjsRTzV7bXMKvSA]
[(12.9819998, 77.60894680000001)],[ChIJE8R9PncWrjsRw5KY_ufhW0E]
[(12.973741, 77.61091899999997)],[ChIJq63s1IYWrjsRFRhSVMPHrfA]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRMrUgZqEwHEU]
[(12.9724, 77.60781900000006)],[ChIJezZqpYAWrjsR6eMVgW_1h0M]
[(12.9672505, 77.59939020000002)],[ChIJQyR2mXgWrjsR1bw6e6zckQs]
[(12.971302, 77.597712)],[ChIJVcW8wHkWrjsRYBOps1jZtnw]
[(12.9714255, 77.59798060000003)],[ChIJE8R9PncWrjsRupx_AzYYBPg]
[(12.9746055, 77.57241539999995)],[ChIJDdCMnQUWrjsRb3zyXCO_zaM]
[(12.968291, 77.53772900000001)],[ChIJE3baON49rjsRBSXvrnTx1O0]
[(12.979264, 77.57723399999998)],[ChIJ4Z6suREWrjsRNQywsjPVIDo]
[(12.9806654, 77.57577760000004)],[ChIJmQVx-RAWrjsR3zRnxeXel8o]
[(12.9600682, 77.59398940000005)],[ChIJd1i4GtsVrjsRLKPALTqXyUQ]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsR8MqyB4OQw64]
[(12.974727, 77.60936530000004)],[ChIJwVz8YXwWrjsRosZ-tRQUjjc]
[(12.9756833, 77.59818519999999)],[ChIJO_3W9noWrjsR0j1GsJpTQYw]
[(12.960673, 77.52865299999996)],[ChIJEbHTc3c-rjsRK4ozqUeQRks]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRWhlo9ytY620]
[(12.975735, 77.60235699999998)],[ChIJlVo5T3wWrjsRONocCqfQM_Y]
[(12.9701537, 77.60996939999995)],[ChIJOR8EQ4AWrjsRFSb2MD9R6XQ]
[(12.9559571, 77.58060840000007)],[ChIJxctYPeYVrjsRu4O46PccsU0]
[(12.952479, 77.56711599999994)],[ChIJu8rXMfcVrjsRMurQDOJpJDU]
[(12.961104, 77.59988720000001)],[ChIJMb34L9EVrjsRnxoH3bBlgPk]
[(12.9809944, 77.6020873)],[ChIJ9dpTfWMWrjsR2yKDPxKK-WM]
[(12.976991, 77.57782399999996)],[ChIJIdUjPQ4WrjsRF7NaoZ2Sj3o]
[(12.9779812, 77.54273069999999)],[ChIJH5hwJsU9rjsRZ9BUenLEVAc]
[(12.9711758, 77.59781870000006)],[ChIJHX9gB3sWrjsR7GCTSMoKu7M]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRfqI4dLKdO9U]
[(12.9570253, 77.59271710000007)],[ChIJ1TckJNsVrjsRuEq2Ebd9zEI]
[(12.975181, 77.60806500000001)],[ChIJj6tBYYcWrjsRaUMJfOAslB0]
[(12.9752024, 77.53662310000004)],[ChIJLUtNLN09rjsRA4A9YCwHvM4]
[(12.9506058, 77.5677359)],[ChIJFw33TPEVrjsRl0g3xHTRdWw]
[(12.972911, 77.58111699999995)],[ChIJdarVbwwWrjsRjwz9pHIymK0]
[(12.9511488, 77.59520029999999)],[ChIJy9LU6MUVrjsR3tLfmAUUB2M]
[(12.9808259, 77.55072599999994)],[ChIJbx3i4PE9rjsR5qUsIi2yUJM]
[(12.9712886, 77.60711489999994)],[ChIJPz7NOn4WrjsRcRCCsQeMCyk]
[(12.972387, 77.60694710000007)],[ChIJW3_bGX4WrjsR89y8fN8qGbQ]
[(12.9694466, 77.53413649999993)],[ChIJoVOrpd49rjsRcyI8WMPurus]
[(12.9670681, 77.61073169999997)],[ChIJ_dxgYioUrjsRfAVGZMDqwNA]
[(12.959984, 77.52678300000002)],[ChIJF3lFw3k-rjsRgtcyuvJpPUo]
[(12.966693, 77.61170400000003)],[ChIJFVeLaSoUrjsRIQS1UyU3TGQ]
[(12.9779205, 77.57542009999997)],[ChIJx2rwzg8WrjsR_nmAScIIeQE]
[(12.982517, 77.60916700000007)],[ChIJ8bPPyYkWrjsR2JDgv9At8Cs]
[(12.9802128, 77.55502479999996)],[ChIJ1SPqPPE9rjsRQNwMmeqfLMA]
[(12.9715987, 77.59456269999998)],[ChIJBewyS9QVrjsRvJnM1BiUmJQ]
[(12.95516, 77.57443)],[ChIJXRQ6WeUVrjsRyOmgKyb_rdQ]
[(12.974727, 77.60936530000004)],[ChIJLU6lP4cWrjsRzSaMS_7684g]
[(12.9754645, 77.60565930000007)],[ChIJOW0IrX0WrjsRTK8qtULnNoE]
[(12.98204, 77.60668199999998)],[ChIJe72FYWIWrjsRnnBYkaKu4GQ]
[(12.9647396, 77.57448190000002)],[ChIJZ8i0wOIVrjsRuZipN3xtVmU]
[(12.976017, 77.55238299999996)],[ChIJHfm9m_o9rjsR4fnfwE4q3XE]
[(12.929724, 77.68348100000003)],[ChIJY9haw6YTrjsRUfVCX5Nsl8k]
[(12.973073, 77.61846600000001)],[ChIJGdo6XIMWrjsR27K3QpD1ZXA]
[(12.979522, 77.72818000000007)],[ChIJixmRVfERrjsR4-QBaxZrfW8]
[(12.9300354, 77.68326690000004)],[ChIJY9haw6YTrjsRVnUMcnXZR9c]
[(12.9967226, 77.56910990000006)],[ChIJ9wB3_n0WrjsRVZLJfdrH9Xc]
[(12.9288686, 77.6274224)],[ChIJK7Bvm14UrjsR4hHmdM0DCzI]
[(12.900634, 77.63198399999999)],[ChIJY70B578UrjsRFBg9Ncl7s5A]
[(12.9626354, 77.64148139999998)],[ChIJK7aICxoVrjsRnjZbF0TjvNo]
[(12.9971561, 77.58518779999997)],[ChIJ0QMOVkcWrjsRhZA6z7r0nso]
[(12.9254127, 77.63721199999998)],[ChIJ3wP-ImIUrjsRnZ7Rr7BisQI]
[(12.9792338, 77.6405906)],[ChIJc0JAFaUWrjsRRXSXJPX7YFo]
[(12.934939, 77.61159309999994)],[ChIJ7dR9lPcUrjsRaP8RSZ1L_1g]
[(12.9943594, 77.61549020000007)],[ChIJ1bMIu_MWrjsRXm_f4HOBxug]
[(12.966378, 77.64166799999998)],[ChIJb2HI1hwUrjsRviZvdVITiq4]
[(13.0267666, 77.59924739999997)],[ChIJVVVVFbAXrjsRuBWAnZzD0aw]
[(12.9798623, 77.64648250000005)],[ChIJE1GfFa4WrjsRoshgQboFDyk]
[(12.9869705, 77.59499219999998)],[ChIJE-njW2gWrjsRUNoH91ymG-E]
[(12.9063637, 77.59683040000004)],[ChIJwYmGDBoVrjsRj8ADSu3ctpY]
[(12.9773693, 77.69537560000003)],[ChIJs7lUhiwSrjsRtenCDrBlvVY]
[(12.902817, 77.58368300000006)],[ChIJlU_1O2sVrjsRA1kIjOan2qw]
[(12.9188874, 77.67015689999994)],[ChIJsfxIrNYVrjsRgppI2Mt_HL0]
[(12.970533, 77.643552)],[ChIJm6AoPagWrjsRpPZKiGd-e74]
[(12.9343052, 77.60936670000001)],[ChIJOypFelEUrjsRZZGhK49lfD4]
[(12.9357915, 77.61490720000006)],[ChIJJ7VPa04UrjsRgwmD36TG_N0]
[(12.9939521, 77.66161680000005)],[ChIJRSnvHwUUrjsRJcQKtAHRvBI]
[(12.9940498, 77.58591019999994)],[ChIJcR7CGkAWrjsRtruw4FF5VCQ]
[(12.934605, 77.61633499999994)],[ChIJCa2FK04UrjsRmBiq9ethY9s]
[(12.957477, 77.74153000000001)],[ChIJuWG5XQkSrjsRs3o5g5m4PfI]
[(12.9725302, 77.62668489999999)],[ChIJR8v9s54WrjsR_i3Bu1kAVRY]
[(12.9335532, 77.62182729999995)],[ChIJn9e8hU0UrjsRQOhzmTnIMpM]
[(13.02386, 77.63698199999999)],[ChIJxeyUriQXrjsREHC2R7ZMvf8]
[(12.9450534, 77.57146769999997)],[ChIJNdCK6PIVrjsR3I4feeftf-0]
[(12.9446053, 77.56800780000003)],[ChIJ3bnIWfMVrjsRIEYUzQXIw4E]
[(12.9843605, 77.58472510000001)],[ChIJyyFOrhQWrjsRA2KcG1vNxiI]
[(12.9863468, 77.59494990000007)],[ChIJ_4eCkmgWrjsROUJ_7a3J55M]
[(12.9343462, 77.61328249999997)],[ChIJLU1k_E0UrjsRgXKl68RnlvU]
[(12.9794247, 77.72701510000002)],[ChIJVVVVVfkNrjsRp1Ui44NLfxs]
[(12.9338249, 77.61921200000006)],[ChIJqf_AHGEUrjsRjh-GjPdSQR8]
[(12.981699, 77.70893699999999)],[ChIJN5jXpoURrjsRZZdyCz2aykg]
[(13.0045087, 77.57114520000005)],[ChIJ0xGAZi4WrjsRF7G2MLNA2YQ]
[(12.970126, 77.64732300000003)],[ChIJq_NY_KkWrjsRp00keKZn6A8]
[(12.9342686, 77.61088569999993)],[ChIJ6a8wkE0UrjsR6elyWkwGHcA]
[(12.9364884, 77.62119159999997)],[ChIJtSaqEUUUrjsR3w3ApioSBAc]
[(12.9854696, 77.57924550000007)],[ChIJq6qq2hQWrjsR919u99iogF8]
[(12.9284841, 77.58205329999998)],[ChIJxQYt6pgVrjsRtjh7cWNYpSA]
[(12.9773058, 77.61766869999997)],[ChIJLT7wFIUWrjsRBxBs10UwN_E]
[(12.95694, 77.70768989999999)],[ChIJ7dTzTjUSrjsRp1J0Lim8UO4]
[(12.941672, 77.62129099999993)],[ChIJte0iaEYUrjsRCw5_7EqgT24]
[(12.9687362, 77.64953509999998)],[ChIJ3XBXQgAUrjsREGIAn-G_NCc]
[(12.912743, 77.600549)],[ChIJ9__Y3sU9rjsR1bpFsbfxbKw]
[(12.939482, 77.62574599999994)],[ChIJIS427kMUrjsRQiCenM9vrBk]
[(12.9874689, 77.60492180000006)],[ChIJq6qqqmEWrjsRU9-mD4L3t1A]
[(12.97929, 77.75130630000001)],[ChIJMWRUsQYOrjsRZDclzE-T9Is]
[(12.9537895, 77.63945719999992)],[ChIJ-7nuGmwUrjsRr6TgD-2Yrds]
[(12.9224101, 77.58586969999999)],[ChIJi0ByPqAVrjsRREdcTQGO-6I]
[(12.9290349, 77.63528470000006)],[ChIJZyJ6WWEUrjsR5jYOpwG84Lg]
[(12.9327515, 77.58469530000002)],[ChIJb-pzUZcVrjsRb7I42i_iufY]
[(13.0278517, 77.54102269999998)],[ChIJVTtJa2s9rjsRAfGgxbsFWMY]
[(12.9590148, 77.66320050000002)],[ChIJ34_pFAYUrjsRphID8RAHT_M]
[(12.977336, 77.619099)],[ChIJx4q2LIUWrjsRls1AXXc44Gs]
[(12.9308871, 77.5830545)],[ChIJZfd7Q5gVrjsRK9bMp_lDgG0]
[(12.9206887, 77.5838367)],[ChIJoVY3Q3UVrjsRkTRHwGXLkj4]
[(13.00356, 77.57864100000006)],[ChIJvZ_B-TMWrjsRHMLUUl2GB6E]
[(12.9337603, 77.61876649999999)],[ChIJrfzApFoUrjsROUA_TzVjnNI]
[(13.0276672, 77.57168950000005)],[ChIJH_JsC6UWrjsRJtlJnBWFSeA]
[(12.9943358, 77.66152339999996)],[ChIJuQfqOTYRrjsRYuzI-wiAOA8]
