[(12.961198, 77.58582739999997)],[ChIJy0vHCd4VrjsRuLaQFVCCIK8]
[(12.958066, 77.55913199999998)],[ChIJKXanTAI-rjsRCErcgDdt4mM]
[(12.9611898, 77.58591090000004)],[ChIJLY_8Cd4VrjsRVfVkWYOjU14]
[(12.958867, 77.52363300000002)],[ChIJMcJRb3k-rjsRYd731DUu5B8]
[(12.954014, 77.5640512)],[ChIJg2PMRB0-rjsR8zv5azaB2OA]
[(12.965312, 77.56798300000003)],[ChIJzUWX_P0VrjsRdxkc0y-Wa-U]
[(12.9576266, 77.55234109999992)],[ChIJLcmWuwU-rjsRZ-VJTS0bx00]
[(12.965082, 77.577134)],[ChIJu2sDwwsWrjsR0YwrzwWLa1o]
[(12.9569504, 77.52842420000002)],[ChIJa5d8vXA-rjsRFVYbCZXS6Wo]
[(12.9680345, 77.56987930000003)],[ChIJWxkUEAcWrjsR6S1qpaM71u4]
[(12.971567, 77.58151699999996)],[ChIJ--3EhAsWrjsRbsdujnvXGzA]
[(12.9707555, 77.58056850000003)],[ChIJAQAAwAsWrjsRAH-6yGwv4Hs]
[(12.9771273, 77.57045319999997)],[ChIJF5CI1QQWrjsRUtyszBgxFBs]
[(12.953675, 77.56011799999999)],[ChIJDR_RMB0-rjsR-SVdUClGaXI]
[(12.9778184, 77.57736499999999)],[ChIJ6-8l2REWrjsROpwwh3h9fmQ]
[(12.9771273, 77.57045319999997)],[ChIJTQGG1QQWrjsRNNLSYvGPj7I]
[(12.9516608, 77.60974859999999)],[ChIJ8QSIZTMUrjsRjqlGtjqzvl8]
[(12.960433, 77.55918299999996)],[ChIJgQrsggE-rjsR9RrIQ1UfSpk]
[(12.9536715, 77.58233559999996)],[ChIJASqlXugVrjsRzsOH6su7Gqk]
[(12.9592474, 77.52170109999997)],[ChIJrb3TtX4-rjsRgmPjdzff_Lo]
[(12.9715987, 77.59456269999998)],[ChIJ-UFTyoMWrjsRq7nxXjGPJcM]
[(12.978183, 77.53379999999993)],[ChIJSb8GecM9rjsR1a95FaIdAV0]
[(12.976083, 77.57836700000007)],[ChIJB5GabQ4WrjsRi6Cv8_YZXpQ]
[(12.9541855, 77.59197600000005)],[ChIJ2bPB6cQVrjsRPwreP7db4v0]
[(12.9646013, 77.57709720000003)],[ChIJoUobQuIVrjsRbd-3153w1QE]
[(12.9584399, 77.55320979999999)],[ChIJKembNgQ-rjsRZrDrx0cadHA]
[(12.9607461, 77.54868880000004)],[ChIJqa4C6gg-rjsRPf8qBgmEsOY]
[(12.9657156, 77.57360369999992)],[ChIJ83NbrOIVrjsRp_7S1qwExkw]
[(12.966451, 77.53044299999999)],[ChIJMaSb-Ng9rjsRF_7a8wgWD5M]
[(12.9567642, 77.59093970000004)],[ChIJNV9UWdsVrjsRXv3JPBHpjK4]
[(12.9688598, 77.608882)],[ChIJ2da1FoAWrjsRr_vrPNyWdhQ]
[(12.9602429, 77.5979476)],[ChIJ97177NAVrjsRdPvSNl5HSno]
[(12.9630336, 77.54860589999998)],[ChIJE05ZRAg-rjsRYPuJ-vfTL1M]
[(12.9616858, 77.52639260000001)],[ChIJv6o_N3g-rjsRjvp9mTi8taQ]
[(12.975636, 77.55622900000003)],[ChIJHZcc9vk9rjsRf_qgG1JiLTQ]
[(12.9635463, 77.54617759999996)],[ChIJtzEewAk-rjsRVPkMfC_cDdg]
[(12.9569847, 77.55479119999995)],[ChIJM-6AYAQ-rjsRV_iwpkAFkkg]
[(12.968032, 77.53047300000003)],[ChIJxZAQCtk9rjsRFfi9nFBB5PA]
[(12.9566201, 77.5521784)],[ChIJ0yttCgU-rjsRUPdMtoHJOrU]
[(12.9808843, 77.54062950000002)],[ChIJmUGdjek9rjsRT_eO9R919KE]
[(12.9677832, 77.59236829999998)],[ChIJkY9UI3YWrjsR5_bKBVxi-P4]
[(12.9583528, 77.6001463)],[ChIJz7HDpNEVrjsRT_aknZkkqsA]
[(12.9753742, 77.55339679999997)],[ChIJ3-_oYfo9rjsRB_XFTiSylwY]
[(12.9821855, 77.60306489999994)],[ChIJTd7Dm2MWrjsRq_NG3exON5M]
[(12.961117, 77.58453099999997)],[ChIJl9hbq-AVrjsRffPZShB3xEQ]
[(12.959965, 77.60125059999996)],[ChIJg4UMb9EVrjsRYvN1-MbrFS8]
[(12.9598944, 77.53213149999999)],[ChIJIftrvnY-rjsR1vJAMSaVEWU]
[(12.9635436, 77.57771500000001)],[ChIJWaqryuMVrjsRzvLRy9EpAyA]
[(12.958064, 77.534945)],[ChIJM-68jXM-rjsRN_KgPabpcpE]
[(12.9719205, 77.56020319999993)],[ChIJbz4exvg9rjsRnvEfU6QWcQQ]
[(12.981078, 77.54379500000005)],[ChIJ-9MXW-k9rjsRkvHBoQnBmW0]
[(12.964583, 77.54951699999992)],[ChIJjQ6WGwg-rjsRc_EaMnzFFiA]
[(12.9681077, 77.53390250000007)],[ChIJxe5Gz949rjsR-_B5XH4U7xY]
[(12.957333, 77.57749999999999)],[ChIJEywEt-UVrjsR6_D1C9aQ5fU]
[(12.9558101, 77.55803800000001)],[ChIJh7pMEQM-rjsRg-9PAxyGbYs]
[(12.968853, 77.57400000000007)],[ChIJGZsdfQgWrjsRde_f0Xet-TA]
[(12.966378, 77.53445439999996)],[ChIJzXC9PN89rjsRG-_Dd9HH8FU]
[(12.9653501, 77.60472219999997)],[ChIJTXwGqdUVrjsRzu4V3SY6ISE]
[(12.958083, 77.55443300000002)],[ChIJbXDMQAQ-rjsR_O3h9ExTvFo]
[(13.00326, 77.61639000000002)],[ChIJiTaLYfoWrjsR9BWTpy-JY4c]
[(13.0117462, 77.55514730000004)],[ChIJz-fxo3g9rjsRRhQlUKptxBQ]
[(13.0007886, 77.57233580000002)],[ChIJRz9gZSUWrjsRTd8z9bIbFjc]
[(12.9913825, 77.55462609999995)],[ChIJS5tnU-09rjsRdchPcpeaMPo]
[(12.9855346, 77.53736290000006)],[ChIJl2vxQcA9rjsR8bqmRSsLpm8]
[(12.9695069, 77.64775529999997)],[ChIJlVo5T3wWrjsR7zO8wHuvC18]
