[(12.97933, 77.55366000000004)],[ChIJlzcD_vA9rjsRy605CfozX88]
[(12.9769219, 77.58570399999996)],[ChIJrzGWuXIWrjsRoK0Ofho0wF0]
[(12.9641001, 77.57761449999998)],[ChIJ6XhASOIVrjsR5KwuxWjef9I]
[(12.95339, 77.56761600000004)],[ChIJpVYkS_cVrjsRcqxmJr_gAGE]
[(12.973488, 77.54153900000006)],[ChIJ_-UDrOc9rjsRwqvYSNTqTLw]
[(12.953885, 77.59260599999993)],[ChIJe5gF78QVrjsRfavxLGwaHTY]
[(12.9681365, 77.57021889999999)],[ChIJgWhACQcWrjsRYKuMLrhE2OM]
[(12.9648672, 77.53040490000001)],[ChIJFTCnYtg9rjsR5qq3ziDl6yk]
[(12.95516, 77.57970999999998)],[ChIJT-goqOgVrjsRKqpEs2LH1dg]
[(12.96011, 77.53129009999998)],[ChIJzXOc6nY-rjsRnqkdZP8cYTc]
[(12.960409, 77.52952299999993)],[ChIJk5VMEHc-rjsRcqmuTr4v5n4]
[(12.9634609, 77.58362260000001)],[ChIJ57ELjOAVrjsRs6g2uMwFI8I]
[(12.9619815, 77.55970109999998)],[ChIJdf6qugE-rjsRkqeX374-jP0]
[(12.98027, 77.571234)],[ChIJJXn0VxoWrjsRbKeGIuLiXw4]
[(12.976078, 77.55250799999999)],[ChIJu7Nlm_o9rjsRJadC7KTfr-c]
[(12.9602115, 77.55938889999993)],[ChIJlb8dhAE-rjsRo6ailX2Ya10]
[(12.9664669, 77.59865109999998)],[ChIJ9ZYCz9cVrjsRFaablfMz5Os]
[(12.963238, 77.56719599999997)],[ChIJn1tMfP4VrjsR_KUQJMWLu6U]
[(12.981084, 77.588659)],[ChIJX2faTGwWrjsR_qQxa0QLKWs]
[(12.9743, 77.61098700000002)],[ChIJcSBS14YWrjsRw6MMvsUomTQ]
[(12.9591665, 77.52700879999998)],[ChIJ_8Sx5Hk-rjsRkqEL5Hn-S5A]
[(12.982165, 77.56769299999996)],[ChIJo7IG-BsWrjsRjqBAqde6-14]
[(12.982217, 77.58850400000006)],[ChIJKdY6Q2wWrjsRe5_VOu9a9hE]
[(12.9656729, 77.60293330000002)],[ChIJ8UioxdUVrjsRyp40kIYoLgw]
[(12.9502476, 77.53721240000004)],[ChIJaagd4mw-rjsRcZ5eCP-UwlI]
[(12.9604306, 77.55673990000003)],[ChIJN9ceUAE-rjsRp5zNdpJU7Cc]
[(12.9754862, 77.55228880000004)],[ChIJ4UlEkfo9rjsRmJxIEAmv-s4]
[(12.9727283, 77.53817249999997)],[ChIJfe3pnN09rjsRjpwaIXFuKx8]
[(12.964979, 77.52330700000005)],[ChIJYwozPtY9rjsRHpwJk0gIods]
[(12.9537843, 77.5962237)],[ChIJcdI-fcUVrjsR-5uQ7IFB1W0]
[(12.957768, 77.51935400000002)],[ChIJ5SKbKXw-rjsRTZoMNQAO2G0]
[(12.9655393, 77.60959389999994)],[ChIJ7Zdp5CoUrjsRkZkeWpkQTlE]
[(12.9677771, 77.54490220000002)],[ChIJV5Xj1OM9rjsRb5lhGZQhM-w]
[(12.9628174, 77.53789370000004)],[ChIJTYbPPnU-rjsRVJn4H_ae1o8]
[(12.959286, 77.52163700000006)],[ChIJf0QHtX4-rjsRLJm-CyRjHlI]
[(12.971425, 77.52687300000002)],[ChIJK1wNmtA9rjsRupgFcNTelrw]
[(12.97831, 77.57081900000003)],[ChIJff9q2RoWrjsRlpiZ2UnaCLE]
[(12.9682653, 77.54535299999998)],[ChIJz5Mg0OM9rjsRf5jUySn3sn4]
[(12.96446, 77.55476299999998)],[ChIJqzohaAc-rjsRaJhN8gO6yp4]
[(12.9646268, 77.61023820000003)],[ChIJt14wBCsUrjsRNZhsfLudjlM]
[(12.975607, 77.53656999999998)],[ChIJwfi9LN09rjsRyJeJ2lmjzrs]
[(12.9699043, 77.5322056)],[ChIJnR4e4ts9rjsRn5eiZzl0oJU]
[(12.967614, 77.53639799999996)],[ChIJJUCXVt49rjsRrpVQsPCKeoc]
[(12.9524564, 77.57638599999996)],[ChIJxwnCAO8VrjsRZ5SxqdcraC4]
[(12.9598998, 77.64762470000005)],[ChIJp9TtCgYUrjsRTHZLFU0vNRw]
[(12.9203227, 77.64448459999994)],[ChIJB5N_RIYUrjsR5YYP0rrjtOE]
[(12.9221565, 77.61038980000001)],[ChIJiw50g_8UrjsR9bzrQcg1Qhg]
[(12.9983981, 77.55082100000004)],[ChIJiexk-489rjsRQF9IdViZ-rU]
[(12.9167226, 77.60974340000007)],[ChIJE5d62f0UrjsRgR2k2loB4SA]
[(12.9667796, 77.50502589999996)],[ChIJTTT1myg8rjsRMuO2wQZvqfY]
[(12.9930072, 77.59509960000003)],[ChIJjxrVI0MWrjsRsAZ51JgL3G8]
[(12.9579588, 77.66817119999996)],[ChIJmQ46C-8TrjsRkkHQoPf1U4w]
[(13.0287781, 77.5615186)],[ChIJJ7EQ5GE9rjsRN3uIwJbQK9I]
[(12.9254428, 77.50120509999999)],[ChIJWeJ5UOQ-rjsRQF8waeuFh0w]
[(12.935888, 77.60705699999994)],[ChIJoQdjxbIVrjsRPWqBWdV1Ty8]
[(12.998698, 77.5520285)],[ChIJWThii489rjsRYfzJk4IDtII]
[(13.010361, 77.5250016)],[ChIJA9A3nwc9rjsRPLrZa1torrY]
[(12.924766, 77.59346200000005)],[ChIJ_____6YVrjsRAbKGjfBlMQ0]
[(12.9172566, 77.57283340000004)],[ChIJyf_82nkVrjsRR6XeFcuaAFY]
[(12.9370699, 77.62660460000006)],[ChIJ7XqmDUMUrjsRrJK6M8Ke2DQ]
[(12.923762, 77.62799700000005)],[ChIJHYZUgF8UrjsRA4rPOLTWUtg]
[(13.0104744, 77.52500829999997)],[ChIJHXb8oQc9rjsRXmcf4-EuOgU]
[(12.9868444, 77.5543831)],[ChIJfy_lO_M9rjsRVluwLJdrdjo]
[(12.9176507, 77.62334650000003)],[ChIJIZo0S_EUrjsR_yPLFVLgvHw]
[(12.9247207, 77.59255069999995)],[ChIJfU6M4qYVrjsRos1NoMNYCUU]
[(12.9912348, 77.5461027)],[ChIJoydDlpM9rjsR7fXggtMANUs]
[(12.918624, 77.615994)],[ChIJkybwcvkUrjsRsdCOcKbdIGw]
[(12.92692, 77.56128719999992)],[ChIJS34Q5Sk-rjsR55rO1e8NIWA]
[(12.917199, 77.58922910000001)],[ChIJmaJE6wsVrjsRYtWnuKDhl4A]
[(12.988357, 77.53367200000002)],[ChIJd2N3Nr89rjsRPez4c4PvsKI]
[(12.971999, 77.50757799999997)],[ChIJH_MEUy48rjsRB_VstvGOa2U]
[(12.9963097, 77.45151880000003)],[ChIJKfeu4HU7rjsRQGfxovXSsBQ]
[(12.9222181, 77.58377940000003)],[ChIJT2ml6J8VrjsRTe58XuhZp2w]
[(12.9340874, 77.53969469999993)],[ChIJQaZnhTg-rjsR77zaheHrK2U]
[(12.9977831, 77.57129350000002)],[ChIJ-4eUGiUWrjsRCbET_Zlzg7A]
[(12.915763, 77.51074130000006)],[ChIJ777nhQE_rjsRrEKJQVgNMjs]
[(12.9805602, 77.50679880000007)],[ChIJXT7lLzc8rjsRaVm7Cny2Pmg]
[(12.9591376, 77.6555836)],[ChIJMaqFJvgTrjsRwWSYkRTF1XU]
[(12.938069, 77.53329699999995)],[ChIJa1AczzA-rjsRAgV-S0G216o]
[(13.019902, 77.709563)],[ChIJJcMO3lIQrjsRj4IVOO6sq1g]
[(12.9962796, 77.66778049999994)],[ChIJ5xD7qjkRrjsRnajC3kTVkVg]
[(13.0022841, 77.56935599999997)],[ChIJyZc-GS8WrjsR7e_PfNgQ6rU]
[(12.9975252, 77.54599489999998)],[ChIJI5f_vpA9rjsRJc2j-NL6feA]
[(12.9406055, 77.57638229999998)],[ChIJGXZLq5MVrjsR8xzxTVeo2xE]
[(12.9659677, 77.50064050000003)],[ChIJGdgg5CY8rjsRwneQS4e_qS0]
[(12.9310941, 77.50612899999999)],[ChIJ53rBR_A-rjsR2T5vbxrsc3E]
[(12.9990401, 77.54182909999997)],[ChIJv7faLJg9rjsR5vLzOKNxSDI]
[(13.0180269, 77.54139129999999)],[ChIJAUmXA3M9rjsRj_K6mtn_tDM]
[(12.986261, 77.51153599999998)],[ChIJF8hEDEo8rjsRqAt9mkeQcj0]
[(12.955298, 77.64126199999998)],[ChIJzWPVzBEUrjsR-v-Srmwkz7k]
[(13.030861, 77.57754640000007)],[ChIJ3xxStsMXrjsR7P_u7sgCk1I]
[(12.978325, 77.70944699999995)],[ChIJOXqrCoYRrjsRyv_zKdnxSUM]
[(12.931962, 77.61316099999999)],[ChIJOzrLKFIUrjsRnf_iSh2Jh0g]
[(13.036025, 77.497389)],[ChIJe5C8ysY8rjsRfP_ZY1g5XQI]
[(12.907035, 77.69556499999999)],[ChIJ1xH1HR8TrjsReP9m_MGR4wo]
[(12.9185981, 77.66990929999997)],[ChIJyy3hQnETrjsReP-3ViFAGWE]
[(12.9083916, 77.5346965)],[ChIJP8B8Xbc_rjsRdP84ptrWCdQ]
[(12.9877798, 77.5152134)],[ChIJW5rrxUo8rjsRaf-qOPL_REI]
[(12.985235, 77.51930399999992)],[ChIJA_iHY8o9rjsRU_90kmqVOUI]
[(12.916654, 77.62303599999996)],[ChIJZ3GHO_EUrjsRS_-NzcM65KU]
[(13.015028, 77.44694500000003)],[ChIJaQLDNQ07rjsRV_0-qxKwdVg]
[(12.929037, 77.61549500000001)],[ChIJM-GCMVEUrjsRUf0VifYW2GE]
[(13.003277, 77.61891700000001)],[ChIJu1nks_oWrjsRCv3QJcuzw4Q]
[(13.006329, 77.62093400000003)],[ChIJiwrB6-QWrjsRAf3yT4lj4Ig]
[(12.98911, 77.50085999999999)],[ChIJCd187kY8rjsR__w-pO5TqEM]
[(13.024745, 77.53403500000002)],[ChIJs19IwxM9rjsR7PzuCvK0rTs]
[(13.0145722, 77.53079649999995)],[ChIJy_qxLgk9rjsR3_xi1Vwp5jk]
[(13.0339165, 77.55784019999999)],[ChIJjyMpI149rjsRufxTjR9a1Z4]
[(12.92824, 77.53192000000001)],[ChIJpaNBPU8-rjsRufxzVlYvlgc]
[(12.99496, 77.64369699999997)],[ChIJCxKMX8gWrjsRtvydrFy1-c0]
[(13.0082374, 77.42125510000005)],[ChIJH7_Viv46rjsRpfwNfDbiza0]
[(12.972425, 77.50790000000006)],[ChIJb2iRTi48rjsR4frZCTIBL9I]
