[(12.9717798, 77.58013030000006)],[ChIJa2GU9gsWrjsRa_h7dWr5erc]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsR9b4aDPwmkoQ]
[(12.972358, 77.59872989999997)],[ChIJteb_w3kWrjsRKuSrhoop4u0]
[(12.9819018, 77.60944130000007)],[ChIJE46pS4gWrjsRrHKaQnIUv3A]
[(12.968667, 77.53636699999993)],[ChIJ6fePYN49rjsRn6fPyeVZD7o]
[(12.9734418, 77.61392890000002)],[ChIJkYBZ-YMWrjsRzF4Y88DDFBc]
[(12.957731, 77.592987)],[ChIJYRKkG9sVrjsR-6hsipMMweg]
[(12.9579938, 77.59279140000001)],[ChIJWYwwBdsVrjsR8EeeamkQpyI]
[(12.9796549, 77.54708690000007)],[ChIJ6QAAAPM9rjsRE6BP36SHlDc]
[(12.973083, 77.54140299999995)],[ChIJO0uEJYEWrjsR-XDA-ZGFw_8]
[(12.9710829, 77.57019420000006)],[ChIJ4ZsohgYWrjsRpsXkWcgktKo]
[(12.975069, 77.53140499999995)],[ChIJden7AOE9rjsRJspJ63BxEns]
[(12.9737541, 77.57807439999999)],[ChIJ8-amlg4WrjsR7CdOYzlqFEk]
[(12.9766658, 77.57949740000004)],[ChIJ-Vqt5g0WrjsRlkeVToB7BTI]
[(12.960817, 77.52711699999998)],[ChIJmSbp03k-rjsR3SK30XuAdco]
[(12.972267, 77.58670000000006)],[ChIJIxnKFHMWrjsRyq6AN0E6XWY]
[(12.975367, 77.57888300000002)],[ChIJ50gUeQ4WrjsR9StSpTFkszQ]
[(12.976786, 77.57936189999998)],[ChIJr-XH4w0WrjsRZldL3Uk93Aw]
[(12.9580911, 77.53495799999996)],[ChIJlfVk7HM-rjsR7wd7bvQBDmM]
[(12.9745069, 77.53068389999999)],[ChIJ2VCLJts9rjsRGSm9pzITCrg]
[(12.9765063, 77.54236949999995)],[ChIJtSRdhOg9rjsRI8jstskoW1E]
