Uncaught ReferenceError: google is not defined
Navigated to file:///F:/Project%20Elective%20-%20Traffic%20Modelling/myworkarea/index.html
[(12.9566845, 77.54514629999994)],[ChIJYQ6ohg4-rjsRH6a1S32r1fk]
[(12.964104, 77.57204350000006)],[ChIJj1qQAgI-rjsRkqU6guS-NAw]
[(12.9638083, 77.60622519999993)],[ChIJM2g66tQVrjsRvp2-wvKIS4M]
[(12.9614577, 77.5973682)],[ChIJB9qEs9AVrjsRkJ32DKpCYj0]
[(12.9613421, 77.52295909999998)],[ChIJ12MU3Hg-rjsRbp26HXdFHIM]
[(12.9501486, 77.60055069999999)],[ChIJ9WsMNskVrjsRwZg7dgzV7MA]
[(12.971599, 77.594563)],[ChIJ_8N9PncWrjsRKpaAZqBu3nU]
[(12.963994, 77.52244799999994)],[ChIJ5ZdBA9Y9rjsRGJXjbdmlVHo]
[(12.9575202, 77.60084400000005)],[ChIJc7wi69EVrjsRR5QeZoS39Po]
[(12.965245, 77.57397200000003)],[ChIJw-zmsOIVrjsRvZMhnayZpic]
[(12.9610305, 77.59986800000001)],[ChIJ9x5JJdEVrjsR25CpmaxnC4I]
[(12.966017, 77.58231699999999)],[ChIJ39faLeAVrjsR7Yzgiw99U4E]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRaYwr1wotgVc]
[(12.96798, 77.57844399999999)],[ChIJi_p7jQkWrjsRMotWuxGajQg]
[(12.971633, 77.52686700000004)],[ChIJC5OkmtA9rjsRmYcGYdNtbL0]
[(12.9651341, 77.53185559999997)],[ChIJb9yKvdg9rjsRo4YpncTE0GA]
[(12.96628, 77.58086500000002)],[ChIJhd3G3uEVrjsRl4ZvcoJiGYs]
[(12.9709469, 77.53653740000004)],[ChIJ1YCGzt09rjsRhIMXZJyi5hc]
[(12.9680682, 77.58343390000005)],[ChIJE8R9PncWrjsRYYOp68w7qnM]
[(12.956974, 77.56575799999996)],[ChIJj26L5PkVrjsRr39LmUQmjB4]
[(12.9518205, 77.60913140000002)],[ChIJU66KQjMUrjsRzXzcVJ7wtCU]
[(12.96959, 77.53082159999997)],[ChIJZ7UyfNk9rjsRY3xPrtACYT4]
[(12.956989, 77.56373299999996)],[ChIJrarMXvgVrjsRj3rC6jT-Wl8]
[(12.970202, 77.52079300000003)],[ChIJj7SP7tM9rjsRNnkZQE0KPYg]
[(12.964335, 77.51866599999994)],[ChIJTVU-d9U9rjsR0XeQ0RseCrA]
[(12.966512, 77.59251900000004)],[ChIJAzpFmtgVrjsRTnWXAwcTtoA]
[(12.9666051, 77.53051119999998)],[ChIJm3vH-Ng9rjsR73T1r1kxrPE]
[(12.967428, 77.576234)],[ChIJIeawNAgWrjsR3m1hT9ml9jQ]
[(12.979767, 77.54271700000004)],[ChIJH3m8Eek9rjsRAG0jANRtTQw]
[(12.9695845, 77.53323260000002)],[ChIJZYa6VNk9rjsRzWpmucCtpJE]
[(12.967434, 77.57591000000002)],[ChIJkc450gcWrjsRt2paa9Q_BAc]
[(12.967872, 77.580962)],[ChIJH1byaQoWrjsRnmqPG2cgDZI]
[(12.955456, 77.53059200000007)],[ChIJ_f__qnE-rjsR_2fCS0vO_BA]
[(12.96164, 77.57770000000005)],[ChIJ68csk-MVrjsRW2U4HGYE4so]
[(12.964333, 77.54038300000002)],[ChIJI-zDoQo-rjsRG2V-t3FRnDQ]
[(12.969442, 77.58366699999999)],[ChIJXaJv3woWrjsR8WNY-NQ0Xco]
[(12.966207, 77.57694100000003)],[ChIJWRwweOIVrjsR6WONB5vjWB4]
[(12.951365, 77.55252500000006)],[ChIJv_A29xo-rjsRWmJBzleXiBo]
[(12.9761678, 77.52650829999993)],[ChIJy_fI7s89rjsRKWJQDvN39Co]
[(12.968032, 77.53047300000003)],[ChIJxZAQCtk9rjsR62GYYMnd3uA]
[(12.9579846, 77.53542949999996)],[ChIJAQAAkHM-rjsRd18r8iZG74k]
[(12.96052, 77.56779469999992)],[ChIJj1qQAgI-rjsRiF4h33bQ9sg]
[(12.9819255, 77.52898770000002)],[ChIJa5vMbMY9rjsRU14YXz2_d3A]
[(12.9580682, 77.56789750000007)],[ChIJB_Zt1_sVrjsR-l1yxsbdCMU]
[(12.9626067, 77.57268840000006)],[ChIJVVVVxfwVrjsROlw-FaC9N5g]
[(12.9545181, 77.58377010000004)],[ChIJS7PPE-gVrjsRnFtedXT9RN0]
[(12.966761, 77.576505)],[ChIJ69KX0wkWrjsR3VdVBRzCj3Y]
[(12.96052, 77.56779469999992)],[ChIJj1qQAgI-rjsR9VXOOtQd5j8]
[(12.969316, 77.57307000000003)],[ChIJ8xz8KwYWrjsRdlRc388Ugo4]
[(12.9640987, 77.5824232)],[ChIJGcWwVuAVrjsR6lOSBU-pBrE]
[(12.9518019, 77.60887460000004)],[ChIJTwV_QzMUrjsR31Nx2qf8FCs]
[(12.971, 77.52355999999997)],[ChIJk6DSFdE9rjsRuVNjiLUUPz8]
[(12.9707555, 77.58056850000003)],[ChIJn9vkQgkWrjsRZVL5GuAhGXY]
[(12.953653, 77.61376100000007)],[ChIJwxycfjEUrjsR8VBNWSRrzi4]
[(12.9541862, 77.55825319999997)],[ChIJf5_IMgM-rjsR_U8ov2oBRv0]
[(12.9508439, 77.56441559999996)],[ChIJXysaWvYVrjsRvE7FnVmMYH8]
[(12.9691571, 77.53543330000002)],[ChIJxWzYj949rjsRJE6vBNk4-20]
[(12.9688421, 77.58444170000007)],[ChIJhc3z0QoWrjsRq0umeNkIvF8]
[(12.967681, 77.53547320000007)],[ChIJ3Z4o-949rjsRvEpb3WDxcPQ]
