[(12.9736021, 77.60706110000001)],[ChIJSYzU4n0WrjsRWaNAzsf23D0]
[(12.973203, 77.60734100000002)],[ChIJD_4zBn4WrjsR5OGIWpwZHTI]
[(12.970835, 77.57527000000005)],[ChIJnW70wwgWrjsRbR-kwybY8GE]
[(12.971771, 77.61277199999995)],[ChIJNSWm9hAUrjsRuCepbYT4nrI]
[(12.9820202, 77.61063869999998)],[ChIJjZd5EdNxBRERdvBOj7bWKSc]
[(12.9709797, 77.59628550000002)],[ChIJt242Vg0WrjsRloyaaxQMXfw]
[(12.9716422, 77.59619369999996)],[ChIJAQCQ4XgWrjsRwG8wAK81kGg]
[(12.9639768, 77.60421789999998)],[ChIJxTs2W9QVrjsRStKzgmS_yJ0]
[(12.981758, 77.59941600000002)],[ChIJ12VO82QWrjsRvhpWq3qUvEg]
[(12.9659838, 77.59251100000006)],[ChIJbyDFk9gVrjsRnIXBTj24zZw]
[(12.9702794, 77.61101439999993)],[ChIJHetFcYMWrjsRbuak0coQJmA]
[(12.9745888, 77.60766560000002)],[ChIJ5VDE9X0WrjsRMgdEeIIf9Eg]
[(12.9584214, 77.56064679999997)],[ChIJA8XcagI-rjsRM_FTcuTm5wA]
[(12.9763629, 77.52610900000002)],[ChIJFbzYwc89rjsR740JapbYcTU]
[(12.976438, 77.57899399999997)],[ChIJ2XHmCg4WrjsRegYy_byvjFo]
[(12.9701175, 77.60996539999996)],[ChIJT6xsT4AWrjsR905-0VyTPXU]
[(12.9761822, 77.52609189999998)],[ChIJHVQJws89rjsR_VWu-XPOND4]
[(12.965579, 77.53638000000001)],[ChIJqX7lnt89rjsR3zTHmBrUhBU]
[(12.9544783, 77.6118897)],[ChIJdxH3SDIUrjsR1eq8hDvMJXA]
[(12.9715964, 77.53732029999992)],[ChIJ801Sx909rjsRJ-ohCwzycAk]
[(12.9482231, 77.55089299999997)],[ChIJkTMWAho-rjsRq-oS75YcOCo]
[(12.966359, 77.58068100000003)],[ChIJL4ez3-EVrjsRSMs7W3ZnOME]
[(12.9651547, 77.57946549999997)],[ChIJsxeZ9OEVrjsRtIHJx6gp6d8]
[(12.9736212, 77.60751249999998)],[ChIJ9wB3_n0WrjsRpzHQ6bx1OtE]
[(12.9852337, 77.60685050000006)],[ChIJUZjptmEWrjsR6kAtWsy_vuc]
[(12.9802, 77.60466700000006)],[ChIJ9dpTfWMWrjsRwsuDsq9D9fY]
[(12.9344947, 77.61109859999999)],[ChIJQcuviE0UrjsRCgSy9X7fLWA]
[(13.0454027, 77.62685780000004)],[ChIJHd-K42gXrjsRgAvPZs1EH3I]
[(12.888088, 77.59737500000006)],[ChIJH1Bu9i8VrjsRcqZOJPeezBc]
[(13.0115716, 77.55511449999995)],[ChIJ1dBBp3g9rjsRaQN4aWJKrVQ]
[(12.9343228, 77.61097100000006)],[ChIJk6Uehk0UrjsRoO5Hkkwi01o]
[(12.9302341, 77.55315389999998)],[ChIJe17YIy4-rjsRgEes049FVWU]
[(12.9973603, 77.69656239999995)],[ChIJp-fV_woRrjsREjVRdliemgo]
[(12.9921071, 77.57112619999998)],[ChIJnbcSBSMWrjsRy0893XqctiI]
[(12.988781, 77.54517699999997)],[ChIJDXXyXZM9rjsRcHxX9khw1XI]
[(12.9570224, 77.69767649999994)],[ChIJcfnKwMwTrjsRawvyj0ye-XU]
[(12.9271319, 77.55090270000005)],[ChIJyd-qJi4-rjsRm7ctO71hzPY]
[(12.916831, 77.6515723)],[ChIJNcMvOIIUrjsRZQW4h2mjlM8]
[(12.9699512, 77.64105689999997)],[ChIJv7Up8qcWrjsRXVBn3NTwetA]
[(12.9742311, 77.64117779999992)],[ChIJT44HOqYWrjsRCvlHG0WfYA4]
[(12.9345852, 77.61124280000001)],[ChIJtZnSmk0UrjsRQFncVWlJDKQ]
[(12.996549, 77.69677000000001)],[ChIJyxfT4woRrjsRVjJu_ROcvhA]
[(12.9162556, 77.59232099999997)],[ChIJF_WzNAkVrjsRDVJillVk4kI]
[(12.9792795, 77.7288562)],[ChIJXf40TfERrjsRyXznZ7Dizbs]
[(12.906503, 77.58772199999999)],[ChIJIVz-CRMVrjsRsiqQwSnexZk]
[(12.9566855, 77.69889060000003)],[ChIJ9ZDSycwTrjsRvyLOd5lHJvs]
[(12.969785, 77.64083099999993)],[ChIJ4Tlh86cWrjsRN4qK8Lv9VE8]
[(12.9163669, 77.59258210000007)],[ChIJ3YAWMwkVrjsRQOfUAcxL6YU]
[(12.9163498, 77.59247389999996)],[ChIJvTlrMwkVrjsR93IWZvZ_i_E]
[(12.9580946, 77.66150379999999)],[ChIJA2AcjvATrjsRFkaRR9Qp2d8]
[(12.980647, 77.61423809999997)],[ChIJD_XPkY8WrjsRIWG1Shf45fs]
[(12.929026, 77.58575900000005)],[ChIJr0R9bqIVrjsRE7erMMPzWXo]
[(13.011571, 77.5550945)],[ChIJS0Fau3g9rjsRMZ35B1vwoBc]
[(12.978182, 77.63773100000003)],[ChIJWyMYAKUWrjsRAyJkQcu6hpQ]
[(13.0113722, 77.55479009999999)],[ChIJvRSBo3g9rjsR8vkADRDEIpw]
[(12.9967749, 77.69673409999996)],[ChIJ-fjX4goRrjsRYHCUlevQXlc]
[(12.997828, 77.69633699999997)],[ChIJd5uFqwsRrjsRQCTuJjnZ30g]
[(12.9920444, 77.5707185)],[ChIJp6xSBiMWrjsRN0SyEgFcXBo]
[(13.0106458, 77.55516740000007)],[ChIJX3bFvHg9rjsRmcTwzAuJeds]
[(12.9984, 77.55096700000001)],[ChIJn7EQ-489rjsRkbsU-mpn8PI]
[(12.9973106, 77.69659730000001)],[ChIJ7TYu_goRrjsR9I1mrYIuxr4]
[(12.9163184, 77.59247119999998)],[ChIJGetAMwkVrjsRwF13W1Wposs]
[(12.933263, 77.63099009999996)],[ChIJmy9fiWcUrjsRMzDbPIEGafk]
[(12.97929, 77.72859870000002)],[ChIJtyrRUvERrjsRWaao4uA89wA]
[(12.9736978, 77.62041299999999)],[ChIJL_dfVZsWrjsRDxqBui84w98]
[(12.9870791, 77.73632789999999)],[ChIJOVsFHOURrjsRBhBNDfi7Rys]
[(12.9965047, 77.6967707)],[ChIJzXHV4woRrjsRHdoU9uSXGLg]
[(13.0318111, 77.56967770000006)],[ChIJtcFMpd0XrjsRdb5zyB3wNmY]
[(12.922241, 77.55777929999999)],[ChIJKxDyEis-rjsRsTJvT4vowWc]
[(12.9922143, 77.57050129999993)],[ChIJI3LwpyMWrjsRdMs47wpzOMk]
[(12.9894986, 77.76521449999996)],[ChIJ-a_oXMERrjsRa3W_byCpPgw]
[(12.99626, 77.61355000000003)],[ChIJp8N3__MWrjsRLrYODZrqfXc]
[(12.9122491, 77.63950920000002)],[ChIJyQHeLJAUrjsRQfzvcjJ0r-U]
[(12.9344615, 77.61106229999996)],[ChIJ3W8bhE0UrjsR_t_tp9mwpiw]
[(12.9259651, 77.6753569)],[ChIJL_yV4Z8TrjsRaWQ3aBm2gDg]
[(12.9916367, 77.57070780000004)],[ChIJLf5UACMWrjsRRgQGDCDF3W4]
[(12.9621635, 77.63760509999997)],[ChIJuYXEwRsUrjsR6CRBaEJB0mA]
[(12.9791018, 77.72857729999998)],[ChIJ6QECrfYRrjsRpAy_HQTS84I]
[(12.997034, 77.69091000000003)],[ChIJFaiNAgsRrjsRhTQ5Q44S5Nk]
[(12.9163759, 77.59242300000005)],[ChIJyyxlMwkVrjsRBTYBHJrvdC8]
[(12.9803764, 77.63604950000001)],[ChIJOxSCU6MWrjsRaAX6PGl97YQ]
[(12.9795968, 77.72876180000003)],[ChIJ3-D2qvYRrjsRGBrzTiqI-uw]
[(12.9093285, 77.54929199999992)],[ChIJE3v87c8_rjsRCXOMZfpZK7g]
[(12.9948134, 77.53977480000003)],[ChIJcfE6JZY9rjsRRcyoHxHv0jc]
[(12.9968651, 77.54038719999994)],[ChIJnSw_wZc9rjsRjZ8qx6B52A0]
[(12.9144771, 77.59931359999996)],[ChIJv_BaswUVrjsRJ6CA8yC5fcg]
[(12.9159812, 77.58565449999992)],[ChIJVbLHRQsVrjsRaOxUwmvh1pg]
[(12.9333886, 77.63046480000003)],[ChIJa0wWYV0UrjsRPw117WSWoGs]
[(12.9959934, 77.69659730000001)],[ChIJdwyO3woRrjsRI0ogmM8FZVw]
[(12.917012, 77.59408710000002)],[ChIJ44tA0AgVrjsRjvtx2UXxL88]
[(12.988047, 77.53574700000001)],[ChIJoSb7c789rjsRtLA6ACUaPCs]
[(12.965293, 77.64164789999995)],[ChIJPWXCzhwUrjsROwTT8UDflO4]
[(12.9916484, 77.57071829999995)],[ChIJvV8qBSMWrjsRkgsOwZ5qlSo]
[(12.9911316, 77.53802150000001)],[ChIJLVLOPb49rjsRl1iGNiMFR9E]
[(13.0058504, 77.5814335)],[ChIJYTKbnTYWrjsRjCMP5IpyasY]
[(13.00416, 77.71052499999996)],[ChIJG1r8K6URrjsRhYMdlx2VnoM]
[(12.9015789, 77.59467840000002)],[ChIJrRg9oxcVrjsRtpy3D7RaR7M]
[(12.9307296, 77.58520650000003)],[ChIJpzdRoaIVrjsR5zT53eadWZY]
[(13.0252823, 77.51034460000005)],[ChIJbz9kM_8UrjsRweQy7CtiP0E]
[(13.0088373, 77.55728479999993)],[ChIJq6qqloE9rjsRAlg9lojOc4s]
[(12.9280496, 77.5860748)],[ChIJ2wcSF6IVrjsRcj57cMrL6ME]
[(12.9344246, 77.58380169999998)],[ChIJHa86wpcVrjsRqvEEnQytdpQ]
