[(12.9344613, 77.61342620000005)],[ChIJQeiC6UgUrjsRHqhwsCAiBAE]
[(12.987615, 77.59500300000002)],[ChIJAYGXZ2gWrjsRqUeIn__pxVw]
[(12.933881, 77.61772429999996)],[ChIJLV0sH1AUrjsReAVlMAZgzOU]
[(12.9323938, 77.60352560000001)],[ChIJrTBIla0VrjsR6UOZhyhfChA]
[(12.9175384, 77.58224670000004)],[ChIJ9RT47psVrjsRFpAVuFvTIG0]
[(12.972386, 77.63738699999999)],[ChIJF_4cfQMUrjsRh4ulSh2bNPw]
[(13.0247795, 77.59247119999998)],[ChIJO-w_OugXrjsRCI9D2UEKeQg]
[(12.9873369, 77.59154239999998)],[ChIJ7VGE8X0WrjsR4HbEegSWd9c]
[(12.9104944, 77.58892059999994)],[ChIJsQNuig0VrjsRiko5Qf68jsg]
[(12.944221, 77.57106099999999)],[ChIJo8_T_jk-rjsRM_bc835tm-o]
[(12.998889, 77.57719050000003)],[ChIJVVVVxTYWrjsRsbbb4zb_ArQ]
[(12.9915758, 77.61158269999999)],[ChIJv_zBvPQWrjsRie_NcMDTF0c]
[(13.0383548, 77.56518519999997)],[ChIJ08TZcOEXrjsR8ixV-wY8yhA]
[(12.9783412, 77.722714)],[ChIJtzevp_QRrjsRHyA5f4QMuxA]
[(12.942881, 77.54448260000004)],[ChIJVVVVBS0-rjsR2tPD1i8GFFc]
[(12.9342601, 77.69423710000001)],[ChIJwXbQ5E0UrjsRO_hDWGB31S8]
[(12.9876536, 77.55993799999999)],[ChIJdSmpvPU9rjsRlX4gqQmTveM]
[(12.9858345, 77.73600160000001)],[ChIJye-3L-URrjsRdeAdMiSPBg0]
[(12.9207778, 77.58628190000002)],[ChIJwTRZvQoVrjsRtE1hQH3o67I]
[(12.9424238, 77.69458829999996)],[ChIJi61M6LMTrjsR25ulLeu1mw4]
[(12.915738, 77.60245439999994)],[ChIJVTy48gMVrjsRA51Oy16SPek]
[(12.9246358, 77.6187046)],[ChIJzSGj8lcUrjsRwSBZ-qkojF8]
[(12.9907521, 77.57689649999998)],[ChIJr5TTACtwBRERPiYJrEFSunk]
[(12.959051, 77.66127699999993)],[ChIJ5eWEnfATrjsRjH4erwAV3Zc]
[(13.02676, 77.60501799999997)],[ChIJoT5qq6cXrjsRndD4py8Q0Ow]
[(12.9194406, 77.60968100000002)],[ChIJbYSrDv0UrjsRluDZPhmr7u0]
[(12.9943129, 77.7017257)],[ChIJq_IhhZ8RrjsRuuh6S5HjgPw]
[(12.9123352, 77.64233869999998)],[ChIJo7MsppoUrjsRTnVQh_3ePlo]
[(12.9678993, 77.6515885)],[ChIJidIXRQAUrjsRZ1PJmAGUmKI]
[(12.953756, 77.64106900000002)],[ChIJt9Icyw8UrjsRS6qaT--FR-A]
[(12.970368, 77.64217699999995)],[ChIJT_q0g6EWrjsRITI0Qi6x20U]
[(13.0734129, 77.55549350000001)],[ChIJq6qq7qMirjsRUlImxl7mY3o]
[(12.9947899, 77.66593690000002)],[ChIJUxsEPTgRrjsROnpJjsAfPZc]
[(12.9165226, 77.62320479999994)],[ChIJtX_lIvcUrjsRDimbdBwDV5s]
[(13.0205931, 77.59251419999998)],[ChIJVVVVFbAXrjsR6ggPdj6qusM]
[(12.9121602, 77.59948009999994)],[ChIJlaqqrpgVrjsRxpVme6iLWnw]
[(13.07442, 77.52270599999997)],[ChIJ8Q9Yzt0irjsRbmwfwTMMtuI]
[(13.041809, 77.61326899999995)],[ChIJKxV9nHYXrjsR4QphBPcFRF0]
[(12.9462897, 77.57355370000005)],[ChIJj4S4f-0VrjsR5fCu0dijskg]
[(12.9059392, 77.59480480000002)],[ChIJebfFD3IVrjsR26RImYBOO2w]
[(12.993309, 77.59416099999999)],[ChIJffVVBUMWrjsRchZ9CiZzt30]
[(12.93526, 77.63095099999998)],[ChIJXZ8xAmgUrjsR8sw6BCFn9m4]
[(13.0060735, 77.57696269999997)],[ChIJExZp0TMWrjsRqQhvpySbk_U]
[(12.914755, 77.59777600000007)],[ChIJoWcBvgUVrjsR9xsjnK27B10]
[(13.0333711, 77.56878170000005)],[ChIJCcD6890XrjsRcjgBJIg8Pec]
[(12.9913649, 77.5950623)],[ChIJ2z7ZjUIWrjsRCqNR_K8G4Z8]
[(12.9370082, 77.70045949999997)],[ChIJ9ye3uFISrjsRSGTD3w6rT4k]
[(13.0030624, 77.56429279999998)],[ChIJXwcMrykWrjsRLsL3IaeluZ0]
[(13.0262606, 77.60921529999996)],[ChIJX2G69LAXrjsRqjLJeY4siUo]
[(12.998531, 77.61322399999995)],[ChIJezZqpYAWrjsRThPBXU2Z6JY]
[(12.982024, 77.60187700000006)],[ChIJMasqeWQWrjsRXREM85uhlS4]
[(13.0146974, 77.6461961)],[ChIJuYzmJdYWrjsRJfWTFADO00Q]
[(12.9215013, 77.57049440000003)],[ChIJNedRfYIVrjsRhSsWHETOb2k]
[(12.924361, 77.67390999999998)],[ChIJUdAA23QTrjsRQ381s3GDm1g]
[(12.9336163, 77.57354579999992)],[ChIJDUbW1IIVrjsRNThmuHXKKJ8]
[(12.986765, 77.64577299999996)],[ChIJVVVV0ZA9rjsRpgkU9eT2Xm8]
[(13.034644, 77.55764299999998)],[ChIJ9XdlvjQWrjsRnG_TEJfpeBU]
[(12.925891, 77.68665399999998)],[ChIJ-0LVFwgTrjsRIhCkfThN2CI]
[(13.0258174, 77.62680849999992)],[ChIJVVWV2SsRrjsRl59OR54Sb_4]
[(12.8498869, 77.65898149999998)],[ChIJjyPGd5xsrjsRuigTY0VkG80]
[(12.9369323, 77.62170630000003)],[ChIJOzdCBEUUrjsRkmrBiQ6P6EU]
[(13.0299704, 77.56066710000005)],[ChIJrY5ZyGE9rjsRUZ2jmvH01Ro]
[(12.9367286, 77.62808940000002)],[ChIJ-9rD40IUrjsR9yjlsGVOH-Y]
[(12.9203039, 77.5865503)],[ChIJC-vrlAoVrjsRQdOoUmJ6b38]
[(13.0554096, 77.59300770000004)],[ChIJi1wirokXrjsR0n85IYrpBSI]
[(12.852451, 77.66764280000007)],[ChIJhb0GLJdsrjsRhrMS3nBM02w]
[(12.9237234, 77.56045100000006)],[ChIJB_t2XSo-rjsRJGXz879u28E]
[(12.9255426, 77.5884929)],[ChIJIw7lEaEVrjsRZkRcYHmKLFg]
[(12.9340155, 77.61841989999994)],[ChIJGeNrG1AUrjsRWiRH3KlDwS0]
[(12.977983, 77.63452200000006)],[ChIJD2fPDqMWrjsRhpKnYREMi30]
[(13.0199424, 77.65223349999997)],[ChIJq6qqutU8rjsR7kE_ZdIGdxw]
[(12.9792304, 77.715554)],[ChIJEX5NY_4NrjsRtvWybKoXogY]
[(13.017063, 77.64661699999999)],[ChIJOceWhtUWrjsRrJ7uEKfVHkE]
[(12.9264163, 77.56964110000001)],[ChIJyaqq6oEVrjsR2Xc52kCkEnY]
[(13.024066, 77.595553)],[ChIJBROGVqUXrjsRxTi5wPQU4ps]
[(12.854729, 77.66281900000001)],[ChIJnw6F9p0VrjsRm0fZtFQzsS8]
[(12.854603, 77.66232600000001)],[ChIJE8R9PncWrjsRAUG5DTI6_Mo]
[(13.0111631, 77.60966689999998)],[ChIJE7UMu_8WrjsRie3I2z80AY0]
[(13.0196166, 77.60702790000005)],[ChIJb6WE5akXrjsRWTDg8d_LDns]
[(12.981372, 77.7261992)],[ChIJTXHGsPMRrjsR5WV5S4giLPg]
[(12.819919, 77.51401599999997)],[ChIJZa4mxwNBrjsRRvTueQOKJFM]
[(12.9149876, 77.58715230000007)],[ChIJZ_dBjgwVrjsRRUt7ZI_cZd8]
[(12.9727308, 77.65058799999997)],[ChIJqbzWqqsWrjsRg9lT-kdSN70]
[(13.009749, 77.57121099999995)],[ChIJK8BZqFsUrjsRE49D6Kr3QiM]
[(12.9616117, 77.58288370000002)],[ChIJQfGez-AVrjsR-elWw1cagRc]
[(12.9449713, 77.58668169999999)],[ChIJVy4PbsAVrjsRr8ma0z79NHw]
[(12.9938368, 77.58123820000003)],[ChIJz-THxD4WrjsRxCvKC2Grp-U]
[(13.004725, 77.57774500000005)],[ChIJqxzSQTEWrjsRkMRIw6RzxLw]
