[(12.969896, 77.57174299999997)],[ChIJOcLCRgYWrjsRP3oYIwwRqaI]
[(12.9672412, 77.60764560000007)],[ChIJc7idFdUVrjsRnVYZzI9lCVE]
[(12.9617162, 77.5708406)],[ChIJh7Npi_wVrjsRYzhiXbo547Q]
[(12.97336, 77.56106299999999)],[ChIJJUjUj_g9rjsRiVZgNFNtpa0]
[(12.966629, 77.57661899999994)],[ChIJmxsd1AkWrjsRJceKUHD6JRo]
[(12.9764139, 77.52512669999999)],[ChIJjRgQyc89rjsRu-ysstdutGk]
[(12.9643062, 77.57685749999996)],[ChIJIbzKseAVrjsRbDEr8tiwI9w]
[(12.9767922, 77.56659890000003)],[ChIJq6qqTgMWrjsR3sM_Z6j5CYE]
[(12.959728, 77.57643600000006)],[ChIJZ1BMYuQVrjsRJ5S898eWOF4]
[(12.9669017, 77.57896210000001)],[ChIJpUvj-AkWrjsRBSFmOFyHT2Y]
[(12.955251, 77.56776230000003)],[ChIJC4G4AvoVrjsRBqrYkKZl7rc]
[(12.9789554, 77.57483760000002)],[ChIJVVVVhVkYrjsR_-54cJ3w7Ik]
[(12.9578935, 77.55351769999993)],[ChIJfZO25g0-rjsREcR4J4MiOFs]
[(12.9599649, 77.58205620000001)],[ChIJl4hCJ-cVrjsR5ySt_4CA60c]
[(12.9599936, 77.58199549999995)],[ChIJGb6d2OYVrjsRHj-mt3r-7y8]
[(12.963521, 77.58210600000007)],[ChIJPYNi_XAWrjsRafNvEbiDycc]
[(12.963521, 77.58210600000007)],[ChIJGTzsn9gVrjsRg2-8sZj0_To]
[(12.9511232, 77.60706110000001)],[ChIJAQAAfDQUrjsRMlBqK2VtLoQ]
[(12.959925, 77.58202329999995)],[ChIJ8_dZJ-cVrjsRlFQKvZmsxGU]
[(12.9600381, 77.58190230000002)],[ChIJq6qq2uYVrjsR9153j36vqRc]
[(12.9600391, 77.5807251)],[ChIJ-_exx-YVrjsR7hX1EK8HUmI]
[(12.960239, 77.58140709999998)],[ChIJabRx0OYVrjsRb6b0emd0e60]
[(12.9608906, 77.58341240000004)],[ChIJAQDA9-AVrjsRwLCzrQQtQy8]
[(12.959759, 77.58247299999994)],[ChIJ-diUNucVrjsRyihqV7nPhd0]
[(12.9592314, 77.58595409999998)],[ChIJcZf9NOcVrjsRHaYA4Q5GAnU]
[(12.951154, 77.57921499999998)],[ChIJozPCNOkVrjsRg423orFO6bg]
[(12.973879, 77.54759200000001)],[ChIJ04TZqeU9rjsRMiLqrdiPNm0]
[(12.955073, 77.58643089999998)],[ChIJ5WWXycIVrjsR2iUbTOd0YIo]
[(12.9560731, 77.5867336)],[ChIJ407cMN0VrjsRlVoWY2kXpV4]
[(12.971606, 77.59437600000001)],[ChIJ7Y5UPHcWrjsRhbpZPdCQlnA]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsR7IcbcnMAcuw]
[(12.971606, 77.59437600000001)],[ChIJ7Y5UPHcWrjsRB6iAlS1-_Vk]
[(12.958406, 77.59248090000006)],[ChIJyegdCdsVrjsRmfyNsV4K7y4]
[(12.9578251, 77.59343239999998)],[ChIJX89kHdsVrjsRx2BfMGbNU9o]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRn3efSVpAz_A]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsR30KAetAYx4Y]
[(12.9568192, 77.59324379999998)],[ChIJcfegxvAUrjsRbfab0m5PMCo]
[(12.962641, 77.59117100000003)],[ChIJm8JQSNkVrjsR7MApAkQMo78]
[(12.9832453, 77.59573279999995)],[ChIJ9dpTfWMWrjsRCNpc00uwbW8]
[(12.956989, 77.59779800000001)],[ChIJtUGOPdAVrjsRssLm6dCUexk]
[(12.948981, 77.597759)],[ChIJDVVVlcgVrjsRmZaWodtqk14]
[(12.9694069, 77.60237159999997)],[ChIJezZqpYAWrjsRCYjJ3bCwc7Y]
[(12.9821264, 77.53818249999995)],[ChIJD04n8ME9rjsRqT3N8hQB25c]
[(12.9660801, 77.6058501)],[ChIJc7idFdUVrjsRHLihQcPseZ8]
[(12.961085, 77.604692)],[ChIJbb5FnNMVrjsRjqS6SErgozM]
[(12.9714806, 77.60700729999996)],[ChIJ9wB3_n0WrjsR_qKHKAJctnA]
[(12.9705496, 77.60873079999999)],[ChIJpaudY4AWrjsRxRIZvr-MWfo]
[(12.9827987, 77.52423109999995)],[ChIJl6KwDco9rjsRfAO43oLlprA]
[(12.9621383, 77.63729220000005)],[ChIJT5yFwhsUrjsRC9jL7dG_wZY]
[(12.9477643, 77.62014629999999)],[ChIJLTlVOjgUrjsRH2RKUkgr3h4]
[(12.940295, 77.58435179999992)],[ChIJD4KMjpUVrjsR1a-8EcbK80A]
[(12.9423206, 77.54314010000007)],[ChIJCxYHixU-rjsRbTxqklP_PwM]
[(12.9307701, 77.56283020000001)],[ChIJPzli7ocVrjsRI0vo8NfrM0o]
[(12.99886, 77.58125399999994)],[ChIJf0bhuDkWrjsRWNO2xo76bi8]
[(12.9375634, 77.6906669)],[ChIJd81j1K8TrjsRchmaHuxg-8I]
[(12.9340691, 77.62249750000001)],[ChIJFfcuL1sUrjsRWtJLi_S_oTE]
[(12.9341005, 77.622571)],[ChIJ8zkeL1sUrjsRFdBoRlOgjCE]
[(12.9460221, 77.6192638)],[ChIJxYBfTE4UrjsR058lrD-3ayY]
[(12.9545711, 77.66262440000003)],[ChIJrdlYmfETrjsRCv-dMZP5_r4]
[(12.9293584, 77.58423689999995)],[ChIJ_blqhZgVrjsRvHUjcO85bfw]
[(12.9852028, 77.5515378)],[ChIJF4VZifI9rjsRdRH4ojDGQ-E]
