[(12.9484165, 77.6438114)],[ChIJ5YSaFQ0UrjsRlyry3YoqMms]
[(12.9366624, 77.57448969999996)],[ChIJj1Mg6pEVrjsRIFohmBCz_L0]
[(12.980524, 77.64605699999993)],[ChIJVVVV4bEWrjsRWJxmGK3mQQ8]
[(13.045939, 77.62033539999993)],[ChIJF8p8wW8XrjsRznzDxlrha5w]
[(12.9866627, 77.73076760000004)],[ChIJW4BF-_IRrjsRz3Oul4OwXr4]
[(13.0270777, 77.59318680000001)],[ChIJGbTBqLsXrjsRLyShliCNgVc]
[(12.8997301, 77.6355797)],[ChIJkf-obb4UrjsR7r32NBDsH4o]
[(12.9715759, 77.71872340000004)],[ChIJMeII2YwRrjsRGKHTsEM2o0E]
[(12.909336, 77.56509919999996)],[ChIJNSe61HwVrjsR_eF-PrtezYk]
[(12.9840632, 77.72940070000004)],[ChIJHc4-tScSrjsRic97cf-5huA]
[(12.9247785, 77.631482)],[ChIJFXHGFWAUrjsRU0f-pP6Q0Ag]
[(12.9330842, 77.58315049999999)],[ChIJAQAAAKQVrjsRgbVCPWHAfEI]
[(12.93972, 77.58043599999996)],[ChIJ7VbFapQVrjsRYwyIqz58CME]
[(12.9592607, 77.66131819999998)],[ChIJLXD3dvATrjsRbwJxyaLX_w4]
[(13.028694, 77.589564)],[ChIJLXG3TrkXrjsR3QxwQanjPkA]
[(12.989112, 77.66343499999994)],[ChIJmVuh60gRrjsRnm9yC16s4Zk]
[(12.987736, 77.57981700000005)],[ChIJRRbj2tUVrjsRGtoYeQGHDQA]
[(13.013882, 77.57400099999995)],[ChIJ528nes0XrjsRRYlmMS5jHhs]
[(12.9855579, 77.73988589999999)],[ChIJEX5NY_4NrjsRi0yWFalV5ps]
[(13.0364285, 77.57462299999997)],[ChIJDcQtVecXrjsRfYMckKDziWc]
[(12.9344613, 77.61342620000005)],[ChIJQeiC6UgUrjsRHqhwsCAiBAE]
[(12.987615, 77.59500300000002)],[ChIJAYGXZ2gWrjsRqUeIn__pxVw]
[(12.933881, 77.61772429999996)],[ChIJLV0sH1AUrjsReAVlMAZgzOU]
[(12.9323938, 77.60352560000001)],[ChIJrTBIla0VrjsR6UOZhyhfChA]
[(12.9175384, 77.58224670000004)],[ChIJ9RT47psVrjsRFpAVuFvTIG0]
[(12.972386, 77.63738699999999)],[ChIJF_4cfQMUrjsRh4ulSh2bNPw]
[(13.0247795, 77.59247119999998)],[ChIJO-w_OugXrjsRCI9D2UEKeQg]
[(12.9873369, 77.59154239999998)],[ChIJ7VGE8X0WrjsR4HbEegSWd9c]
[(12.9104944, 77.58892059999994)],[ChIJsQNuig0VrjsRiko5Qf68jsg]
[(12.944221, 77.57106099999999)],[ChIJo8_T_jk-rjsRM_bc835tm-o]
[(12.998889, 77.57719050000003)],[ChIJVVVVxTYWrjsRsbbb4zb_ArQ]
[(12.9915758, 77.61158269999999)],[ChIJv_zBvPQWrjsRie_NcMDTF0c]
[(13.0383548, 77.56518519999997)],[ChIJ08TZcOEXrjsR8ixV-wY8yhA]
[(12.9783412, 77.722714)],[ChIJtzevp_QRrjsRHyA5f4QMuxA]
[(12.942881, 77.54448260000004)],[ChIJVVVVBS0-rjsR2tPD1i8GFFc]
[(12.9342601, 77.69423710000001)],[ChIJwXbQ5E0UrjsRO_hDWGB31S8]
[(12.9876536, 77.55993799999999)],[ChIJdSmpvPU9rjsRlX4gqQmTveM]
[(12.9858345, 77.73600160000001)],[ChIJye-3L-URrjsRdeAdMiSPBg0]
[(12.9207778, 77.58628190000002)],[ChIJwTRZvQoVrjsRtE1hQH3o67I]
[(12.9424238, 77.69458829999996)],[ChIJi61M6LMTrjsR25ulLeu1mw4]
[(12.915738, 77.60245439999994)],[ChIJVTy48gMVrjsRA51Oy16SPek]
[(12.9246358, 77.6187046)],[ChIJzSGj8lcUrjsRwSBZ-qkojF8]
[(12.9907521, 77.57689649999998)],[ChIJr5TTACtwBRERPiYJrEFSunk]
[(12.959051, 77.66127699999993)],[ChIJ5eWEnfATrjsRjH4erwAV3Zc]
[(13.02676, 77.60501799999997)],[ChIJoT5qq6cXrjsRndD4py8Q0Ow]
[(12.9194406, 77.60968100000002)],[ChIJbYSrDv0UrjsRluDZPhmr7u0]
[(12.9943129, 77.7017257)],[ChIJq_IhhZ8RrjsRuuh6S5HjgPw]
[(12.9123352, 77.64233869999998)],[ChIJo7MsppoUrjsRTnVQh_3ePlo]
[(12.9678993, 77.6515885)],[ChIJidIXRQAUrjsRZ1PJmAGUmKI]
[(12.953756, 77.64106900000002)],[ChIJt9Icyw8UrjsRS6qaT--FR-A]
[(12.970368, 77.64217699999995)],[ChIJT_q0g6EWrjsRITI0Qi6x20U]
[(13.0734129, 77.55549350000001)],[ChIJq6qq7qMirjsRUlImxl7mY3o]
[(12.9947899, 77.66593690000002)],[ChIJUxsEPTgRrjsROnpJjsAfPZc]
[(12.9165226, 77.62320479999994)],[ChIJtX_lIvcUrjsRDimbdBwDV5s]
[(13.0205931, 77.59251419999998)],[ChIJVVVVFbAXrjsR6ggPdj6qusM]
[(12.9121602, 77.59948009999994)],[ChIJlaqqrpgVrjsRxpVme6iLWnw]
[(13.07442, 77.52270599999997)],[ChIJ8Q9Yzt0irjsRbmwfwTMMtuI]
[(13.041809, 77.61326899999995)],[ChIJKxV9nHYXrjsR4QphBPcFRF0]
[(12.9462897, 77.57355370000005)],[ChIJj4S4f-0VrjsR5fCu0dijskg]
[(12.9059392, 77.59480480000002)],[ChIJebfFD3IVrjsR26RImYBOO2w]
[(12.993309, 77.59416099999999)],[ChIJffVVBUMWrjsRchZ9CiZzt30]
[(12.93526, 77.63095099999998)],[ChIJXZ8xAmgUrjsR8sw6BCFn9m4]
[(13.0060735, 77.57696269999997)],[ChIJExZp0TMWrjsRqQhvpySbk_U]
[(12.914755, 77.59777600000007)],[ChIJoWcBvgUVrjsR9xsjnK27B10]
[(13.0333711, 77.56878170000005)],[ChIJCcD6890XrjsRcjgBJIg8Pec]
[(12.9913649, 77.5950623)],[ChIJ2z7ZjUIWrjsRCqNR_K8G4Z8]
[(12.9370082, 77.70045949999997)],[ChIJ9ye3uFISrjsRSGTD3w6rT4k]
[(13.0030624, 77.56429279999998)],[ChIJXwcMrykWrjsRLsL3IaeluZ0]
[(13.0262606, 77.60921529999996)],[ChIJX2G69LAXrjsRqjLJeY4siUo]
[(12.998531, 77.61322399999995)],[ChIJezZqpYAWrjsRThPBXU2Z6JY]
[(12.982024, 77.60187700000006)],[ChIJMasqeWQWrjsRXREM85uhlS4]
[(13.0146974, 77.6461961)],[ChIJuYzmJdYWrjsRJfWTFADO00Q]
[(12.9215013, 77.57049440000003)],[ChIJNedRfYIVrjsRhSsWHETOb2k]
[(12.924361, 77.67390999999998)],[ChIJUdAA23QTrjsRQ381s3GDm1g]
[(12.9336163, 77.57354579999992)],[ChIJDUbW1IIVrjsRNThmuHXKKJ8]
[(12.986765, 77.64577299999996)],[ChIJVVVV0ZA9rjsRpgkU9eT2Xm8]
[(13.034644, 77.55764299999998)],[ChIJ9XdlvjQWrjsRnG_TEJfpeBU]
[(12.925891, 77.68665399999998)],[ChIJ-0LVFwgTrjsRIhCkfThN2CI]
[(13.0258174, 77.62680849999992)],[ChIJVVWV2SsRrjsRl59OR54Sb_4]
[(12.8498869, 77.65898149999998)],[ChIJjyPGd5xsrjsRuigTY0VkG80]
[(12.9369323, 77.62170630000003)],[ChIJOzdCBEUUrjsRkmrBiQ6P6EU]
[(13.0299704, 77.56066710000005)],[ChIJrY5ZyGE9rjsRUZ2jmvH01Ro]
[(12.9367286, 77.62808940000002)],[ChIJ-9rD40IUrjsR9yjlsGVOH-Y]
[(12.9203039, 77.5865503)],[ChIJC-vrlAoVrjsRQdOoUmJ6b38]
[(13.0554096, 77.59300770000004)],[ChIJi1wirokXrjsR0n85IYrpBSI]
[(12.852451, 77.66764280000007)],[ChIJhb0GLJdsrjsRhrMS3nBM02w]
[(12.9237234, 77.56045100000006)],[ChIJB_t2XSo-rjsRJGXz879u28E]
[(12.9255426, 77.5884929)],[ChIJIw7lEaEVrjsRZkRcYHmKLFg]
[(12.9340155, 77.61841989999994)],[ChIJGeNrG1AUrjsRWiRH3KlDwS0]
[(12.977983, 77.63452200000006)],[ChIJD2fPDqMWrjsRhpKnYREMi30]
[(13.0199424, 77.65223349999997)],[ChIJq6qqutU8rjsR7kE_ZdIGdxw]
[(12.9792304, 77.715554)],[ChIJEX5NY_4NrjsRtvWybKoXogY]
[(13.017063, 77.64661699999999)],[ChIJOceWhtUWrjsRrJ7uEKfVHkE]
[(12.9264163, 77.56964110000001)],[ChIJyaqq6oEVrjsR2Xc52kCkEnY]
[(13.024066, 77.595553)],[ChIJBROGVqUXrjsRxTi5wPQU4ps]
[(12.854729, 77.66281900000001)],[ChIJnw6F9p0VrjsRm0fZtFQzsS8]
[(12.854603, 77.66232600000001)],[ChIJE8R9PncWrjsRAUG5DTI6_Mo]
[(13.0111631, 77.60966689999998)],[ChIJE7UMu_8WrjsRie3I2z80AY0]
[(13.0196166, 77.60702790000005)],[ChIJb6WE5akXrjsRWTDg8d_LDns]
[(12.981372, 77.7261992)],[ChIJTXHGsPMRrjsR5WV5S4giLPg]
[(12.819919, 77.51401599999997)],[ChIJZa4mxwNBrjsRRvTueQOKJFM]
[(12.9149876, 77.58715230000007)],[ChIJZ_dBjgwVrjsRRUt7ZI_cZd8]
[(12.9727308, 77.65058799999997)],[ChIJqbzWqqsWrjsRg9lT-kdSN70]
[(13.009749, 77.57121099999995)],[ChIJK8BZqFsUrjsRE49D6Kr3QiM]
[(12.9616117, 77.58288370000002)],[ChIJQfGez-AVrjsR-elWw1cagRc]
[(12.9449713, 77.58668169999999)],[ChIJVy4PbsAVrjsRr8ma0z79NHw]
[(12.9938368, 77.58123820000003)],[ChIJz-THxD4WrjsRxCvKC2Grp-U]
[(13.004725, 77.57774500000005)],[ChIJqxzSQTEWrjsRkMRIw6RzxLw]
[(12.9408476, 77.57300910000004)],[ChIJSVzCeI0VrjsRjLGUNw6NcH0]
[(12.9453146, 77.58621189999997)],[ChIJZVfrFMAVrjsRpTk6PW7Ss2E]
[(13.0089064, 77.56175989999997)],[ChIJOygU2ykWrjsR3IXsvrN85Dc]
[(12.9912575, 77.55531440000004)],[ChIJpRq-0po9rjsRUsU-_vptjOg]
[(12.994533, 77.53233499999999)],[ChIJiexfl7s9rjsR0i_ElTyLlSw]
[(12.904171, 77.59479299999998)],[ChIJT6b1OBcVrjsRkcNvShKPVfw]
[(13.035488, 77.56759599999998)],[ChIJh4OaNecXrjsROfiRSyUZs8M]
[(12.9197017, 77.57590770000002)],[ChIJq7AeqYMVrjsRjifHhKNQKmw]
[(12.926184, 77.58552399999996)],[ChIJhbLl5aEVrjsRqWnWW7HO64U]
[(13.0229764, 77.5616741)],[ChIJrY5ZyGE9rjsRkU4ZDpybqvg]
[(13.030254, 77.57046590000004)],[ChIJCQcNcIUXrjsR5M50MLjhuCc]
[(13.0303352, 77.55754079999997)],[ChIJrY5ZyGE9rjsRsVcbGB4Cl9c]
[(12.937383, 77.58194600000002)],[ChIJAXfDiZYVrjsReRvd7KBsm3M]
[(12.9876654, 77.59827519999999)],[ChIJYcRl8WUWrjsR0bdAkN1em4g]
[(12.9, 77.48333300000002)],[ChIJoXRTF9g-rjsRM0WRVLcn1Xc]
[(13.0352886, 77.5752675)],[ChIJSd7kNeYXrjsRdj888EQqCAs]
[(12.9285516, 77.56372439999996)],[ChIJQaMfDIcVrjsRl4j8PSinybg]
[(12.911932, 77.59815800000001)],[ChIJ9_IHPAUVrjsR3v7aC5KWQxs]
[(13.0223141, 77.59489459999998)],[ChIJVVVVFbAXrjsRbrebECxfFAY]
[(12.9084661, 77.59939800000006)],[ChIJXUdABxsVrjsR3tcZ2BONjZE]
[(13.03522, 77.567589)],[ChIJ-a5sBuIXrjsRkS_WUUddL_8]
[(12.8804626, 77.5975512)],[ChIJra1DmC0VrjsRmm1UQCf5meI]
[(12.914402, 77.63860299999999)],[ChIJsxc6SI4UrjsRcioALPY6dZ4]
[(12.9829543, 77.559303)],[ChIJoxqy0_U9rjsRwDKW4gc0NOg]
[(12.9856699, 77.59672790000002)],[ChIJh9AHImYWrjsRC3pruwrLHN0]
[(12.9816226, 77.604151)],[ChIJbxLIB2MWrjsRhgbjNzXO714]
[(12.985175, 77.53739999999993)],[ChIJGeIpQcA9rjsRm78yRZ7MXnI]
[(12.982224, 77.54774599999996)],[ChIJ____z-w9rjsRq5GhnbJD6bs]
[(12.984166, 77.55028800000002)],[ChIJ____P3UVrjsRksYLbBvUduA]
[(12.9836521, 77.5957568)],[ChIJnQW1Wm8WrjsR-0SjnCizdeg]
[(12.9836495, 77.59566310000002)],[ChIJt14-jXkWrjsRybU1aPmpNvk]
[(12.9800556, 77.61281770000005)],[ChIJrbT-r4gWrjsRTTq2Fg9usU0]
[(12.9852337, 77.60685050000006)],[ChIJgcq7a2EWrjsR_Uki8egm37E]
[(12.985001, 77.59627999999998)],[ChIJm_ztp2gWrjsResMdpmKs1A4]
[(12.982834, 77.53249200000005)],[ChIJGc8VxsY9rjsRB0fXumKkf5g]
[(12.986012, 77.54176099999995)],[ChIJGVHIEr49rjsR8zX3xpV1HBs]
[(12.981548, 77.55456000000004)],[ChIJMcEvZvE9rjsRiXHrwZ6EndI]
[(12.9855934, 77.54927229999998)],[ChIJO417GZA9rjsR06EQ5mrQpek]
[(12.9822999, 77.60825169999998)],[ChIJ06W1GYoWrjsRQQ9CnYWbJg0]
[(12.9820708, 77.60884779999992)],[ChIJnyEjyokWrjsRzah6uOFd30s]
[(12.982436, 77.62407299999995)],[ChIJQ8d32ZAWrjsR7F2uBk-gRVY]
[(12.982494, 77.62483599999996)],[ChIJu3p-15AWrjsRHCS0Hj2lWuc]
[(12.9702983, 77.63188360000004)],[ChIJ42O-FaAWrjsRf_zd5kGYOWE]
[(13.007558, 77.56617770000003)],[ChIJxfz9jCoWrjsROaEmS4aeKnI]
[(12.9544979, 77.70015850000004)],[ChIJAwGiujQSrjsRfXuF_YQUjHE]
[(12.9466586, 77.64644269999997)],[ChIJPz4aR3MUrjsRlNuE8k-0Q1g]
[(12.919525, 77.64923509999994)],[ChIJf0CpNNE5qDsRW0aHOqVjIcI]
[(13.0111941, 77.65926250000007)],[ChIJm6qqqikXrjsRcEaGlozNmho]
[(13.018303, 77.65877999999998)],[ChIJhfjT0tUQrjsRAEaCAPe1ibk]
